bank_txn_id,settlement_id,decoy_settlement_id,shape,credit_paise,true_net_paise,decoy_net_paise
bnk_000000000001,setl_ADV_00002,setl_ADV_00001,clean_tie,25782000,25782000,25782000
bnk_000000000002,setl_ADV_00003,setl_ADV_00004,repair_tie,24996800,24996800,24996800
bnk_000000000003,setl_ADV_00006,setl_ADV_00005,amount_trap,68578300,68578200,68578300
bnk_000000000004,setl_ADV_00007,setl_ADV_00008,clean_tie,81564900,81564900,81564900
bnk_000000000005,setl_ADV_00009,setl_ADV_00010,repair_tie,85177300,85177300,85177300
bnk_000000000006,setl_ADV_00011,setl_ADV_00012,amount_trap,89300100,89300000,89300100
bnk_000000000007,setl_ADV_00013,setl_ADV_00014,clean_tie,4034100,4034100,4034100
bnk_000000000008,setl_ADV_00016,setl_ADV_00015,repair_tie,67992400,67992400,67992400
bnk_000000000009,setl_ADV_00017,setl_ADV_00018,amount_trap,88178900,88178800,88178900
bnk_000000000010,setl_ADV_00020,setl_ADV_00019,clean_tie,12809800,12809800,12809800
bnk_000000000011,setl_ADV_00021,setl_ADV_00022,repair_tie,77727600,77727600,77727600
bnk_000000000012,setl_ADV_00023,setl_ADV_00024,amount_trap,68685000,68684900,68685000
bnk_000000000013,setl_ADV_00026,setl_ADV_00025,clean_tie,37332500,37332500,37332500
bnk_000000000014,setl_ADV_00027,setl_ADV_00028,repair_tie,24860500,24860500,24860500
bnk_000000000015,setl_ADV_00030,setl_ADV_00029,amount_trap,46184200,46184100,46184200
bnk_000000000016,setl_ADV_00031,setl_ADV_00032,clean_tie,45622900,45622900,45622900
bnk_000000000017,setl_ADV_00033,setl_ADV_00034,repair_tie,80718800,80718800,80718800
bnk_000000000018,setl_ADV_00036,setl_ADV_00035,amount_trap,35523000,35522900,35523000
bnk_000000000019,setl_ADV_00037,setl_ADV_00038,clean_tie,56515100,56515100,56515100
bnk_000000000020,setl_ADV_00039,setl_ADV_00040,repair_tie,38786700,38786700,38786700
bnk_000000000021,setl_ADV_00041,setl_ADV_00042,amount_trap,12755300,12755200,12755300
bnk_000000000022,setl_ADV_00044,setl_ADV_00043,clean_tie,15298400,15298400,15298400
bnk_000000000023,setl_ADV_00045,setl_ADV_00046,repair_tie,56190400,56190400,56190400
bnk_000000000024,setl_ADV_00047,setl_ADV_00048,amount_trap,34064900,34064800,34064900
bnk_000000000025,setl_ADV_00049,setl_ADV_00050,clean_tie,13163200,13163200,13163200
bnk_000000000026,setl_ADV_00052,setl_ADV_00051,repair_tie,33147200,33147200,33147200
bnk_000000000027,setl_ADV_00053,setl_ADV_00054,amount_trap,70305400,70305300,70305400
bnk_000000000028,setl_ADV_00055,setl_ADV_00056,clean_tie,35763200,35763200,35763200
bnk_000000000029,setl_ADV_00057,setl_ADV_00058,repair_tie,82877300,82877300,82877300
bnk_000000000030,setl_ADV_00059,setl_ADV_00060,amount_trap,49082100,49082000,49082100
bnk_000000000031,setl_ADV_00062,setl_ADV_00061,clean_tie,85937500,85937500,85937500
bnk_000000000032,setl_ADV_00063,setl_ADV_00064,repair_tie,88359100,88359100,88359100
bnk_000000000033,setl_ADV_00066,setl_ADV_00065,amount_trap,16672400,16672300,16672400
bnk_000000000034,setl_ADV_00068,setl_ADV_00067,clean_tie,40315600,40315600,40315600
bnk_000000000035,setl_ADV_00069,setl_ADV_00070,repair_tie,2966900,2966900,2966900
bnk_000000000036,setl_ADV_00071,setl_ADV_00072,amount_trap,22718700,22718600,22718700
bnk_000000000037,setl_ADV_00074,setl_ADV_00073,clean_tie,33836200,33836200,33836200
bnk_000000000038,setl_ADV_00075,setl_ADV_00076,repair_tie,64487700,64487700,64487700
bnk_000000000039,setl_ADV_00077,setl_ADV_00078,amount_trap,47415100,47415000,47415100
bnk_000000000040,setl_ADV_00079,setl_ADV_00080,clean_tie,16268400,16268400,16268400
bnk_000000000041,setl_ADV_00081,setl_ADV_00082,repair_tie,10731400,10731400,10731400
bnk_000000000042,setl_ADV_00084,setl_ADV_00083,amount_trap,50772300,50772200,50772300
bnk_000000000043,setl_ADV_00086,setl_ADV_00085,clean_tie,65962800,65962800,65962800
bnk_000000000044,setl_ADV_00088,setl_ADV_00087,repair_tie,35166600,35166600,35166600
bnk_000000000045,setl_ADV_00089,setl_ADV_00090,amount_trap,40148000,40147900,40148000
bnk_000000000046,setl_ADV_00091,setl_ADV_00092,clean_tie,65095600,65095600,65095600
bnk_000000000047,setl_ADV_00094,setl_ADV_00093,repair_tie,49604500,49604500,49604500
bnk_000000000048,setl_ADV_00095,setl_ADV_00096,amount_trap,33176000,33175900,33176000
bnk_000000000049,setl_ADV_00097,setl_ADV_00098,clean_tie,75695700,75695700,75695700
bnk_000000000050,setl_ADV_00099,setl_ADV_00100,repair_tie,22480700,22480700,22480700
bnk_000000000051,setl_ADV_00101,setl_ADV_00102,amount_trap,18075300,18075200,18075300
bnk_000000000052,setl_ADV_00103,setl_ADV_00104,clean_tie,67404700,67404700,67404700
bnk_000000000053,setl_ADV_00105,setl_ADV_00106,repair_tie,57977500,57977500,57977500
bnk_000000000054,setl_ADV_00108,setl_ADV_00107,amount_trap,84751400,84751300,84751400
bnk_000000000055,setl_ADV_00109,setl_ADV_00110,clean_tie,55360400,55360400,55360400
bnk_000000000056,setl_ADV_00112,setl_ADV_00111,repair_tie,4096500,4096500,4096500
bnk_000000000057,setl_ADV_00114,setl_ADV_00113,amount_trap,77525900,77525800,77525900
bnk_000000000058,setl_ADV_00116,setl_ADV_00115,clean_tie,15707500,15707500,15707500
bnk_000000000059,setl_ADV_00117,setl_ADV_00118,repair_tie,47508500,47508500,47508500
bnk_000000000060,setl_ADV_00120,setl_ADV_00119,amount_trap,39689100,39689000,39689100
