bank_txn_id,value_date,amount,narration
bnk_000000000001,2025-11-06,257820.00,NEFT/0744180004/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000002,2025-11-11,249968.00,NEFT/9363993639/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000003,2025-11-15,685783.00,NEFT/4842306674/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000004,2025-11-19,815649.00,NEFT/7312095454/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000005,2025-11-24,851773.00,NEFT/8093509443/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000006,2025-11-28,893001.00,NEFT/6050788376/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000007,2025-12-02,40341.00,NEFT/8360469157/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000008,2025-12-05,679924.00,NEFT/5812243816/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000009,2025-12-09,881789.00,NEFT/7816300069/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000010,2025-12-12,128098.00,NEFT/7887555280/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000011,2025-12-17,777276.00,NEFT/3072277803/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000012,2025-12-20,686850.00,NEFT/6317425362/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000013,2025-12-24,373325.00,NEFT/8883844104/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000014,2025-12-30,248605.00,NEFT/5023489600/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000015,2026-01-02,461842.00,NEFT/1748282786/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000016,2026-01-06,456229.00,NEFT/5862580978/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000017,2026-01-09,807188.00,NEFT/0454753509/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000018,2026-01-14,355230.00,NEFT/4862236304/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000019,2026-01-17,565151.00,NEFT/1345240162/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000020,2026-01-21,387867.00,NEFT/3320276135/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000021,2026-01-26,127553.00,NEFT/8046212664/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000022,2026-01-29,152984.00,NEFT/4621049310/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000023,2026-02-02,561904.00,NEFT/7873690570/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000024,2026-02-05,340649.00,NEFT/8678418047/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000025,2026-02-09,131632.00,NEFT/0645703636/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000026,2026-02-12,331472.00,NEFT/0671829030/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000027,2026-02-17,703054.00,NEFT/3882981754/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000028,2026-02-20,357632.00,NEFT/0905753234/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000029,2026-02-24,828773.00,NEFT/7221158240/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000030,2026-02-27,490821.00,NEFT/9948393179/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000031,2026-03-04,859375.00,NEFT/3697443727/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000032,2026-03-07,883591.00,NEFT/5156310392/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000033,2026-03-11,166724.00,NEFT/7120516294/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000034,2026-03-16,403156.00,NEFT/8073452535/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000035,2026-03-19,29669.00,NEFT/5133391871/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000036,2026-03-23,227187.00,NEFT/6120817159/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000037,2026-03-26,338362.00,NEFT/6849992550/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000038,2026-03-31,644877.00,NEFT/6837397031/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000039,2026-04-03,474151.00,NEFT/1320171295/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000040,2026-04-07,162684.00,NEFT/6534522704/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000041,2026-04-10,107314.00,NEFT/1356346511/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000042,2026-04-15,507723.00,NEFT/4845356340/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000043,2026-04-18,659628.00,NEFT/2596384635/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000044,2026-04-22,351666.00,NEFT/9731401740/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000045,2026-04-27,401480.00,NEFT/9884618091/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000046,2026-04-30,650956.00,NEFT/4189546781/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000047,2026-05-04,496045.00,NEFT/8567480630/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000048,2026-05-07,331760.00,NEFT/6423382357/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000049,2026-05-12,756957.00,NEFT/5406541966/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000050,2026-05-15,224807.00,NEFT/1988278520/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000051,2026-05-19,180753.00,NEFT/6626454654/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000052,2026-05-22,674047.00,NEFT/6130812452/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000053,2026-05-27,579775.00,NEFT/2851043133/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000054,2026-05-30,847514.00,NEFT/1499274369/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000055,2026-06-03,553604.00,NEFT/0955825271/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000056,2026-06-06,40965.00,NEFT/0834816433/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000057,2026-06-10,775259.00,NEFT/7098574456/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000058,2026-06-15,157075.00,NEFT/5697540808/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000059,2026-06-18,475085.00,NEFT/0193246590/PAYOUT/ADVERSARIAL BENCH PVT LTD
bnk_000000000060,2026-06-22,396891.00,NEFT/2375094609/PAYOUT/ADVERSARIAL BENCH PVT LTD
