order_id,customer_id,amount,created_at_utc
order_0000000001,cust_000001,154692.00,2025-11-03T06:00:00+00:00
order_0000000002,cust_000002,103128.00,2025-11-03T06:00:11+00:00
order_0000000003,cust_000003,180474.00,2025-11-03T07:30:00+00:00
order_0000000004,cust_000004,77346.00,2025-11-03T07:30:11+00:00
order_0000000005,cust_000005,149980.00,2025-11-07T06:00:00+00:00
order_0000000006,cust_000006,99988.00,2025-11-07T06:00:11+00:00
order_0000000007,cust_000007,174977.00,2025-11-07T07:30:00+00:00
order_0000000008,cust_000008,74991.00,2025-11-07T07:30:11+00:00
order_0000000009,cust_000009,411469.00,2025-11-12T06:00:00+00:00
order_0000000010,cust_000010,274314.00,2025-11-12T06:00:11+00:00
order_0000000011,cust_000011,480048.00,2025-11-12T07:30:00+00:00
order_0000000012,cust_000012,205735.00,2025-11-12T07:30:11+00:00
order_0000000013,cust_000013,489389.00,2025-11-17T06:00:00+00:00
order_0000000014,cust_000014,326260.00,2025-11-17T06:00:11+00:00
order_0000000015,cust_000015,570954.00,2025-11-17T07:30:00+00:00
order_0000000016,cust_000016,244695.00,2025-11-17T07:30:11+00:00
order_0000000017,cust_000017,511063.00,2025-11-20T06:00:00+00:00
order_0000000018,cust_000018,340710.00,2025-11-20T06:00:11+00:00
order_0000000019,cust_000019,596241.00,2025-11-20T07:30:00+00:00
order_0000000020,cust_000020,255532.00,2025-11-20T07:30:11+00:00
order_0000000021,cust_000021,535800.00,2025-11-26T06:00:00+00:00
order_0000000022,cust_000022,357201.00,2025-11-26T06:00:11+00:00
order_0000000023,cust_000023,625100.00,2025-11-26T07:30:00+00:00
order_0000000024,cust_000024,267901.00,2025-11-26T07:30:11+00:00
order_0000000025,cust_000025,24204.00,2025-11-29T06:00:00+00:00
order_0000000026,cust_000026,16137.00,2025-11-29T06:00:11+00:00
order_0000000027,cust_000027,28238.00,2025-11-29T07:30:00+00:00
order_0000000028,cust_000028,12103.00,2025-11-29T07:30:11+00:00
order_0000000029,cust_000029,407954.00,2025-12-03T06:00:00+00:00
order_0000000030,cust_000030,271970.00,2025-12-03T06:00:11+00:00
order_0000000031,cust_000031,475946.00,2025-12-03T07:30:00+00:00
order_0000000032,cust_000032,203978.00,2025-12-03T07:30:11+00:00
order_0000000033,cust_000033,529073.00,2025-12-06T06:00:00+00:00
order_0000000034,cust_000034,352716.00,2025-12-06T06:00:11+00:00
order_0000000035,cust_000035,617252.00,2025-12-06T07:30:00+00:00
order_0000000036,cust_000036,264537.00,2025-12-06T07:30:11+00:00
order_0000000037,cust_000037,76858.00,2025-12-10T06:00:00+00:00
order_0000000038,cust_000038,51240.00,2025-12-10T06:00:11+00:00
order_0000000039,cust_000039,89668.00,2025-12-10T07:30:00+00:00
order_0000000040,cust_000040,38430.00,2025-12-10T07:30:11+00:00
order_0000000041,cust_000041,466365.00,2025-12-15T06:00:00+00:00
order_0000000042,cust_000042,310911.00,2025-12-15T06:00:11+00:00
order_0000000043,cust_000043,544093.00,2025-12-15T07:30:00+00:00
order_0000000044,cust_000044,233183.00,2025-12-15T07:30:11+00:00
order_0000000045,cust_000045,412110.00,2025-12-18T06:00:00+00:00
order_0000000046,cust_000046,274740.00,2025-12-18T06:00:11+00:00
order_0000000047,cust_000047,480795.00,2025-12-18T07:30:00+00:00
order_0000000048,cust_000048,206055.00,2025-12-18T07:30:11+00:00
order_0000000049,cust_000049,223995.00,2025-12-22T06:00:00+00:00
order_0000000050,cust_000050,149330.00,2025-12-22T06:00:11+00:00
order_0000000051,cust_000051,261327.00,2025-12-22T07:30:00+00:00
order_0000000052,cust_000052,111998.00,2025-12-22T07:30:11+00:00
order_0000000053,cust_000053,149163.00,2025-12-26T06:00:00+00:00
order_0000000054,cust_000054,99442.00,2025-12-26T06:00:11+00:00
order_0000000055,cust_000055,174023.00,2025-12-26T07:30:00+00:00
order_0000000056,cust_000056,74582.00,2025-12-26T07:30:11+00:00
order_0000000057,cust_000057,277105.00,2025-12-31T06:00:00+00:00
order_0000000058,cust_000058,184737.00,2025-12-31T06:00:11+00:00
order_0000000059,cust_000059,323289.00,2025-12-31T07:30:00+00:00
order_0000000060,cust_000060,138553.00,2025-12-31T07:30:11+00:00
order_0000000061,cust_000061,273737.00,2026-01-03T06:00:00+00:00
order_0000000062,cust_000062,182492.00,2026-01-03T06:00:11+00:00
order_0000000063,cust_000063,319360.00,2026-01-03T07:30:00+00:00
order_0000000064,cust_000064,136869.00,2026-01-03T07:30:11+00:00
order_0000000065,cust_000065,484312.00,2026-01-07T06:00:00+00:00
order_0000000066,cust_000066,322876.00,2026-01-07T06:00:11+00:00
order_0000000067,cust_000067,565031.00,2026-01-07T07:30:00+00:00
order_0000000068,cust_000068,242157.00,2026-01-07T07:30:11+00:00
order_0000000069,cust_000069,213138.00,2026-01-12T06:00:00+00:00
order_0000000070,cust_000070,142092.00,2026-01-12T06:00:11+00:00
order_0000000071,cust_000071,248661.00,2026-01-12T07:30:00+00:00
order_0000000072,cust_000072,106569.00,2026-01-12T07:30:11+00:00
order_0000000073,cust_000073,339090.00,2026-01-15T06:00:00+00:00
order_0000000074,cust_000074,226061.00,2026-01-15T06:00:11+00:00
order_0000000075,cust_000075,395605.00,2026-01-15T07:30:00+00:00
order_0000000076,cust_000076,169546.00,2026-01-15T07:30:11+00:00
order_0000000077,cust_000077,232720.00,2026-01-19T06:00:00+00:00
order_0000000078,cust_000078,155147.00,2026-01-19T06:00:11+00:00
order_0000000079,cust_000079,271506.00,2026-01-19T07:30:00+00:00
order_0000000080,cust_000080,116361.00,2026-01-19T07:30:11+00:00
order_0000000081,cust_000081,76531.00,2026-01-22T06:00:00+00:00
order_0000000082,cust_000082,51022.00,2026-01-22T06:00:11+00:00
order_0000000083,cust_000083,89287.00,2026-01-22T07:30:00+00:00
order_0000000084,cust_000084,38266.00,2026-01-22T07:30:11+00:00
order_0000000085,cust_000085,91790.00,2026-01-27T06:00:00+00:00
order_0000000086,cust_000086,61194.00,2026-01-27T06:00:11+00:00
order_0000000087,cust_000087,107088.00,2026-01-27T07:30:00+00:00
order_0000000088,cust_000088,45896.00,2026-01-27T07:30:11+00:00
order_0000000089,cust_000000,337142.00,2026-01-30T06:00:00+00:00
order_0000000090,cust_000001,224762.00,2026-01-30T06:00:11+00:00
order_0000000091,cust_000002,393332.00,2026-01-30T07:30:00+00:00
order_0000000092,cust_000003,168572.00,2026-01-30T07:30:11+00:00
order_0000000093,cust_000004,204389.00,2026-02-03T06:00:00+00:00
order_0000000094,cust_000005,136260.00,2026-02-03T06:00:11+00:00
order_0000000095,cust_000006,238454.00,2026-02-03T07:30:00+00:00
order_0000000096,cust_000007,102195.00,2026-02-03T07:30:11+00:00
order_0000000097,cust_000008,78979.00,2026-02-06T06:00:00+00:00
order_0000000098,cust_000009,52653.00,2026-02-06T06:00:11+00:00
order_0000000099,cust_000010,92142.00,2026-02-06T07:30:00+00:00
order_0000000100,cust_000011,39490.00,2026-02-06T07:30:11+00:00
order_0000000101,cust_000012,198883.00,2026-02-10T06:00:00+00:00
order_0000000102,cust_000013,132589.00,2026-02-10T06:00:11+00:00
order_0000000103,cust_000014,232030.00,2026-02-10T07:30:00+00:00
order_0000000104,cust_000015,99442.00,2026-02-10T07:30:11+00:00
order_0000000105,cust_000016,421832.00,2026-02-13T06:00:00+00:00
order_0000000106,cust_000017,281222.00,2026-02-13T06:00:11+00:00
order_0000000107,cust_000018,492137.00,2026-02-13T07:30:00+00:00
order_0000000108,cust_000019,210917.00,2026-02-13T07:30:11+00:00
order_0000000109,cust_000020,214579.00,2026-02-18T06:00:00+00:00
order_0000000110,cust_000021,143053.00,2026-02-18T06:00:11+00:00
order_0000000111,cust_000022,250342.00,2026-02-18T07:30:00+00:00
order_0000000112,cust_000023,107290.00,2026-02-18T07:30:11+00:00
order_0000000113,cust_000024,497263.00,2026-02-21T06:00:00+00:00
order_0000000114,cust_000025,331510.00,2026-02-21T06:00:11+00:00
order_0000000115,cust_000026,580141.00,2026-02-21T07:30:00+00:00
order_0000000116,cust_000027,248632.00,2026-02-21T07:30:11+00:00
order_0000000117,cust_000028,294492.00,2026-02-25T06:00:00+00:00
order_0000000118,cust_000029,196329.00,2026-02-25T06:00:11+00:00
order_0000000119,cust_000030,343574.00,2026-02-25T07:30:00+00:00
order_0000000120,cust_000031,147247.00,2026-02-25T07:30:11+00:00
order_0000000121,cust_000032,515625.00,2026-03-02T06:00:00+00:00
order_0000000122,cust_000033,343750.00,2026-03-02T06:00:11+00:00
order_0000000123,cust_000034,601562.00,2026-03-02T07:30:00+00:00
order_0000000124,cust_000035,257813.00,2026-03-02T07:30:11+00:00
order_0000000125,cust_000036,530154.00,2026-03-05T06:00:00+00:00
order_0000000126,cust_000037,353437.00,2026-03-05T06:00:11+00:00
order_0000000127,cust_000038,618513.00,2026-03-05T07:30:00+00:00
order_0000000128,cust_000039,265078.00,2026-03-05T07:30:11+00:00
order_0000000129,cust_000040,100034.00,2026-03-09T06:00:00+00:00
order_0000000130,cust_000041,66690.00,2026-03-09T06:00:11+00:00
order_0000000131,cust_000042,116706.00,2026-03-09T07:30:00+00:00
order_0000000132,cust_000043,50018.00,2026-03-09T07:30:11+00:00
order_0000000133,cust_000044,241893.00,2026-03-12T06:00:00+00:00
order_0000000134,cust_000045,161263.00,2026-03-12T06:00:11+00:00
order_0000000135,cust_000046,282209.00,2026-03-12T07:30:00+00:00
order_0000000136,cust_000047,120947.00,2026-03-12T07:30:11+00:00
order_0000000137,cust_000048,17801.00,2026-03-17T06:00:00+00:00
order_0000000138,cust_000049,11868.00,2026-03-17T06:00:11+00:00
order_0000000139,cust_000050,20768.00,2026-03-17T07:30:00+00:00
order_0000000140,cust_000051,8901.00,2026-03-17T07:30:11+00:00
order_0000000141,cust_000052,136312.00,2026-03-20T06:00:00+00:00
order_0000000142,cust_000053,90875.00,2026-03-20T06:00:11+00:00
order_0000000143,cust_000054,159030.00,2026-03-20T07:30:00+00:00
order_0000000144,cust_000055,68157.00,2026-03-20T07:30:11+00:00
order_0000000145,cust_000056,203017.00,2026-03-24T06:00:00+00:00
order_0000000146,cust_000057,135345.00,2026-03-24T06:00:11+00:00
order_0000000147,cust_000058,236853.00,2026-03-24T07:30:00+00:00
order_0000000148,cust_000059,101509.00,2026-03-24T07:30:11+00:00
order_0000000149,cust_000060,386926.00,2026-03-27T06:00:00+00:00
order_0000000150,cust_000061,257951.00,2026-03-27T06:00:11+00:00
order_0000000151,cust_000062,451413.00,2026-03-27T07:30:00+00:00
order_0000000152,cust_000063,193464.00,2026-03-27T07:30:11+00:00
order_0000000153,cust_000064,284490.00,2026-04-01T06:00:00+00:00
order_0000000154,cust_000065,189661.00,2026-04-01T06:00:11+00:00
order_0000000155,cust_000066,331905.00,2026-04-01T07:30:00+00:00
order_0000000156,cust_000067,142246.00,2026-04-01T07:30:11+00:00
order_0000000157,cust_000068,97610.00,2026-04-04T06:00:00+00:00
order_0000000158,cust_000069,65074.00,2026-04-04T06:00:11+00:00
order_0000000159,cust_000070,113878.00,2026-04-04T07:30:00+00:00
order_0000000160,cust_000071,48806.00,2026-04-04T07:30:11+00:00
order_0000000161,cust_000072,64388.00,2026-04-08T06:00:00+00:00
order_0000000162,cust_000073,42926.00,2026-04-08T06:00:11+00:00
order_0000000163,cust_000074,75119.00,2026-04-08T07:30:00+00:00
order_0000000164,cust_000075,32195.00,2026-04-08T07:30:11+00:00
order_0000000165,cust_000076,304633.00,2026-04-13T06:00:00+00:00
order_0000000166,cust_000077,203090.00,2026-04-13T06:00:11+00:00
