payment_id,order_id,amount,method,status,created_at_ist
pay_00000000000001,order_0000000001,154692.00,upi,captured,2025-11-03T06:00:00+05:30
pay_00000000000002,order_0000000002,103128.00,upi,captured,2025-11-03T06:00:11+05:30
pay_00000000000003,order_0000000003,180474.00,upi,captured,2025-11-03T07:30:00+05:30
pay_00000000000004,order_0000000004,77346.00,upi,captured,2025-11-03T07:30:11+05:30
pay_00000000000005,order_0000000005,149980.00,upi,captured,2025-11-07T06:00:00+05:30
pay_00000000000006,order_0000000006,99988.00,upi,captured,2025-11-07T06:00:11+05:30
pay_00000000000007,order_0000000007,174977.00,upi,captured,2025-11-07T07:30:00+05:30
pay_00000000000008,order_0000000008,74991.00,upi,captured,2025-11-07T07:30:11+05:30
pay_00000000000009,order_0000000009,411469.00,upi,captured,2025-11-12T06:00:00+05:30
pay_00000000000010,order_0000000010,274314.00,upi,captured,2025-11-12T06:00:11+05:30
pay_00000000000011,order_0000000011,480048.00,upi,captured,2025-11-12T07:30:00+05:30
pay_00000000000012,order_0000000012,205735.00,upi,captured,2025-11-12T07:30:11+05:30
pay_00000000000013,order_0000000013,489389.00,upi,captured,2025-11-17T06:00:00+05:30
pay_00000000000014,order_0000000014,326260.00,upi,captured,2025-11-17T06:00:11+05:30
pay_00000000000015,order_0000000015,570954.00,upi,captured,2025-11-17T07:30:00+05:30
pay_00000000000016,order_0000000016,244695.00,upi,captured,2025-11-17T07:30:11+05:30
pay_00000000000017,order_0000000017,511063.00,upi,captured,2025-11-20T06:00:00+05:30
pay_00000000000018,order_0000000018,340710.00,upi,captured,2025-11-20T06:00:11+05:30
pay_00000000000019,order_0000000019,596241.00,upi,captured,2025-11-20T07:30:00+05:30
pay_00000000000020,order_0000000020,255532.00,upi,captured,2025-11-20T07:30:11+05:30
pay_00000000000021,order_0000000021,535800.00,upi,captured,2025-11-26T06:00:00+05:30
pay_00000000000022,order_0000000022,357201.00,upi,captured,2025-11-26T06:00:11+05:30
pay_00000000000023,order_0000000023,625100.00,upi,captured,2025-11-26T07:30:00+05:30
pay_00000000000024,order_0000000024,267901.00,upi,captured,2025-11-26T07:30:11+05:30
pay_00000000000025,order_0000000025,24204.00,upi,captured,2025-11-29T06:00:00+05:30
pay_00000000000026,order_0000000026,16137.00,upi,captured,2025-11-29T06:00:11+05:30
pay_00000000000027,order_0000000027,28238.00,upi,captured,2025-11-29T07:30:00+05:30
pay_00000000000028,order_0000000028,12103.00,upi,captured,2025-11-29T07:30:11+05:30
pay_00000000000029,order_0000000029,407954.00,upi,captured,2025-12-03T06:00:00+05:30
pay_00000000000030,order_0000000030,271970.00,upi,captured,2025-12-03T06:00:11+05:30
pay_00000000000031,order_0000000031,475946.00,upi,captured,2025-12-03T07:30:00+05:30
pay_00000000000032,order_0000000032,203978.00,upi,captured,2025-12-03T07:30:11+05:30
pay_00000000000033,order_0000000033,529073.00,upi,captured,2025-12-06T06:00:00+05:30
pay_00000000000034,order_0000000034,352716.00,upi,captured,2025-12-06T06:00:11+05:30
pay_00000000000035,order_0000000035,617252.00,upi,captured,2025-12-06T07:30:00+05:30
pay_00000000000036,order_0000000036,264537.00,upi,captured,2025-12-06T07:30:11+05:30
pay_00000000000037,order_0000000037,76858.00,upi,captured,2025-12-10T06:00:00+05:30
pay_00000000000038,order_0000000038,51240.00,upi,captured,2025-12-10T06:00:11+05:30
pay_00000000000039,order_0000000039,89668.00,upi,captured,2025-12-10T07:30:00+05:30
pay_00000000000040,order_0000000040,38430.00,upi,captured,2025-12-10T07:30:11+05:30
pay_00000000000041,order_0000000041,466365.00,upi,captured,2025-12-15T06:00:00+05:30
pay_00000000000042,order_0000000042,310911.00,upi,captured,2025-12-15T06:00:11+05:30
pay_00000000000043,order_0000000043,544093.00,upi,captured,2025-12-15T07:30:00+05:30
pay_00000000000044,order_0000000044,233183.00,upi,captured,2025-12-15T07:30:11+05:30
pay_00000000000045,order_0000000045,412110.00,upi,captured,2025-12-18T06:00:00+05:30
pay_00000000000046,order_0000000046,274740.00,upi,captured,2025-12-18T06:00:11+05:30
pay_00000000000047,order_0000000047,480795.00,upi,captured,2025-12-18T07:30:00+05:30
pay_00000000000048,order_0000000048,206055.00,upi,captured,2025-12-18T07:30:11+05:30
pay_00000000000049,order_0000000049,223995.00,upi,captured,2025-12-22T06:00:00+05:30
pay_00000000000050,order_0000000050,149330.00,upi,captured,2025-12-22T06:00:11+05:30
pay_00000000000051,order_0000000051,261327.00,upi,captured,2025-12-22T07:30:00+05:30
pay_00000000000052,order_0000000052,111998.00,upi,captured,2025-12-22T07:30:11+05:30
pay_00000000000053,order_0000000053,149163.00,upi,captured,2025-12-26T06:00:00+05:30
pay_00000000000054,order_0000000054,99442.00,upi,captured,2025-12-26T06:00:11+05:30
pay_00000000000055,order_0000000055,174023.00,upi,captured,2025-12-26T07:30:00+05:30
pay_00000000000056,order_0000000056,74582.00,upi,captured,2025-12-26T07:30:11+05:30
pay_00000000000057,order_0000000057,277105.00,upi,captured,2025-12-31T06:00:00+05:30
pay_00000000000058,order_0000000058,184737.00,upi,captured,2025-12-31T06:00:11+05:30
pay_00000000000059,order_0000000059,323289.00,upi,captured,2025-12-31T07:30:00+05:30
pay_00000000000060,order_0000000060,138553.00,upi,captured,2025-12-31T07:30:11+05:30
pay_00000000000061,order_0000000061,273737.00,upi,captured,2026-01-03T06:00:00+05:30
pay_00000000000062,order_0000000062,182492.00,upi,captured,2026-01-03T06:00:11+05:30
pay_00000000000063,order_0000000063,319360.00,upi,captured,2026-01-03T07:30:00+05:30
pay_00000000000064,order_0000000064,136869.00,upi,captured,2026-01-03T07:30:11+05:30
pay_00000000000065,order_0000000065,484312.00,upi,captured,2026-01-07T06:00:00+05:30
pay_00000000000066,order_0000000066,322876.00,upi,captured,2026-01-07T06:00:11+05:30
pay_00000000000067,order_0000000067,565031.00,upi,captured,2026-01-07T07:30:00+05:30
pay_00000000000068,order_0000000068,242157.00,upi,captured,2026-01-07T07:30:11+05:30
pay_00000000000069,order_0000000069,213138.00,upi,captured,2026-01-12T06:00:00+05:30
pay_00000000000070,order_0000000070,142092.00,upi,captured,2026-01-12T06:00:11+05:30
pay_00000000000071,order_0000000071,248661.00,upi,captured,2026-01-12T07:30:00+05:30
pay_00000000000072,order_0000000072,106569.00,upi,captured,2026-01-12T07:30:11+05:30
pay_00000000000073,order_0000000073,339090.00,upi,captured,2026-01-15T06:00:00+05:30
pay_00000000000074,order_0000000074,226061.00,upi,captured,2026-01-15T06:00:11+05:30
pay_00000000000075,order_0000000075,395605.00,upi,captured,2026-01-15T07:30:00+05:30
pay_00000000000076,order_0000000076,169546.00,upi,captured,2026-01-15T07:30:11+05:30
pay_00000000000077,order_0000000077,232720.00,upi,captured,2026-01-19T06:00:00+05:30
pay_00000000000078,order_0000000078,155147.00,upi,captured,2026-01-19T06:00:11+05:30
pay_00000000000079,order_0000000079,271506.00,upi,captured,2026-01-19T07:30:00+05:30
pay_00000000000080,order_0000000080,116361.00,upi,captured,2026-01-19T07:30:11+05:30
pay_00000000000081,order_0000000081,76531.00,upi,captured,2026-01-22T06:00:00+05:30
pay_00000000000082,order_0000000082,51022.00,upi,captured,2026-01-22T06:00:11+05:30
pay_00000000000083,order_0000000083,89287.00,upi,captured,2026-01-22T07:30:00+05:30
pay_00000000000084,order_0000000084,38266.00,upi,captured,2026-01-22T07:30:11+05:30
pay_00000000000085,order_0000000085,91790.00,upi,captured,2026-01-27T06:00:00+05:30
pay_00000000000086,order_0000000086,61194.00,upi,captured,2026-01-27T06:00:11+05:30
pay_00000000000087,order_0000000087,107088.00,upi,captured,2026-01-27T07:30:00+05:30
pay_00000000000088,order_0000000088,45896.00,upi,captured,2026-01-27T07:30:11+05:30
pay_00000000000089,order_0000000089,337142.00,upi,captured,2026-01-30T06:00:00+05:30
pay_00000000000090,order_0000000090,224762.00,upi,captured,2026-01-30T06:00:11+05:30
pay_00000000000091,order_0000000091,393332.00,upi,captured,2026-01-30T07:30:00+05:30
pay_00000000000092,order_0000000092,168572.00,upi,captured,2026-01-30T07:30:11+05:30
pay_00000000000093,order_0000000093,204389.00,upi,captured,2026-02-03T06:00:00+05:30
pay_00000000000094,order_0000000094,136260.00,upi,captured,2026-02-03T06:00:11+05:30
pay_00000000000095,order_0000000095,238454.00,upi,captured,2026-02-03T07:30:00+05:30
pay_00000000000096,order_0000000096,102195.00,upi,captured,2026-02-03T07:30:11+05:30
pay_00000000000097,order_0000000097,78979.00,upi,captured,2026-02-06T06:00:00+05:30
pay_00000000000098,order_0000000098,52653.00,upi,captured,2026-02-06T06:00:11+05:30
pay_00000000000099,order_0000000099,92142.00,upi,captured,2026-02-06T07:30:00+05:30
pay_00000000000100,order_0000000100,39490.00,upi,captured,2026-02-06T07:30:11+05:30
pay_00000000000101,order_0000000101,198883.00,upi,captured,2026-02-10T06:00:00+05:30
pay_00000000000102,order_0000000102,132589.00,upi,captured,2026-02-10T06:00:11+05:30
pay_00000000000103,order_0000000103,232030.00,upi,captured,2026-02-10T07:30:00+05:30
pay_00000000000104,order_0000000104,99442.00,upi,captured,2026-02-10T07:30:11+05:30
pay_00000000000105,order_0000000105,421832.00,upi,captured,2026-02-13T06:00:00+05:30
pay_00000000000106,order_0000000106,281222.00,upi,captured,2026-02-13T06:00:11+05:30
pay_00000000000107,order_0000000107,492137.00,upi,captured,2026-02-13T07:30:00+05:30
pay_00000000000108,order_0000000108,210917.00,upi,captured,2026-02-13T07:30:11+05:30
pay_00000000000109,order_0000000109,214579.00,upi,captured,2026-02-18T06:00:00+05:30
pay_00000000000110,order_0000000110,143053.00,upi,captured,2026-02-18T06:00:11+05:30
pay_00000000000111,order_0000000111,250342.00,upi,captured,2026-02-18T07:30:00+05:30
pay_00000000000112,order_0000000112,107290.00,upi,captured,2026-02-18T07:30:11+05:30
pay_00000000000113,order_0000000113,497263.00,upi,captured,2026-02-21T06:00:00+05:30
pay_00000000000114,order_0000000114,331510.00,upi,captured,2026-02-21T06:00:11+05:30
pay_00000000000115,order_0000000115,580141.00,upi,captured,2026-02-21T07:30:00+05:30
pay_00000000000116,order_0000000116,248632.00,upi,captured,2026-02-21T07:30:11+05:30
pay_00000000000117,order_0000000117,294492.00,upi,captured,2026-02-25T06:00:00+05:30
pay_00000000000118,order_0000000118,196329.00,upi,captured,2026-02-25T06:00:11+05:30
pay_00000000000119,order_0000000119,343574.00,upi,captured,2026-02-25T07:30:00+05:30
pay_00000000000120,order_0000000120,147247.00,upi,captured,2026-02-25T07:30:11+05:30
pay_00000000000121,order_0000000121,515625.00,upi,captured,2026-03-02T06:00:00+05:30
pay_00000000000122,order_0000000122,343750.00,upi,captured,2026-03-02T06:00:11+05:30
pay_00000000000123,order_0000000123,601562.00,upi,captured,2026-03-02T07:30:00+05:30
pay_00000000000124,order_0000000124,257813.00,upi,captured,2026-03-02T07:30:11+05:30
pay_00000000000125,order_0000000125,530154.00,upi,captured,2026-03-05T06:00:00+05:30
pay_00000000000126,order_0000000126,353437.00,upi,captured,2026-03-05T06:00:11+05:30
pay_00000000000127,order_0000000127,618513.00,upi,captured,2026-03-05T07:30:00+05:30
pay_00000000000128,order_0000000128,265078.00,upi,captured,2026-03-05T07:30:11+05:30
pay_00000000000129,order_0000000129,100034.00,upi,captured,2026-03-09T06:00:00+05:30
pay_00000000000130,order_0000000130,66690.00,upi,captured,2026-03-09T06:00:11+05:30
pay_00000000000131,order_0000000131,116706.00,upi,captured,2026-03-09T07:30:00+05:30
pay_00000000000132,order_0000000132,50018.00,upi,captured,2026-03-09T07:30:11+05:30
pay_00000000000133,order_0000000133,241893.00,upi,captured,2026-03-12T06:00:00+05:30
pay_00000000000134,order_0000000134,161263.00,upi,captured,2026-03-12T06:00:11+05:30
pay_00000000000135,order_0000000135,282209.00,upi,captured,2026-03-12T07:30:00+05:30
pay_00000000000136,order_0000000136,120947.00,upi,captured,2026-03-12T07:30:11+05:30
pay_00000000000137,order_0000000137,17801.00,upi,captured,2026-03-17T06:00:00+05:30
pay_00000000000138,order_0000000138,11868.00,upi,captured,2026-03-17T06:00:11+05:30
pay_00000000000139,order_0000000139,20768.00,upi,captured,2026-03-17T07:30:00+05:30
pay_00000000000140,order_0000000140,8901.00,upi,captured,2026-03-17T07:30:11+05:30
pay_00000000000141,order_0000000141,136312.00,upi,captured,2026-03-20T06:00:00+05:30
pay_00000000000142,order_0000000142,90875.00,upi,captured,2026-03-20T06:00:11+05:30
pay_00000000000143,order_0000000143,159030.00,upi,captured,2026-03-20T07:30:00+05:30
pay_00000000000144,order_0000000144,68157.00,upi,captured,2026-03-20T07:30:11+05:30
pay_00000000000145,order_0000000145,203017.00,upi,captured,2026-03-24T06:00:00+05:30
pay_00000000000146,order_0000000146,135345.00,upi,captured,2026-03-24T06:00:11+05:30
pay_00000000000147,order_0000000147,236853.00,upi,captured,2026-03-24T07:30:00+05:30
pay_00000000000148,order_0000000148,101509.00,upi,captured,2026-03-24T07:30:11+05:30
