settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_ADV_00002,047418004047,257820.00,0.00,0.00,0.00,257820.00,2025-11-06T18:01:00+05:30,false
setl_ADV_00001,681769037528,257820.00,0.00,0.00,0.00,257820.00,2025-11-06T18:00:00+05:30,false
setl_ADV_00003,933699369386,249968.00,0.00,0.00,0.00,249968.00,2025-11-11T18:00:00+05:30,false
setl_ADV_00004,100046111553,249968.00,0.00,0.00,0.00,249968.00,2025-11-11T18:01:00+05:30,false
setl_ADV_00006,482430667444,685782.00,0.00,0.00,0.00,685782.00,2025-11-15T18:01:00+05:30,false
setl_ADV_00005,789420911248,685783.00,0.00,0.00,0.00,685783.00,2025-11-15T18:00:00+05:30,false
setl_ADV_00007,732109545848,815649.00,0.00,0.00,0.00,815649.00,2025-11-19T18:00:00+05:30,false
setl_ADV_00008,354104895506,815649.00,0.00,0.00,0.00,815649.00,2025-11-19T18:01:00+05:30,false
setl_ADV_00009,890350944314,851773.00,0.00,0.00,0.00,851773.00,2025-11-24T18:00:00+05:30,false
setl_ADV_00010,556927921723,851773.00,0.00,0.00,0.00,851773.00,2025-11-24T18:01:00+05:30,false
setl_ADV_00011,600578837569,893000.00,0.00,0.00,0.00,893000.00,2025-11-28T18:00:00+05:30,false
setl_ADV_00012,641505647077,893001.00,0.00,0.00,0.00,893001.00,2025-11-28T18:01:00+05:30,false
setl_ADV_00013,836406915778,40341.00,0.00,0.00,0.00,40341.00,2025-12-02T18:00:00+05:30,false
setl_ADV_00014,944287097126,40341.00,0.00,0.00,0.00,40341.00,2025-12-02T18:01:00+05:30,false
setl_ADV_00016,518224381569,679924.00,0.00,0.00,0.00,679924.00,2025-12-05T18:01:00+05:30,false
setl_ADV_00015,325160036296,679924.00,0.00,0.00,0.00,679924.00,2025-12-05T18:00:00+05:30,false
setl_ADV_00017,781360006929,881788.00,0.00,0.00,0.00,881788.00,2025-12-09T18:00:00+05:30,false
setl_ADV_00018,831685312780,881789.00,0.00,0.00,0.00,881789.00,2025-12-09T18:01:00+05:30,false
setl_ADV_00020,787855528056,128098.00,0.00,0.00,0.00,128098.00,2025-12-12T18:01:00+05:30,false
setl_ADV_00019,321798515915,128098.00,0.00,0.00,0.00,128098.00,2025-12-12T18:00:00+05:30,false
setl_ADV_00021,302727780317,777276.00,0.00,0.00,0.00,777276.00,2025-12-17T18:00:00+05:30,false
setl_ADV_00022,879587816032,777276.00,0.00,0.00,0.00,777276.00,2025-12-17T18:01:00+05:30,false
setl_ADV_00023,631472536231,686849.00,0.00,0.00,0.00,686849.00,2025-12-20T18:00:00+05:30,false
setl_ADV_00024,110115435139,686850.00,0.00,0.00,0.00,686850.00,2025-12-20T18:01:00+05:30,false
setl_ADV_00026,888384410045,373325.00,0.00,0.00,0.00,373325.00,2025-12-24T18:01:00+05:30,false
setl_ADV_00025,897339005927,373325.00,0.00,0.00,0.00,373325.00,2025-12-24T18:00:00+05:30,false
setl_ADV_00027,502438960507,248605.00,0.00,0.00,0.00,248605.00,2025-12-30T18:00:00+05:30,false
setl_ADV_00028,772239127577,248605.00,0.00,0.00,0.00,248605.00,2025-12-30T18:01:00+05:30,false
setl_ADV_00030,174288278465,461841.00,0.00,0.00,0.00,461841.00,2026-01-02T18:01:00+05:30,false
setl_ADV_00029,996627711159,461842.00,0.00,0.00,0.00,461842.00,2026-01-02T18:00:00+05:30,false
setl_ADV_00031,586528097481,456229.00,0.00,0.00,0.00,456229.00,2026-01-06T18:00:00+05:30,false
setl_ADV_00032,280404857659,456229.00,0.00,0.00,0.00,456229.00,2026-01-06T18:01:00+05:30,false
setl_ADV_00033,045745350198,807188.00,0.00,0.00,0.00,807188.00,2026-01-09T18:00:00+05:30,false
setl_ADV_00034,767579054126,807188.00,0.00,0.00,0.00,807188.00,2026-01-09T18:01:00+05:30,false
setl_ADV_00036,486223630547,355229.00,0.00,0.00,0.00,355229.00,2026-01-14T18:01:00+05:30,false
setl_ADV_00035,508155416530,355230.00,0.00,0.00,0.00,355230.00,2026-01-14T18:00:00+05:30,false
setl_ADV_00037,143524016629,565151.00,0.00,0.00,0.00,565151.00,2026-01-17T18:00:00+05:30,false
setl_ADV_00038,558532897937,565151.00,0.00,0.00,0.00,565151.00,2026-01-17T18:01:00+05:30,false
setl_ADV_00039,330227615311,387867.00,0.00,0.00,0.00,387867.00,2026-01-21T18:00:00+05:30,false
setl_ADV_00040,473496263755,387867.00,0.00,0.00,0.00,387867.00,2026-01-21T18:01:00+05:30,false
setl_ADV_00041,806421266478,127552.00,0.00,0.00,0.00,127552.00,2026-01-26T18:00:00+05:30,false
setl_ADV_00042,612926153287,127553.00,0.00,0.00,0.00,127553.00,2026-01-26T18:01:00+05:30,false
setl_ADV_00044,461204930168,152984.00,0.00,0.00,0.00,152984.00,2026-01-29T18:01:00+05:30,false
setl_ADV_00043,124899219703,152984.00,0.00,0.00,0.00,152984.00,2026-01-29T18:00:00+05:30,false
setl_ADV_00045,783769050761,561904.00,0.00,0.00,0.00,561904.00,2026-02-02T18:00:00+05:30,false
setl_ADV_00046,566120926219,561904.00,0.00,0.00,0.00,561904.00,2026-02-02T18:01:00+05:30,false
setl_ADV_00047,876841804875,340648.00,0.00,0.00,0.00,340648.00,2026-02-05T18:00:00+05:30,false
setl_ADV_00048,711035569257,340649.00,0.00,0.00,0.00,340649.00,2026-02-05T18:01:00+05:30,false
setl_ADV_00049,065470363669,131632.00,0.00,0.00,0.00,131632.00,2026-02-09T18:00:00+05:30,false
setl_ADV_00050,345668232101,131632.00,0.00,0.00,0.00,131632.00,2026-02-09T18:01:00+05:30,false
setl_ADV_00052,076182903104,331472.00,0.00,0.00,0.00,331472.00,2026-02-12T18:01:00+05:30,false
setl_ADV_00051,614355803375,331472.00,0.00,0.00,0.00,331472.00,2026-02-12T18:00:00+05:30,false
setl_ADV_00053,388298175489,703053.00,0.00,0.00,0.00,703053.00,2026-02-17T18:00:00+05:30,false
setl_ADV_00054,520903285110,703054.00,0.00,0.00,0.00,703054.00,2026-02-17T18:01:00+05:30,false
setl_ADV_00055,090755324380,357632.00,0.00,0.00,0.00,357632.00,2026-02-20T18:00:00+05:30,false
setl_ADV_00056,184040038254,357632.00,0.00,0.00,0.00,357632.00,2026-02-20T18:01:00+05:30,false
setl_ADV_00057,722115820433,828773.00,0.00,0.00,0.00,828773.00,2026-02-24T18:00:00+05:30,false
setl_ADV_00058,170185188614,828773.00,0.00,0.00,0.00,828773.00,2026-02-24T18:01:00+05:30,false
setl_ADV_00059,949839317797,490820.00,0.00,0.00,0.00,490820.00,2026-02-27T18:00:00+05:30,false
setl_ADV_00060,126208385160,490821.00,0.00,0.00,0.00,490821.00,2026-02-27T18:01:00+05:30,false
setl_ADV_00062,369474377249,859375.00,0.00,0.00,0.00,859375.00,2026-03-04T18:01:00+05:30,false
setl_ADV_00061,779494250699,859375.00,0.00,0.00,0.00,859375.00,2026-03-04T18:00:00+05:30,false
setl_ADV_00063,551631039258,883591.00,0.00,0.00,0.00,883591.00,2026-03-07T18:00:00+05:30,false
setl_ADV_00064,173369143576,883591.00,0.00,0.00,0.00,883591.00,2026-03-07T18:01:00+05:30,false
setl_ADV_00066,710251629442,166723.00,0.00,0.00,0.00,166723.00,2026-03-11T18:01:00+05:30,false
setl_ADV_00065,972982278425,166724.00,0.00,0.00,0.00,166724.00,2026-03-11T18:00:00+05:30,false
setl_ADV_00068,870345255323,403156.00,0.00,0.00,0.00,403156.00,2026-03-16T18:01:00+05:30,false
setl_ADV_00067,103916698248,403156.00,0.00,0.00,0.00,403156.00,2026-03-16T18:00:00+05:30,false
setl_ADV_00069,531339187911,29669.00,0.00,0.00,0.00,29669.00,2026-03-19T18:00:00+05:30,false
setl_ADV_00070,458525476938,29669.00,0.00,0.00,0.00,29669.00,2026-03-19T18:01:00+05:30,false
setl_ADV_00071,621081715983,227186.00,0.00,0.00,0.00,227186.00,2026-03-23T18:00:00+05:30,false
setl_ADV_00072,818514061298,227187.00,0.00,0.00,0.00,227187.00,2026-03-23T18:01:00+05:30,false
setl_ADV_00074,648999250547,338362.00,0.00,0.00,0.00,338362.00,2026-03-26T18:01:00+05:30,false
setl_ADV_00073,966539542981,338362.00,0.00,0.00,0.00,338362.00,2026-03-26T18:00:00+05:30,false
setl_ADV_00075,638739703101,644877.00,0.00,0.00,0.00,644877.00,2026-03-31T18:00:00+05:30,false
setl_ADV_00076,808029611879,644877.00,0.00,0.00,0.00,644877.00,2026-03-31T18:01:00+05:30,false
setl_ADV_00077,132107129519,474150.00,0.00,0.00,0.00,474150.00,2026-04-03T18:00:00+05:30,false
setl_ADV_00078,006822086571,474151.00,0.00,0.00,0.00,474151.00,2026-04-03T18:01:00+05:30,false
setl_ADV_00079,635452270438,162684.00,0.00,0.00,0.00,162684.00,2026-04-07T18:00:00+05:30,false
setl_ADV_00080,522145990909,162684.00,0.00,0.00,0.00,162684.00,2026-04-07T18:01:00+05:30,false
setl_ADV_00081,136534651511,107314.00,0.00,0.00,0.00,107314.00,2026-04-10T18:00:00+05:30,false
setl_ADV_00082,550906828730,107314.00,0.00,0.00,0.00,107314.00,2026-04-10T18:01:00+05:30,false
setl_ADV_00084,485435634901,507722.00,0.00,0.00,0.00,507722.00,2026-04-15T18:01:00+05:30,false
setl_ADV_00083,191521360107,507723.00,0.00,0.00,0.00,507723.00,2026-04-15T18:00:00+05:30,false
setl_ADV_00086,259368463528,659628.00,0.00,0.00,0.00,659628.00,2026-04-18T18:01:00+05:30,false
setl_ADV_00085,649813411656,659628.00,0.00,0.00,0.00,659628.00,2026-04-18T18:00:00+05:30,false
setl_ADV_00088,937140170473,351666.00,0.00,0.00,0.00,351666.00,2026-04-22T18:01:00+05:30,false
setl_ADV_00087,056001225144,351666.00,0.00,0.00,0.00,351666.00,2026-04-22T18:00:00+05:30,false
setl_ADV_00089,988641801918,401479.00,0.00,0.00,0.00,401479.00,2026-04-27T18:00:00+05:30,false
setl_ADV_00090,733362540611,401480.00,0.00,0.00,0.00,401480.00,2026-04-27T18:01:00+05:30,false
setl_ADV_00091,419854678117,650956.00,0.00,0.00,0.00,650956.00,2026-04-30T18:00:00+05:30,false
