order_id,customer_id,amount,created_at_utc
order_0000000001,cust_000001,100.00,2025-11-03T06:00:00+00:00
order_0000000002,cust_000002,250.00,2025-11-03T06:00:07+00:00
order_0000000003,cust_000003,300.00,2025-11-03T06:00:14+00:00
order_0000000004,cust_000004,350.00,2025-11-03T06:00:21+00:00
order_0000000005,cust_000005,100.00,2025-11-11T06:00:00+00:00
order_0000000006,cust_000006,200.00,2025-11-11T06:00:07+00:00
order_0000000007,cust_000007,300.00,2025-11-11T06:00:14+00:00
order_0000000008,cust_000008,400.00,2025-11-11T06:00:21+00:00
order_0000000009,cust_000009,100.00,2025-11-18T06:00:00+00:00
order_0000000010,cust_000010,250.00,2025-11-18T06:00:07+00:00
order_0000000011,cust_000011,300.00,2025-11-18T06:00:14+00:00
order_0000000012,cust_000012,350.00,2025-11-18T06:00:21+00:00
order_0000000013,cust_000013,7.00,2025-11-26T06:00:00+00:00
order_0000000014,cust_000014,7.00,2025-11-26T06:00:07+00:00
order_0000000015,cust_000015,7.00,2025-11-26T06:00:14+00:00
order_0000000016,cust_000016,7.00,2025-11-26T06:00:21+00:00
order_0000000017,cust_000017,7.00,2025-11-26T06:00:28+00:00
order_0000000018,cust_000018,7.00,2025-11-26T06:00:35+00:00
order_0000000019,cust_000019,7.00,2025-11-26T06:00:42+00:00
order_0000000020,cust_000020,7.00,2025-11-26T06:00:49+00:00
order_0000000021,cust_000021,7.00,2025-11-26T06:00:56+00:00
order_0000000022,cust_000022,7.00,2025-11-26T06:01:03+00:00
order_0000000023,cust_000023,7.00,2025-11-26T06:01:10+00:00
order_0000000024,cust_000024,7.00,2025-11-26T06:01:17+00:00
order_0000000025,cust_000025,7.00,2025-11-26T06:01:24+00:00
order_0000000026,cust_000026,7.00,2025-11-26T06:01:31+00:00
order_0000000027,cust_000027,7.00,2025-11-26T06:01:38+00:00
order_0000000028,cust_000028,7.00,2025-11-26T06:01:45+00:00
order_0000000029,cust_000029,7.00,2025-11-26T06:01:52+00:00
order_0000000030,cust_000030,7.00,2025-11-26T06:01:59+00:00
order_0000000031,cust_000031,7.00,2025-11-26T06:02:06+00:00
order_0000000032,cust_000032,7.00,2025-11-26T06:02:13+00:00
order_0000000033,cust_000033,7.00,2025-11-26T06:02:20+00:00
order_0000000034,cust_000034,7.00,2025-11-26T06:02:27+00:00
order_0000000035,cust_000035,7.00,2025-11-26T06:02:34+00:00
order_0000000036,cust_000036,7.00,2025-11-26T06:02:41+00:00
order_0000000037,cust_000037,7.00,2025-11-26T06:02:48+00:00
order_0000000038,cust_000038,7.00,2025-11-26T06:02:55+00:00
order_0000000039,cust_000039,7.00,2025-11-26T06:03:02+00:00
order_0000000040,cust_000040,7.00,2025-11-26T06:03:09+00:00
order_0000000041,cust_000041,7.00,2025-11-26T06:03:16+00:00
order_0000000042,cust_000042,7.00,2025-11-26T06:03:23+00:00
order_0000000043,cust_000043,7.00,2025-11-26T06:03:30+00:00
order_0000000044,cust_000044,7.00,2025-11-26T06:03:37+00:00
order_0000000045,cust_000045,7.00,2025-11-26T06:03:44+00:00
order_0000000046,cust_000046,7.00,2025-11-26T06:03:51+00:00
order_0000000047,cust_000047,7.00,2025-11-26T06:03:58+00:00
order_0000000048,cust_000048,7.00,2025-11-26T06:04:05+00:00
order_0000000049,cust_000049,7.00,2025-11-26T06:04:12+00:00
order_0000000050,cust_000050,7.00,2025-11-26T06:04:19+00:00
order_0000000051,cust_000051,7.00,2025-11-26T06:04:26+00:00
order_0000000052,cust_000052,7.00,2025-11-26T06:04:33+00:00
order_0000000053,cust_000053,7.00,2025-11-26T06:04:40+00:00
order_0000000054,cust_000054,7.00,2025-11-26T06:04:47+00:00
order_0000000055,cust_000055,7.00,2025-11-26T06:04:54+00:00
order_0000000056,cust_000056,7.00,2025-11-26T06:05:01+00:00
order_0000000057,cust_000057,7.00,2025-11-26T06:05:08+00:00
order_0000000058,cust_000058,7.00,2025-11-26T06:05:15+00:00
order_0000000059,cust_000059,7.00,2025-11-26T06:05:22+00:00
order_0000000060,cust_000060,7.00,2025-11-26T06:05:29+00:00
order_0000000061,cust_000061,7.00,2025-11-26T06:05:36+00:00
order_0000000062,cust_000062,7.00,2025-11-26T06:05:43+00:00
order_0000000063,cust_000063,7.00,2025-11-26T06:05:50+00:00
order_0000000064,cust_000064,7.00,2025-11-26T06:05:57+00:00
order_0000000065,cust_000065,7.00,2025-11-26T06:06:04+00:00
order_0000000066,cust_000066,7.00,2025-11-26T06:06:11+00:00
order_0000000067,cust_000067,7.00,2025-11-26T06:06:18+00:00
order_0000000068,cust_000068,7.00,2025-11-26T06:06:25+00:00
order_0000000069,cust_000069,7.00,2025-11-26T06:06:32+00:00
order_0000000070,cust_000070,7.00,2025-11-26T06:06:39+00:00
order_0000000071,cust_000071,7.00,2025-11-26T06:06:46+00:00
order_0000000072,cust_000072,7.00,2025-11-26T06:06:53+00:00
