bank_txn_id,settlement_id,component,amount,split
bnk_000000000001,setl_merchant_1_0001,gross,10828.39,train
bnk_000000000001,setl_merchant_1_0001,platform_fee,-135.24,train
bnk_000000000001,setl_merchant_1_0001,gst_on_fee,-24.35,train
bnk_000000000001,setl_merchant_1_0001,tds_194o,-83.78,train
bnk_000000000001,setl_merchant_1_0001,reserve_held,-318.77,train
bnk_000000000001,setl_merchant_1_0001,TOTAL_bank_credit,10266.25,train
bnk_000000000002,setl_merchant_1_0002,gross,46274.60,train
bnk_000000000002,setl_merchant_1_0002,platform_fee,-637.54,train
bnk_000000000002,setl_merchant_1_0002,gst_on_fee,-114.75,train
bnk_000000000002,setl_merchant_1_0002,tds_194o,-314.52,train
bnk_000000000002,setl_merchant_1_0002,reserve_held,-1508.22,train
bnk_000000000002,setl_merchant_1_0002,TOTAL_bank_credit,43699.57,train
bnk_000000000003,setl_merchant_1_0003,gross,45068.25,train
bnk_000000000003,setl_merchant_1_0003,platform_fee,-434.46,train
bnk_000000000003,setl_merchant_1_0003,gst_on_fee,-78.21,train
bnk_000000000003,setl_merchant_1_0003,tds_194o,-208.91,train
bnk_000000000003,setl_merchant_1_0003,reserve_held,-880.62,train
bnk_000000000003,setl_merchant_1_0003,reserve_released,9909.53,train
bnk_000000000003,setl_merchant_1_0003,TOTAL_bank_credit,53375.58,train
bnk_000000000004,setl_merchant_1_0004,gross,68524.96,train
bnk_000000000004,setl_merchant_1_0004,platform_fee,-799.42,train
bnk_000000000004,setl_merchant_1_0004,gst_on_fee,-143.90,train
bnk_000000000004,setl_merchant_1_0004,tds_194o,-310.51,train
bnk_000000000004,setl_merchant_1_0004,reserve_held,-1884.95,train
bnk_000000000004,setl_merchant_1_0004,TOTAL_bank_credit,65386.18,train
bnk_000000000005,setl_merchant_1_0005,gross,52479.63,train
bnk_000000000005,setl_merchant_1_0005,platform_fee,-463.89,train
bnk_000000000005,setl_merchant_1_0005,gst_on_fee,-83.51,train
bnk_000000000005,setl_merchant_1_0005,tds_194o,-175.20,train
bnk_000000000005,setl_merchant_1_0005,TOTAL_bank_credit,51757.03,train
bnk_000000000006,setl_merchant_1_0006,gross,42715.96,train
bnk_000000000006,setl_merchant_1_0006,platform_fee,-309.30,train
bnk_000000000006,setl_merchant_1_0006,gst_on_fee,-55.69,train
bnk_000000000006,setl_merchant_1_0006,tds_194o,-256.21,train
bnk_000000000006,setl_merchant_1_0006,reserve_held,-675.38,train
bnk_000000000006,setl_merchant_1_0006,TOTAL_bank_credit,41419.38,train
bnk_000000000007,setl_merchant_1_0007,gross,101401.81,train
bnk_000000000007,setl_merchant_1_0007,platform_fee,-886.63,train
bnk_000000000007,setl_merchant_1_0007,gst_on_fee,-159.60,train
bnk_000000000007,setl_merchant_1_0007,tds_194o,-630.03,train
bnk_000000000007,setl_merchant_1_0007,refund_netted,-309.32,train
bnk_000000000007,setl_merchant_1_0007,reserve_held,-1961.76,train
bnk_000000000007,setl_merchant_1_0007,rounding_drift,-0.03,train
bnk_000000000007,setl_merchant_1_0007,TOTAL_bank_credit,97454.44,train
bnk_000000000008,setl_merchant_1_0008,gross,151001.67,train
bnk_000000000008,setl_merchant_1_0008,platform_fee,-1559.26,train
bnk_000000000008,setl_merchant_1_0008,gst_on_fee,-280.66,train
bnk_000000000008,setl_merchant_1_0008,tds_194o,-631.43,train
bnk_000000000008,setl_merchant_1_0008,reserve_held,-3395.75,train
bnk_000000000008,setl_merchant_1_0008,reserve_released,4122.73,train
bnk_000000000008,setl_merchant_1_0008,TOTAL_bank_credit,149257.30,train
bnk_000000000009,setl_merchant_1_0009,gross,149058.01,train
bnk_000000000009,setl_merchant_1_0009,platform_fee,-1393.43,train
bnk_000000000009,setl_merchant_1_0009,gst_on_fee,-250.82,train
bnk_000000000009,setl_merchant_1_0009,tds_194o,-868.06,train
bnk_000000000009,setl_merchant_1_0009,reserve_held,-2960.78,train
bnk_000000000009,setl_merchant_1_0009,TOTAL_bank_credit,143584.92,train
bnk_000000000010,setl_merchant_1_0010,gross,25882.99,train
bnk_000000000010,setl_merchant_1_0010,platform_fee,-291.02,train
bnk_000000000010,setl_merchant_1_0010,gst_on_fee,-52.39,train
bnk_000000000010,setl_merchant_1_0010,tds_194o,-103.84,train
bnk_000000000010,setl_merchant_1_0010,reserve_held,-681.34,train
bnk_000000000010,setl_merchant_1_0010,TOTAL_bank_credit,24754.40,train
bnk_000000000011,setl_merchant_1_0011,gross,33028.87,train
bnk_000000000011,setl_merchant_1_0011,platform_fee,-316.29,train
bnk_000000000011,setl_merchant_1_0011,gst_on_fee,-56.94,train
bnk_000000000011,setl_merchant_1_0011,tds_194o,-182.93,train
bnk_000000000011,setl_merchant_1_0011,refund_netted,-605.86,train
bnk_000000000011,setl_merchant_1_0011,reserve_held,-728.31,train
bnk_000000000011,setl_merchant_1_0011,TOTAL_bank_credit,31138.54,train
bnk_000000000012,setl_merchant_1_0012,gross,52251.98,train
bnk_000000000012,setl_merchant_1_0012,platform_fee,-602.63,train
bnk_000000000012,setl_merchant_1_0012,gst_on_fee,-108.49,train
bnk_000000000012,setl_merchant_1_0012,tds_194o,-343.97,train
bnk_000000000012,setl_merchant_1_0012,refund_netted,-4329.58,train
bnk_000000000012,setl_merchant_1_0012,reserve_held,-1431.34,train
bnk_000000000012,setl_merchant_1_0012,TOTAL_bank_credit,45435.97,train
bnk_000000000013,setl_merchant_1_0013,gross,61676.41,train
