payment_id,settlement_id,bank_txn_id,amount,method,fee,gst,tds,settle_date,split,ambiguous
pay_00000000000404,setl_merchant_1_0001,bnk_000000000001,728.00,wallet,13.10,2.36,7.28,2025-11-04,train,0
pay_00000000001343,setl_merchant_1_0001,bnk_000000000001,388.93,netbanking,15.00,2.70,0.00,2025-11-04,train,0
pay_00000000001719,setl_merchant_1_0001,bnk_000000000001,704.00,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000001868,setl_merchant_1_0001,bnk_000000000001,1048.73,upi,0.00,0.00,10.49,2025-11-04,train,0
pay_00000000002222,setl_merchant_1_0001,bnk_000000000001,1052.00,wallet,18.94,3.41,0.00,2025-11-04,train,0
pay_00000000003172,setl_merchant_1_0001,bnk_000000000001,156.87,upi,0.00,0.00,1.57,2025-11-04,train,0
pay_00000000003359,setl_merchant_1_0001,bnk_000000000001,305.27,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000003364,setl_merchant_1_0001,bnk_000000000001,960.00,card,19.20,3.46,9.60,2025-11-04,train,0
pay_00000000003705,setl_merchant_1_0001,bnk_000000000001,3273.21,wallet,58.92,10.61,32.73,2025-11-04,train,0
pay_00000000003754,setl_merchant_1_0001,bnk_000000000001,830.99,upi,0.00,0.00,8.31,2025-11-04,train,0
pay_00000000004069,setl_merchant_1_0001,bnk_000000000001,876.39,upi,0.00,0.00,8.76,2025-11-04,train,0
pay_00000000004814,setl_merchant_1_0001,bnk_000000000001,504.00,card,10.08,1.81,5.04,2025-11-04,train,0
pay_00000000000047,setl_merchant_1_0002,bnk_000000000002,1229.78,upi,0.00,0.00,12.30,2025-11-04,train,0
pay_00000000000394,setl_merchant_1_0002,bnk_000000000002,3573.00,netbanking,15.00,2.70,35.73,2025-11-04,train,0
pay_00000000000407,setl_merchant_1_0002,bnk_000000000002,961.35,card,19.23,3.46,0.00,2025-11-04,train,0
pay_00000000000409,setl_merchant_1_0002,bnk_000000000002,873.00,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000000443,setl_merchant_1_0002,bnk_000000000002,677.54,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000000499,setl_merchant_1_0002,bnk_000000000002,660.99,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000000625,setl_merchant_1_0002,bnk_000000000002,607.52,card,12.15,2.19,0.00,2025-11-04,train,0
pay_00000000000779,setl_merchant_1_0002,bnk_000000000002,636.99,wallet,11.47,2.06,0.00,2025-11-04,train,0
pay_00000000000935,setl_merchant_1_0002,bnk_000000000002,1570.99,upi,0.00,0.00,15.71,2025-11-04,train,0
pay_00000000000973,setl_merchant_1_0002,bnk_000000000002,116.99,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000001272,setl_merchant_1_0002,bnk_000000000002,544.00,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000001316,setl_merchant_1_0002,bnk_000000000002,3114.59,card,62.29,11.21,0.00,2025-11-04,train,0
pay_00000000001319,setl_merchant_1_0002,bnk_000000000002,2437.62,card,48.75,8.78,24.38,2025-11-04,train,0
pay_00000000001645,setl_merchant_1_0002,bnk_000000000002,640.99,upi,0.00,0.00,6.41,2025-11-04,train,0
pay_00000000002162,setl_merchant_1_0002,bnk_000000000002,344.99,upi,0.00,0.00,3.45,2025-11-04,train,0
pay_00000000002488,setl_merchant_1_0002,bnk_000000000002,2951.24,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000002578,setl_merchant_1_0002,bnk_000000000002,114.99,upi,0.00,0.00,1.15,2025-11-04,train,0
