bank_txn_id,true_utr,corruption_ops,kind,reference_entity,utr_survives_verbatim
bnk_000000000001,249700040264,separator_swap,payout_credit,setl_merchant_1_0001,1
bnk_000000000002,HDFCN42025110495048853,,payout_credit,setl_merchant_1_0002,1
bnk_000000000003,HDFCR420251104341570,whitespace_noise,payout_credit,setl_merchant_1_0003,1
bnk_000000000004,HDFCR720251104252316,charswap_utr:1|junk_suffix,payout_credit,setl_merchant_1_0004,0
bnk_000000000005,LM63XJ3RUI3WM5UX,no_utr_in_source,payout_credit,setl_merchant_1_0005,0
bnk_000000000006,923185686168,whitespace_noise,payout_credit,setl_merchant_1_0006,1
bnk_000000000007,HDFCN12025110623005103,split_utr|separator_swap,payout_credit,setl_merchant_1_0007,0
bnk_000000000008,HDFCR820251106723746,split_utr|case_flip,payout_credit,setl_merchant_1_0008,0
bnk_000000000009,911137709728,charswap_utr:3|separator_swap,payout_credit,setl_merchant_1_0009,0
bnk_000000000010,735639125570,,payout_credit,setl_merchant_1_0010,1
bnk_000000000011,VGQCT0R71BYA4R0U,no_utr_in_source,payout_credit,setl_merchant_1_0011,0
bnk_000000000012,HDFCR120251107695811,separator_swap,payout_credit,setl_merchant_1_0012,1
bnk_000000000013,HDFCN82025110792377483,junk_suffix,payout_credit,setl_merchant_1_0013,1
bnk_000000000014,HDFCN52025111072261987,field_truncated_38,payout_credit,setl_merchant_1_0014,1
bnk_000000000015,937555808705,,payout_credit,setl_merchant_1_0015,1
bnk_000000000016,HDFCN92025111013134210,,payout_credit,setl_merchant_1_0016,1
bnk_000000000017,HDFCR720251110364446,whitespace_noise|case_flip,payout_credit,setl_merchant_1_0017,0
bnk_000000000018,HDFCR220251111570773,charswap_utr:3,payout_credit,setl_merchant_1_0018,0
bnk_000000000019,HDFCR420251111872624,truncate_utr:4|separator_swap|junk_suffix,payout_credit,setl_merchant_1_0019,0
bnk_000000000020,HDFCN62025111119164119,whitespace_noise,payout_credit,setl_merchant_1_0020,1
bnk_000000000021,HDFCR120251111029978,charswap_utr:1|whitespace_noise,payout_credit,setl_merchant_1_0021,0
bnk_000000000022,241345492808,,payout_credit,setl_merchant_1_0022,1
bnk_000000000023,HDFCN22025111260881002,,payout_credit,setl_merchant_1_0023,1
bnk_000000000024,HDFCR520251112234385,junk_suffix,payout_credit,setl_merchant_1_0024,1
bnk_000000000025,HDFCN22025111266519579,separator_swap|junk_suffix,payout_credit,setl_merchant_1_0025,1
bnk_000000000026,239405409720,charswap_utr:1|separator_swap,payout_credit,setl_merchant_1_0026,0
bnk_000000000027,HDFCN52025111369680258,field_truncated_38,payout_credit,setl_merchant_1_0027,1
bnk_000000000028,HDFCR820251113424501,separator_swap|whitespace_noise,payout_credit,setl_merchant_1_0028,1
bnk_000000000029,HDFCN32025111318885087,drop_utr,payout_credit,setl_merchant_1_0029,0
bnk_000000000030,MFMU8SQV6TKHZAR8,no_utr_in_source,payout_credit,setl_merchant_1_0030,0
bnk_000000000031,HDFCN92025111596650387,separator_swap,payout_credit,setl_merchant_1_0031,1
bnk_000000000032,X78QUM14EK3U6F11,no_utr_in_source,payout_credit,setl_merchant_1_0032,0
bnk_000000000033,HDFCN92025111520873378,junk_suffix,payout_credit,setl_merchant_1_0033,1
bnk_000000000034,HDFCN62025111569650067,charswap_utr:2,payout_credit,setl_merchant_1_0034,0
bnk_000000000035,761603092506,,payout_credit,setl_merchant_1_0035,1
bnk_000000000036,HDFCN62025111720231855,split_utr|junk_suffix,payout_credit,setl_merchant_1_0036,0
bnk_000000000037,HDFCN62025111717947867,failed_payout_original,payout_credit_reversed,setl_merchant_1_0037,1
bnk_000000000038,HDFCN62025111717947867,payout_return,payout_return,setl_merchant_1_0037,1
bnk_000000000039,HDFCN32025111757400271,truncate_utr:4|whitespace_noise|retry_new_utr,payout_credit,setl_merchant_1_0037,0
bnk_000000000040,HDFCR120251117821671,split_utr,payout_credit,setl_merchant_1_0038,0
bnk_000000000041,HDFCN12025111863986125,whitespace_noise,payout_credit,setl_merchant_1_0039,1
bnk_000000000042,HDFCN62025111835719617,drop_utr,payout_credit,setl_merchant_1_0040,0
bnk_000000000043,HDFCN42025111805780563,,payout_credit,setl_merchant_1_0041,1
bnk_000000000044,HDFCN62025111800675870,junk_suffix|whitespace_noise|case_flip,payout_credit,setl_merchant_1_0042,0
bnk_000000000045,776330435233,separator_swap|junk_suffix,payout_credit,setl_merchant_1_0043,1
bnk_000000000046,HDFCR920251119803259,split_utr,payout_credit,setl_merchant_1_0044,0
bnk_000000000047,492634825169,truncate_utr:2,payout_credit,setl_merchant_1_0045,0
bnk_000000000048,HDFCN32025111937994648,separator_swap,payout_credit,setl_merchant_1_0046,1
bnk_000000000049,HDFCN62025112068615617,split_utr,payout_credit,setl_merchant_1_0047,0
bnk_000000000050,HDFCR520251120700825,separator_swap,payout_credit,setl_merchant_1_0048,1
bnk_000000000051,HDFCN82025112007408938,,payout_credit,setl_merchant_1_0049,1
bnk_000000000052,HDFCN92025112046469656,charswap_utr:2|whitespace_noise,payout_credit,setl_merchant_1_0050,0
bnk_000000000053,HDFCN92025112181201013,separator_swap|junk_suffix,payout_credit,setl_merchant_1_0051,1
bnk_000000000054,HDFCN72025112198633588,,payout_credit,setl_merchant_1_0052,1
bnk_000000000055,HDFCR420251121521559,truncate_utr:5|separator_swap|junk_suffix,payout_credit,setl_merchant_1_0053,0
bnk_000000000056,HDFCN52025112149213569,charswap_utr:2,payout_credit,setl_merchant_1_0054,0
bnk_000000000057,607424454864,charswap_utr:2|field_truncated_38,payout_credit,setl_merchant_1_0055,0
bnk_000000000058,HDFCN12025112416830325,charswap_utr:3,payout_credit,setl_merchant_1_0056,0
bnk_000000000059,HDFCN32025112493065228,charswap_utr:3|separator_swap|whitespace_noise,payout_credit,setl_merchant_1_0057,0
bnk_000000000060,HDFCN22025112420190878,,payout_credit,setl_merchant_1_0058,1
bnk_000000000061,HDFCN92025112578516002,truncate_utr:4,payout_credit,setl_merchant_1_0059,0
bnk_000000000062,HDFCR220251126980399,,payout_credit,setl_merchant_1_0060,1
bnk_000000000063,HMNKMHRDGQMKVJ0S,no_utr_in_source,payout_credit,setl_merchant_1_0061,0
bnk_000000000064,801736095102,,payout_credit,setl_merchant_1_0062,1
bnk_000000000065,HDFCN82025112642867840,charswap_utr:1|junk_suffix,payout_credit,setl_merchant_1_0063,0
bnk_000000000066,HDFCR920251126666602,separator_swap,payout_credit,setl_merchant_1_0064,1
bnk_000000000067,HDFCR920251127069911,,payout_credit,setl_merchant_1_0065,1
bnk_000000000068,756870028007,charswap_utr:2,payout_credit,setl_merchant_1_0066,0
bnk_000000000069,HDFCN42025112722966238,,payout_credit,setl_merchant_1_0067,1
bnk_000000000070,326955676075,charswap_utr:1,payout_credit,setl_merchant_1_0068,0
bnk_000000000071,OD4XGPPY5JO0B464,no_utr_in_source,payout_credit,setl_merchant_1_0069,0
bnk_000000000072,HDFCN22025112894709141,charswap_utr:3|separator_swap,payout_credit,setl_merchant_1_0070,0
bnk_000000000073,453173460099,junk_suffix,payout_credit,setl_merchant_1_0071,1
bnk_000000000074,HDFCR620251129595360,,payout_credit,setl_merchant_1_0072,1
bnk_000000000075,117328962531,charswap_utr:2,payout_credit,setl_merchant_1_0073,0
bnk_000000000076,OGCRY10SAKJZ0AQB,no_utr_in_source,payout_credit,setl_merchant_1_0074,0
bnk_000000000077,HDFCN42025120171511212,,payout_credit,setl_merchant_1_0075,1
bnk_000000000078,HDFCN12025120145191841,charswap_utr:1|separator_swap,payout_credit,setl_merchant_1_0076,0
bnk_000000000079,975390837671,case_flip,payout_credit,setl_merchant_1_0077,1
bnk_000000000080,874925623994,charswap_utr:2,payout_credit,setl_merchant_1_0078,0
bnk_000000000081,792993835970,truncate_utr:4,payout_credit,setl_merchant_1_0079,0
bnk_000000000082,020096883696,truncate_utr:2|whitespace_noise|case_flip,payout_credit,setl_merchant_1_0080,0
bnk_000000000083,033335828189,separator_swap|case_flip,payout_credit,setl_merchant_1_0081,1
bnk_000000000084,605778841215,field_truncated_38,payout_credit,setl_merchant_1_0082,1
bnk_000000000085,HDFCR320251203397535,junk_suffix,payout_credit,setl_merchant_1_0083,1
bnk_000000000086,HDFCR220251203774657,split_utr,payout_credit,setl_merchant_1_0084,0
bnk_000000000087,HDFCN32025120328107919,truncate_utr:5|whitespace_noise,payout_credit,setl_merchant_1_0085,0
bnk_000000000088,HDFCN12025120355823843,drop_utr,payout_credit,setl_merchant_1_0086,0
bnk_000000000089,,junk_suffix,refund_debit,rfnd_000000000002,0
bnk_000000000090,,field_truncated_38,refund_debit,rfnd_000000000005,0
bnk_000000000091,,junk_suffix,refund_debit,rfnd_000000000015,0
bnk_000000000092,,separator_swap,refund_debit,rfnd_000000000024,0
bnk_000000000093,,,refund_debit,rfnd_000000000034,0
bnk_000000000094,,,refund_debit,rfnd_000000000035,0
bnk_000000000095,,,refund_debit,rfnd_000000000037,0
bnk_000000000096,,,refund_debit,rfnd_000000000038,0
bnk_000000000097,,,refund_debit,rfnd_000000000039,0
bnk_000000000098,,,refund_debit,rfnd_000000000048,0
bnk_000000000099,,,refund_debit,rfnd_000000000050,0
bnk_000000000100,,junk_suffix,refund_debit,rfnd_000000000052,0
bnk_000000000101,,,refund_debit,rfnd_000000000053,0
bnk_000000000102,,separator_swap,refund_debit,rfnd_000000000054,0
bnk_000000000103,,junk_suffix,refund_debit,rfnd_000000000056,0
bnk_000000000104,,,refund_debit,rfnd_000000000059,0
bnk_000000000105,,junk_suffix,refund_debit,rfnd_000000000063,0
bnk_000000000106,,junk_suffix,refund_debit,rfnd_000000000071,0
bnk_000000000107,,case_flip,refund_debit,rfnd_000000000075,0
bnk_000000000108,,separator_swap,refund_debit,rfnd_000000000077,0
bnk_000000000109,,separator_swap|field_truncated_38,refund_debit,rfnd_000000000080,0
bnk_000000000110,,junk_suffix,refund_debit,rfnd_000000000084,0
