settlement_id,settle_date,cycle,split
setl_merchant_1_0001,2025-11-04,1,train
setl_merchant_1_0002,2025-11-04,2,train
setl_merchant_1_0003,2025-11-04,3,train
setl_merchant_1_0004,2025-11-04,4,train
setl_merchant_1_0005,2025-11-06,0,train
setl_merchant_1_0006,2025-11-06,1,train
setl_merchant_1_0007,2025-11-06,2,train
setl_merchant_1_0008,2025-11-06,3,train
setl_merchant_1_0009,2025-11-06,4,train
setl_merchant_1_0010,2025-11-07,1,train
setl_merchant_1_0011,2025-11-07,2,train
setl_merchant_1_0012,2025-11-07,3,train
setl_merchant_1_0013,2025-11-07,4,train
setl_merchant_1_0014,2025-11-10,1,train
setl_merchant_1_0015,2025-11-10,2,train
setl_merchant_1_0016,2025-11-10,3,train
setl_merchant_1_0017,2025-11-10,4,train
setl_merchant_1_0018,2025-11-11,1,train
setl_merchant_1_0019,2025-11-11,2,train
setl_merchant_1_0020,2025-11-11,3,train
setl_merchant_1_0021,2025-11-11,4,train
setl_merchant_1_0022,2025-11-12,1,train
setl_merchant_1_0023,2025-11-12,2,train
setl_merchant_1_0024,2025-11-12,3,train
setl_merchant_1_0025,2025-11-12,4,train
setl_merchant_1_0026,2025-11-13,1,train
setl_merchant_1_0027,2025-11-13,2,train
setl_merchant_1_0028,2025-11-13,3,train
setl_merchant_1_0029,2025-11-13,4,train
setl_merchant_1_0030,2025-11-15,0,train
setl_merchant_1_0031,2025-11-15,1,train
setl_merchant_1_0032,2025-11-15,2,train
setl_merchant_1_0033,2025-11-15,3,train
setl_merchant_1_0034,2025-11-15,4,train
setl_merchant_1_0035,2025-11-17,1,train
setl_merchant_1_0036,2025-11-17,2,train
setl_merchant_1_0037,2025-11-17,3,train
setl_merchant_1_0038,2025-11-17,4,train
setl_merchant_1_0039,2025-11-18,1,train
setl_merchant_1_0040,2025-11-18,2,train
setl_merchant_1_0041,2025-11-18,3,train
setl_merchant_1_0042,2025-11-18,4,train
setl_merchant_1_0043,2025-11-19,1,dev
setl_merchant_1_0044,2025-11-19,2,dev
setl_merchant_1_0045,2025-11-19,3,dev
setl_merchant_1_0046,2025-11-19,4,dev
setl_merchant_1_0047,2025-11-20,1,dev
setl_merchant_1_0048,2025-11-20,2,dev
setl_merchant_1_0049,2025-11-20,3,dev
setl_merchant_1_0050,2025-11-20,4,dev
setl_merchant_1_0051,2025-11-21,1,dev
setl_merchant_1_0052,2025-11-21,2,dev
setl_merchant_1_0053,2025-11-21,3,dev
setl_merchant_1_0054,2025-11-21,4,dev
setl_merchant_1_0055,2025-11-24,1,dev
setl_merchant_1_0056,2025-11-24,2,dev
setl_merchant_1_0057,2025-11-24,3,dev
setl_merchant_1_0058,2025-11-24,4,dev
setl_merchant_1_0059,2025-11-25,0,test
setl_merchant_1_0060,2025-11-26,0,test
setl_merchant_1_0061,2025-11-26,1,test
setl_merchant_1_0062,2025-11-26,2,test
setl_merchant_1_0063,2025-11-26,3,test
setl_merchant_1_0064,2025-11-26,4,test
setl_merchant_1_0065,2025-11-27,1,test
setl_merchant_1_0066,2025-11-27,2,test
setl_merchant_1_0067,2025-11-27,3,test
setl_merchant_1_0068,2025-11-27,4,test
setl_merchant_1_0069,2025-11-28,3,test
setl_merchant_1_0070,2025-11-28,4,test
setl_merchant_1_0071,2025-11-29,1,test
setl_merchant_1_0072,2025-11-29,2,test
setl_merchant_1_0073,2025-11-29,3,test
setl_merchant_1_0074,2025-11-29,4,test
setl_merchant_1_0075,2025-12-01,1,test
setl_merchant_1_0076,2025-12-01,2,test
setl_merchant_1_0077,2025-12-01,3,test
setl_merchant_1_0078,2025-12-01,4,test
setl_merchant_1_0079,2025-12-02,1,test
setl_merchant_1_0080,2025-12-02,2,test
setl_merchant_1_0081,2025-12-02,3,test
setl_merchant_1_0082,2025-12-02,4,test
setl_merchant_1_0083,2025-12-03,1,test
setl_merchant_1_0084,2025-12-03,2,test
setl_merchant_1_0085,2025-12-03,3,test
setl_merchant_1_0086,2025-12-03,4,test
