bank_txn_id,value_date,amount,narration
bnk_000000000001,2025-11-04,10266.25,UPI/249700040264/PAYOUT/RAZORPAY SOFTWARE PVT LTD
bnk_000000000002,2025-11-04,43699.57,NEFT-HDFCN42025110495048853-RAZORPAY SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000003,2025-11-04,53375.58,RTGS  CR HDFCR420251104341570 RAZORPAY SOFTWARE PRIVATE LIMITED SETTLMNT
bnk_000000000004,2025-11-04,65386.18,RTGS CR HDFCR720251104Z52316 RAZORPAYSOF SETTLMNT//888
bnk_000000000005,2025-11-06,51757.03,RAZORPAY SOFTWARE PVT LTD SETTLEMENT CREDIT
bnk_000000000006,2025-11-06,41419.38,IMPS/923185686168/RZP  SETTLEMENT/PAYOUT
bnk_000000000007,2025-11-06,97454.44,NEFT/HDFCN 12025110623005103/RAZORPAY SOFTWARE PVT LTD/HDFC/SETTLEMENT
bnk_000000000008,2025-11-06,149257.30,Rtgs Cr Hdfcr8 20251106723746 Razorpay Software Pvt Ltd Settlmnt
bnk_000000000009,2025-11-06,143584.92,UPI/91I1377097ZB/PAYOUT/RZPY SOFTWARE
bnk_000000000093,2025-11-06,-2949.19,NEFT-DR-HDFCN62025110626457282-REFUND-rfnd_000000000034
bnk_000000000010,2025-11-07,24754.40,IMPS/735639125570/RZP SETTLEMENT/PAYOUT
bnk_000000000011,2025-11-07,31138.54,RAZORPAYSOF SETTLEMENT CREDIT
bnk_000000000012,2025-11-07,45435.97,RTGS CR HDFCR120251107695811 RAZORPAYSOF SETTLMNT
bnk_000000000013,2025-11-07,58077.09,NEFT-HDFCN82025110792377483-RAZORPAYSOFTWAREP-HDFC-SETTLEMENT//683915
bnk_000000000090,2025-11-07,-739.76,NEFT-DR-HDFCN92025110743025483-REFUND-
bnk_000000000014,2025-11-10,24958.15,NEFT-HDFCN52025111072261987-RAZORPAYSO
bnk_000000000015,2025-11-10,22896.77,UPI/937555808705/PAYOUT/RAZORPAYSOFTWAREP
bnk_000000000016,2025-11-10,112482.37,NEFT-HDFCN92025111013134210-RAZORPAYSOF-HDFC-SETTLEMENT
bnk_000000000017,2025-11-10,155100.48,rtgs  cr hdfcr720251110364446 razorpay soft pvt l settlmnt
bnk_000000000118,2025-11-10,-870.90,DEBIT/rfnd_000000000115/REFUND  ADJ/RAZORPAY  SOFT PVT L
bnk_000000000192,2025-11-10,-155.44,NEFT-DR-HDFCN22025111072251163-REFUND-rfnd_000000000293
bnk_000000000018,2025-11-11,8888.40,RTGS CR HDFCR220ZS111157O773 RZPY SOFTWARE SETTLMNT
bnk_000000000019,2025-11-11,33741.95,RTGS CR HDFCR42025111187 RAZORPAY SOFT PVT L SETTLMNT//775
bnk_000000000020,2025-11-11,55717.05,NEFT-HDFCN62025111119164119-RAZORPAY  SOFTWARE PVT LTD-HDFC-SETTLEMENT
bnk_000000000021,2025-11-11,77469.10,RTGS  CR  HDFCR12025111I029978 RZPY SOFTWARE SETTLMNT
bnk_000000000210,2025-11-11,10787.90,RESERVE RELEASE CR HDFCN12025111184062211 RAZORPAY SOFT PVT L
bnk_000000000022,2025-11-12,61419.48,IMPS/241345492808/RZPY SOFTWARE/PAYOUT
bnk_000000000023,2025-11-12,143050.45,NEFT-HDFCN22025111260881002-RAZORPAY SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000024,2025-11-12,226075.85,RTGS CR HDFCR520251112234385 RAZORPAYSOFTWAREP SETTLMNT//18613
bnk_000000000025,2025-11-12,215995.33,NEFT/HDFCN22025111266519579/RZPY SOFTWARE/HDFC/SETTLEMENT//12161
bnk_000000000113,2025-11-12,-569.17,debit/rfnd_000000000103/refund adj/razorpay software private limited
bnk_000000000126,2025-11-12,-921.04,NEFT-DR-HDFCN52025111293994780-REFUND-rfnd_000000000134
bnk_000000000129,2025-11-12,-783.79,REFUND  RECOVERY  rfnd_000000000142 RZPY SOFTWARE//91352
bnk_000000000131,2025-11-12,-382.13,NEFT-DR-HDFCN32025111233202835-REFUND-rfnd_000000000150
bnk_000000000174,2025-11-12,-169.84,refund recovery rfnd_000000000243 razorpay soft pvt l
bnk_000000000176,2025-11-12,-412.00,DEBIT/rfnd_000000000248/REFUND ADJ/RZPY SOFTWARE
bnk_000000000181,2025-11-12,-2365.57,Debit/Rfnd_000000000259/Refund Adj/Razorpay Soft Pvt L
bnk_000000000183,2025-11-12,-668.99,DEBIT/rfnd_000000000265/REFUND ADJ/RAZORPAY SOFT PVT L
bnk_000000000026,2025-11-13,32848.09,IMPS/2394054O9720/RAZORPAY SOFTWARE PVT LTD/PAYOUT
bnk_000000000027,2025-11-13,26900.99,NEFT-HDFCN52025111369680258-RZP SETTLE
bnk_000000000028,2025-11-13,71695.30,RTGS  CR  HDFCR820251113424501 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000029,2025-11-13,63435.18,NEFT--RAZORPAY SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000108,2025-11-13,-1052.37,DEBIT/rfnd_000000000077/REFUND ADJ/RAZORPAY SOFTWARE PVT LTD
bnk_000000000122,2025-11-13,-1072.00,NEFT--DR--HDFCN42025111309882598--REFUND--rfnd_000000000124
bnk_000000000150,2025-11-13,-615.91,DEBIT/rfnd_000000000191/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000184,2025-11-13,-866.99,NEFT-DR-HDFCN92025111306124339-REFUND-rfnd_000000000266
bnk_000000000030,2025-11-15,68017.32,RAZORPAY SOFTWARE PRIVATE LIMITED SETTLEMENT CREDIT
bnk_000000000031,2025-11-15,23716.57,NEFT/HDFCN92025111596650387/RZP SETTLEMENT/HDFC/SETTLEMENT
bnk_000000000032,2025-11-15,36108.04,RAZORPAYSOF SETTLEMENT CREDIT
bnk_000000000033,2025-11-15,99144.26,NEFT-HDFCN92025111520873378-RAZORPAYSOF-HDFC-SETTLEMENT//120688
bnk_000000000034,2025-11-15,62725.44,NEFT-HDFCN6202SI11569650067-RZPY SOFTWARE-HDFC-SETTLEMENT
bnk_000000000101,2025-11-15,-230.07,DEBIT/rfnd_000000000053/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000109,2025-11-15,-704.78,DEBIT/rfnd_000000000080/REFUND ADJ/RZP
bnk_000000000132,2025-11-15,-722.00,NEFT/DR/HDFCN72025111592058675/REFUND/rfnd_000000000155
bnk_000000000144,2025-11-15,-368.24,REFUND  RECOVERY  rfnd_000000000184
bnk_000000000035,2025-11-17,11653.06,IMPS/761603092506/RZPY SOFTWARE/PAYOUT
bnk_000000000036,2025-11-17,36666.36,NEFT-HDFCN62 025111720231855-RZPY SOFTWARE-HDFC-SETTLEMENT//3828
bnk_000000000037,2025-11-17,68705.08,NEFT-HDFCN62025111717947867-RZP SETTLEMENT-HDFC-SETTLEMENT
bnk_000000000040,2025-11-17,58213.75,RTGS CR HDFCR120 251117821671 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000097,2025-11-17,-243.72,NEFT-DR-HDFCN22025111751518737-REFUND-rfnd_000000000039
bnk_000000000168,2025-11-17,-669.00,REFUND RECOVERY rfnd_000000000237 RZP SETTLEMENT
bnk_000000000186,2025-11-17,-228.00,NEFT-DR-HDFCN22025111783128309-REFUND-
bnk_000000000187,2025-11-17,-2160.66,debit/rfnd_000000000274/refund adj/razorpaysof//178
bnk_000000000038,2025-11-18,-68705.08,PAYOUT REVERSAL/HDFCN62025111717947867/RETURN-R03
