dispute_id,payment_id,amount,fee,raised_at_ist,reversed_at_ist
disp_000000000001,pay_00000000000949,358.84,300.00,2025-11-18T13:08:33+05:30,
disp_000000000002,pay_00000000003717,965.62,300.00,2025-11-11T07:28:02+05:30,
disp_000000000003,pay_00000000003560,953.99,300.00,2025-11-30T03:47:20+05:30,
disp_000000000004,pay_00000000004217,818.88,300.00,2025-11-28T13:19:32+05:30,2025-12-03T01:27:29+05:30
disp_000000000005,pay_00000000003913,3044.00,300.00,2025-11-30T01:45:21+05:30,
disp_000000000006,pay_00000000003048,471.66,300.00,2025-11-18T15:08:56+05:30,
disp_000000000007,pay_00000000000982,3051.00,300.00,2025-11-30T15:52:58+05:30,
disp_000000000008,pay_00000000000658,201.09,300.00,2025-11-30T11:39:25+05:30,
disp_000000000009,pay_00000000002461,2775.95,300.00,2025-11-30T13:08:39+05:30,
disp_000000000010,pay_00000000001133,1222.44,300.00,2025-11-28T18:53:27+05:30,
disp_000000000011,pay_00000000004745,126.00,300.00,2025-11-30T06:21:43+05:30,
disp_000000000012,pay_00000000003260,13875.61,300.00,2025-11-22T17:28:14+05:30,2025-12-03T20:02:14+05:30
disp_000000000013,pay_00000000004569,632.35,300.00,2025-11-30T18:42:57+05:30,
disp_000000000014,pay_00000000003060,1045.00,300.00,2025-11-25T16:50:35+05:30,
disp_000000000015,pay_00000000003210,482.99,300.00,2025-11-30T19:30:01+05:30,
disp_000000000016,pay_00000000002533,853.64,300.00,2025-11-30T15:55:02+05:30,
disp_000000000017,pay_00000000003009,569.27,300.00,2025-11-16T15:30:59+05:30,
disp_000000000018,pay_00000000004857,1023.00,300.00,2025-11-22T21:05:17+05:30,
disp_000000000019,pay_00000000002909,584.18,300.00,2025-11-30T14:32:49+05:30,
disp_000000000020,pay_00000000003962,512.19,300.00,2025-11-24T23:08:27+05:30,2025-12-03T17:26:33+05:30
disp_000000000021,pay_00000000004558,1038.38,300.00,2025-11-30T20:47:59+05:30,
disp_000000000022,pay_00000000004350,350.00,300.00,2025-11-30T13:25:26+05:30,
disp_000000000023,pay_00000000001610,515.00,300.00,2025-11-19T19:02:06+05:30,2025-12-03T23:42:50+05:30
disp_000000000024,pay_00000000003579,1733.95,300.00,2025-11-27T19:58:48+05:30,
disp_000000000025,pay_00000000000340,671.08,300.00,2025-11-28T06:37:47+05:30,
disp_000000000026,pay_00000000002748,7967.90,300.00,2025-11-30T23:44:59+05:30,
disp_000000000027,pay_00000000000319,329.99,300.00,2025-11-20T09:01:34+05:30,
disp_000000000028,pay_00000000002153,950.95,300.00,2025-11-18T13:15:31+05:30,
disp_000000000029,pay_00000000002714,703.00,300.00,2025-11-30T15:11:52+05:30,
disp_000000000030,pay_00000000000844,1054.00,300.00,2025-11-30T07:16:53+05:30,
disp_000000000031,pay_00000000001614,304.51,300.00,2025-11-29T20:22:03+05:30,
disp_000000000032,pay_00000000000544,12032.99,300.00,2025-11-30T23:07:31+05:30,
disp_000000000033,pay_00000000002201,126.49,300.00,2025-11-18T21:43:50+05:30,
disp_000000000034,pay_00000000004053,2176.81,300.00,2025-11-30T17:32:45+05:30,
disp_000000000035,pay_00000000004813,522.67,300.00,2025-11-30T17:40:04+05:30,
disp_000000000036,pay_00000000001707,351.99,300.00,2025-11-30T18:28:57+05:30,
disp_000000000037,pay_00000000000727,586.99,300.00,2025-11-24T06:41:41+05:30,2025-12-03T08:09:56+05:30
disp_000000000038,pay_00000000001758,2794.00,300.00,2025-11-27T21:56:15+05:30,2025-12-03T18:30:23+05:30
disp_000000000039,pay_00000000000413,445.84,300.00,2025-11-30T04:33:44+05:30,
disp_000000000040,pay_00000000002514,2471.22,300.00,2025-11-17T12:35:09+05:30,
