order_id,customer_id,amount,created_at_utc
order_0000000001,cust_0788,2054.16,2025-11-22T10:18:41+00:00
order_0000000002,cust_0565,170.71,2025-11-17T17:47:59+00:00
order_0000000003,cust_0857,945.69,2025-11-27T10:24:12+00:00
order_0000000004,cust_0241,141.64,2025-11-21T13:20:22+00:00
order_0000000005,cust_0627,178.00,2025-11-26T16:14:14+00:00
order_0000000006,cust_0223,8547.53,2025-11-09T17:16:57+00:00
order_0000000007,cust_0530,2053.99,2025-11-20T05:16:05+00:00
order_0000000008,cust_0459,300.00,2025-11-17T00:47:06+00:00
order_0000000009,cust_0564,288.32,2025-11-20T09:58:42+00:00
order_0000000010,cust_0252,715.24,2025-11-17T05:41:32+00:00
order_0000000011,cust_0353,792.99,2025-11-25T02:33:32+00:00
order_0000000012,cust_0279,2623.89,2025-11-18T17:43:16+00:00
order_0000000013,cust_0579,355.93,2025-11-26T09:26:17+00:00
order_0000000014,cust_0809,616.79,2025-11-22T04:35:42+00:00
order_0000000015,cust_0737,864.00,2025-11-28T09:13:41+00:00
order_0000000016,cust_0452,1045.94,2025-11-03T11:55:39+00:00
order_0000000017,cust_0666,346.00,2025-11-20T00:38:02+00:00
order_0000000018,cust_0514,684.43,2025-11-19T04:43:00+00:00
order_0000000019,cust_0323,390.28,2025-11-05T03:52:19+00:00
order_0000000020,cust_0431,226.25,2025-11-14T17:07:08+00:00
order_0000000021,cust_0565,889.40,2025-11-07T22:05:07+00:00
order_0000000022,cust_0294,7694.48,2025-11-16T06:48:46+00:00
order_0000000023,cust_0385,825.00,2025-11-03T15:50:42+00:00
order_0000000024,cust_0334,2550.43,2025-11-02T05:23:01+00:00
order_0000000025,cust_0316,534.00,2025-11-07T00:38:42+00:00
order_0000000026,cust_0491,157.37,2025-11-17T05:45:19+00:00
order_0000000027,cust_0085,754.67,2025-11-25T18:03:34+00:00
order_0000000028,cust_0742,2213.99,2025-11-15T12:44:52+00:00
order_0000000029,cust_0236,888.00,2025-11-05T17:54:27+00:00
order_0000000030,cust_0209,687.47,2025-11-09T17:03:17+00:00
order_0000000031,cust_0807,666.00,2025-11-09T06:30:31+00:00
order_0000000032,cust_0319,687.48,2025-11-21T05:34:24+00:00
order_0000000033,cust_0374,531.00,2025-11-04T08:25:11+00:00
order_0000000034,cust_0701,2228.22,2025-11-05T08:32:35+00:00
order_0000000035,cust_0417,1315.00,2025-11-23T09:35:17+00:00
order_0000000036,cust_0357,144.77,2025-11-09T05:04:21+00:00
order_0000000037,cust_0609,304.00,2025-11-07T13:05:14+00:00
order_0000000038,cust_0401,2927.00,2025-11-25T09:37:53+00:00
order_0000000039,cust_0055,2782.50,2025-11-07T08:26:41+00:00
order_0000000040,cust_0217,454.23,2025-11-13T02:50:09+00:00
order_0000000041,cust_0537,409.89,2025-11-09T17:12:05+00:00
order_0000000042,cust_0426,112.00,2025-11-30T04:10:46+00:00
order_0000000043,cust_0405,798.30,2025-11-29T11:42:05+00:00
order_0000000044,cust_0228,1228.00,2025-11-16T16:21:55+00:00
order_0000000045,cust_0341,2191.00,2025-11-28T10:06:15+00:00
order_0000000046,cust_0006,256.76,2025-11-24T14:16:42+00:00
order_0000000047,cust_0232,1229.78,2025-11-01T00:43:26+00:00
order_0000000048,cust_0481,6460.04,2025-11-28T20:47:10+00:00
order_0000000049,cust_0885,3397.00,2025-11-09T16:38:46+00:00
order_0000000050,cust_0678,687.53,2025-11-08T23:13:23+00:00
order_0000000051,cust_0389,571.27,2025-11-24T01:45:24+00:00
order_0000000052,cust_0878,495.99,2025-11-21T10:55:27+00:00
order_0000000053,cust_0072,943.00,2025-11-09T06:32:29+00:00
order_0000000054,cust_0247,941.00,2025-11-25T05:11:31+00:00
order_0000000055,cust_0559,115.00,2025-11-01T07:04:29+00:00
order_0000000056,cust_0201,583.92,2025-11-19T00:30:32+00:00
order_0000000057,cust_0394,851.50,2025-11-03T10:03:35+00:00
order_0000000058,cust_0481,281.53,2025-11-13T10:31:53+00:00
order_0000000059,cust_0878,1056.31,2025-11-27T00:55:19+00:00
order_0000000060,cust_0356,962.99,2025-11-12T12:33:25+00:00
order_0000000061,cust_0519,1044.00,2025-11-25T10:58:10+00:00
order_0000000062,cust_0344,624.18,2025-11-02T19:08:35+00:00
order_0000000063,cust_0660,1040.80,2025-11-03T16:57:50+00:00
order_0000000064,cust_0596,375.00,2025-11-08T16:24:08+00:00
order_0000000065,cust_0106,3360.99,2025-11-23T07:40:50+00:00
order_0000000066,cust_0549,158.49,2025-11-21T13:30:57+00:00
order_0000000067,cust_0393,644.00,2025-11-03T09:24:06+00:00
order_0000000068,cust_0686,850.15,2025-11-18T17:17:17+00:00
order_0000000069,cust_0531,926.47,2025-11-03T10:53:39+00:00
order_0000000070,cust_0806,869.15,2025-11-26T13:59:03+00:00
order_0000000071,cust_0745,530.00,2025-11-02T06:20:22+00:00
order_0000000072,cust_0119,458.00,2025-11-08T12:57:44+00:00
order_0000000073,cust_0195,872.00,2025-11-17T20:31:44+00:00
order_0000000074,cust_0361,13056.26,2025-11-22T01:45:37+00:00
order_0000000075,cust_0533,747.57,2025-11-11T07:13:58+00:00
order_0000000076,cust_0403,1838.99,2025-11-03T14:26:39+00:00
order_0000000077,cust_0275,841.00,2025-11-22T02:22:59+00:00
order_0000000078,cust_0648,464.00,2025-11-25T03:29:59+00:00
order_0000000079,cust_0707,866.44,2025-11-19T20:55:53+00:00
order_0000000080,cust_0253,870.26,2025-11-04T07:00:16+00:00
order_0000000081,cust_0654,763.99,2025-11-19T22:03:38+00:00
order_0000000082,cust_0169,1000.69,2025-11-23T21:15:56+00:00
