payment_id,order_id,amount,method,status,created_at_ist
pay_00000000000001,order_0000000001,2054.16,upi,captured,2025-11-22T15:52:57+05:30
pay_00000000000002,order_0000000002,170.71,card,captured,2025-11-17T23:20:03+05:30
pay_00000000000003,order_0000000003,945.69,upi,captured,2025-11-27T16:02:39+05:30
pay_00000000000004,order_0000000004,141.64,card,captured,2025-11-21T18:51:08+05:30
pay_00000000000005,order_0000000005,178.00,upi,captured,2025-11-26T21:49:28+05:30
pay_00000000000006,order_0000000006,8547.53,upi,captured,2025-11-09T22:59:50+05:30
pay_00000000000007,order_0000000007,2053.99,upi,captured,2025-11-20T11:01:03+05:30
pay_00000000000008,order_0000000008,300.00,card,captured,2025-11-17T06:26:01+05:30
pay_00000000000009,order_0000000009,288.32,wallet,captured,2025-11-20T15:34:23+05:30
pay_00000000000010,order_0000000010,715.24,upi,captured,2025-11-17T11:21:38+05:30
pay_00000000000011,order_0000000011,792.99,card,captured,2025-11-25T08:13:53+05:30
pay_00000000000012,order_0000000012,2623.89,card,captured,2025-11-18T23:17:54+05:30
pay_00000000000013,order_0000000013,355.93,card,captured,2025-11-26T15:07:10+05:30
pay_00000000000014,order_0000000014,616.79,card,captured,2025-11-22T10:17:23+05:30
pay_00000000000015,order_0000000015,864.00,upi,captured,2025-11-28T14:46:13+05:30
pay_00000000000016,order_0000000016,1045.94,wallet,captured,2025-11-03T17:40:16+05:30
pay_00000000000017,order_0000000017,346.00,upi,captured,2025-11-20T06:18:02+05:30
pay_00000000000018,order_0000000018,684.43,card,captured,2025-11-19T10:17:16+05:30
pay_00000000000019,order_0000000019,390.28,card,captured,2025-11-05T09:25:12+05:30
pay_00000000000020,order_0000000020,226.25,wallet,captured,2025-11-14T22:44:02+05:30
pay_00000000000021,order_0000000021,889.40,netbanking,captured,2025-11-08T03:41:46+05:30
pay_00000000000022,order_0000000022,7694.48,upi,captured,2025-11-16T12:23:30+05:30
pay_00000000000023,order_0000000023,825.00,upi,captured,2025-11-03T21:22:03+05:30
pay_00000000000024,order_0000000024,2550.43,upi,captured,2025-11-02T10:58:26+05:30
pay_00000000000025,order_0000000025,534.00,upi,captured,2025-11-07T06:11:19+05:30
pay_00000000000026,order_0000000026,157.37,upi,captured,2025-11-17T11:21:06+05:30
pay_00000000000027,order_0000000027,754.67,upi,captured,2025-11-25T23:45:50+05:30
pay_00000000000028,order_0000000028,2213.99,upi,captured,2025-11-15T18:19:05+05:30
pay_00000000000029,order_0000000029,888.00,card,captured,2025-11-05T23:35:39+05:30
pay_00000000000030,order_0000000030,687.47,upi,captured,2025-11-09T22:41:08+05:30
pay_00000000000031,order_0000000031,666.00,card,captured,2025-11-09T12:15:12+05:30
pay_00000000000032,order_0000000032,687.48,netbanking,captured,2025-11-21T11:10:56+05:30
pay_00000000000033,order_0000000033,531.00,card,captured,2025-11-04T14:08:32+05:30
pay_00000000000034,order_0000000034,2228.22,card,captured,2025-11-05T14:09:18+05:30
pay_00000000000035,order_0000000035,1315.00,upi,captured,2025-11-23T15:17:55+05:30
pay_00000000000036,order_0000000036,144.77,netbanking,captured,2025-11-09T10:48:21+05:30
pay_00000000000037,order_0000000037,304.00,upi,captured,2025-11-07T18:49:23+05:30
pay_00000000000038,order_0000000038,2927.00,card,captured,2025-11-25T15:20:35+05:30
pay_00000000000039,order_0000000039,2782.50,card,captured,2025-11-07T14:01:08+05:30
pay_00000000000040,order_0000000040,454.23,upi,captured,2025-11-13T08:33:48+05:30
pay_00000000000041,order_0000000041,409.89,wallet,captured,2025-11-09T22:51:12+05:30
pay_00000000000042,order_0000000042,112.00,card,captured,2025-11-30T09:55:37+05:30
pay_00000000000043,order_0000000043,798.30,wallet,captured,2025-11-29T17:14:37+05:30
pay_00000000000044,order_0000000044,1228.00,upi,captured,2025-11-16T21:53:28+05:30
pay_00000000000045,order_0000000045,2191.00,upi,captured,2025-11-28T15:49:34+05:30
pay_00000000000046,order_0000000046,256.76,upi,captured,2025-11-24T19:48:00+05:30
pay_00000000000047,order_0000000047,1229.78,upi,captured,2025-11-01T06:15:44+05:30
pay_00000000000048,order_0000000048,6460.04,card,captured,2025-11-29T02:20:20+05:30
pay_00000000000049,order_0000000049,3397.00,card,captured,2025-11-09T22:20:21+05:30
pay_00000000000050,order_0000000050,687.53,upi,failed,2025-11-09T04:48:59+05:30
pay_00000000000051,order_0000000051,571.27,upi,captured,2025-11-24T07:27:07+05:30
pay_00000000000052,order_0000000052,495.99,upi,captured,2025-11-21T16:28:34+05:30
pay_00000000000053,order_0000000053,943.00,upi,captured,2025-11-09T12:06:20+05:30
pay_00000000000054,order_0000000054,941.00,card,captured,2025-11-25T10:55:06+05:30
pay_00000000000055,order_0000000055,115.00,upi,captured,2025-11-01T12:35:10+05:30
pay_00000000000056,order_0000000056,583.92,upi,captured,2025-11-19T06:11:39+05:30
pay_00000000000057,order_0000000057,851.50,card,captured,2025-11-03T15:34:23+05:30
pay_00000000000058,order_0000000058,281.53,card,captured,2025-11-13T16:13:10+05:30
pay_00000000000059,order_0000000059,1056.31,netbanking,captured,2025-11-27T06:29:55+05:30
pay_00000000000060,order_0000000060,962.99,upi,captured,2025-11-12T18:16:35+05:30
pay_00000000000061,order_0000000061,1044.00,upi,captured,2025-11-25T16:41:41+05:30
pay_00000000000062,order_0000000062,624.18,card,captured,2025-11-03T00:50:29+05:30
pay_00000000000063,order_0000000063,1040.80,card,captured,2025-11-03T22:36:54+05:30
pay_00000000000064,order_0000000064,375.00,upi,captured,2025-11-08T22:06:01+05:30
pay_00000000000065,order_0000000065,3360.99,card,captured,2025-11-23T13:19:32+05:30
pay_00000000000066,order_0000000066,158.49,upi,captured,2025-11-21T19:06:42+05:30
pay_00000000000067,order_0000000067,644.00,card,captured,2025-11-03T14:57:41+05:30
pay_00000000000068,order_0000000068,850.15,upi,captured,2025-11-18T22:54:31+05:30
pay_00000000000069,order_0000000069,926.47,wallet,captured,2025-11-03T16:28:00+05:30
pay_00000000000070,order_0000000070,869.15,netbanking,captured,2025-11-26T19:35:29+05:30
pay_00000000000071,order_0000000071,530.00,card,captured,2025-11-02T11:59:29+05:30
pay_00000000000072,order_0000000072,458.00,upi,captured,2025-11-08T18:30:24+05:30
pay_00000000000073,order_0000000073,872.00,upi,captured,2025-11-18T02:10:17+05:30
pay_00000000000074,order_0000000074,13056.26,wallet,captured,2025-11-22T07:27:57+05:30
pay_00000000000075,order_0000000075,747.57,wallet,captured,2025-11-11T12:58:30+05:30
pay_00000000000076,order_0000000076,1838.99,card,captured,2025-11-03T20:08:33+05:30
pay_00000000000077,order_0000000077,841.00,wallet,captured,2025-11-22T07:59:16+05:30
pay_00000000000078,order_0000000078,464.00,upi,captured,2025-11-25T09:07:45+05:30
pay_00000000000079,order_0000000079,866.44,upi,captured,2025-11-20T02:30:38+05:30
pay_00000000000080,order_0000000080,870.26,card,captured,2025-11-04T12:30:58+05:30
pay_00000000000081,order_0000000081,763.99,wallet,captured,2025-11-20T03:44:55+05:30
pay_00000000000082,order_0000000082,1000.69,card,captured,2025-11-24T02:56:31+05:30
pay_00000000000083,order_0000000083,1604.35,upi,captured,2025-11-13T12:27:07+05:30
pay_00000000000084,order_0000000084,8999.99,card,captured,2025-11-24T17:52:31+05:30
pay_00000000000085,order_0000000085,982.00,upi,captured,2025-11-11T16:21:42+05:30
pay_00000000000086,order_0000000086,960.00,card,captured,2025-11-28T19:54:46+05:30
pay_00000000000087,order_0000000087,257.00,upi,captured,2025-11-30T16:55:57+05:30
pay_00000000000088,order_0000000088,585.29,wallet,captured,2025-11-23T09:58:46+05:30
pay_00000000000089,order_0000000089,145.83,upi,captured,2025-11-19T17:52:25+05:30
pay_00000000000090,order_0000000090,450.62,card,captured,2025-11-23T13:52:33+05:30
pay_00000000000091,order_0000000091,1063.30,netbanking,captured,2025-11-05T16:18:45+05:30
pay_00000000000092,order_0000000092,3503.93,upi,captured,2025-11-30T11:25:55+05:30
pay_00000000000093,order_0000000093,893.99,netbanking,failed,2025-11-02T12:29:36+05:30
pay_00000000000094,order_0000000094,873.99,upi,captured,2025-11-29T19:12:06+05:30
pay_00000000000095,order_0000000095,1882.00,card,captured,2025-11-08T09:17:40+05:30
pay_00000000000096,order_0000000096,811.79,card,captured,2025-11-06T20:11:44+05:30
