refund_id,payment_id,amount,created_at_ist,netted_flag
rfnd_000000000001,pay_00000000004357,546.23,2025-11-09T16:00:20+05:30,1
rfnd_000000000002,pay_00000000003612,1844.25,2025-11-28T18:42:07+05:30,0
rfnd_000000000003,pay_00000000001758,210.15,2025-11-20T07:22:28+05:30,1
rfnd_000000000004,pay_00000000000997,257.17,2025-11-19T00:04:14+05:30,1
rfnd_000000000005,pay_00000000003007,739.76,2025-11-04T13:31:29+05:30,0
rfnd_000000000006,pay_00000000002776,174.00,2025-11-30T20:34:25+05:30,1
rfnd_000000000007,pay_00000000002986,420.61,2025-11-12T07:11:01+05:30,1
rfnd_000000000008,pay_00000000003974,829.58,2025-11-04T13:23:42+05:30,1
rfnd_000000000009,pay_00000000004638,221.95,2025-11-17T12:41:24+05:30,1
rfnd_000000000010,pay_00000000002133,535.27,2025-11-13T19:00:16+05:30,1
rfnd_000000000011,pay_00000000001294,641.43,2025-11-18T00:14:40+05:30,1
rfnd_000000000012,pay_00000000002105,324.00,2025-11-30T23:22:00+05:30,1
rfnd_000000000013,pay_00000000000802,588.64,2025-11-21T15:15:52+05:30,1
rfnd_000000000014,pay_00000000000342,319.38,2025-11-10T17:05:55+05:30,1
rfnd_000000000015,pay_00000000001087,861.36,2025-11-20T15:34:46+05:30,0
rfnd_000000000016,pay_00000000001330,252.96,2025-11-25T07:20:06+05:30,1
rfnd_000000000017,pay_00000000002827,821.81,2025-11-19T09:45:57+05:30,1
rfnd_000000000018,pay_00000000002785,976.99,2025-11-22T18:55:47+05:30,1
rfnd_000000000019,pay_00000000001436,3029.00,2025-11-30T17:04:28+05:30,1
rfnd_000000000020,pay_00000000003405,150.69,2025-11-19T17:32:23+05:30,1
rfnd_000000000021,pay_00000000004097,1176.38,2025-11-30T20:46:19+05:30,1
rfnd_000000000022,pay_00000000004922,593.99,2025-11-05T15:29:18+05:30,1
rfnd_000000000023,pay_00000000000919,222.00,2025-11-11T19:12:02+05:30,1
rfnd_000000000024,pay_00000000001599,168.00,2025-11-30T13:25:47+05:30,0
rfnd_000000000025,pay_00000000002178,949.00,2025-11-25T04:25:18+05:30,1
rfnd_000000000026,pay_00000000001207,195.32,2025-11-20T21:34:01+05:30,1
rfnd_000000000027,pay_00000000004868,379.57,2025-11-19T14:28:11+05:30,1
rfnd_000000000028,pay_00000000001225,578.00,2025-11-12T20:01:52+05:30,1
rfnd_000000000029,pay_00000000003474,362.00,2025-11-18T20:55:06+05:30,1
rfnd_000000000030,pay_00000000001040,714.21,2025-11-30T22:58:36+05:30,1
rfnd_000000000031,pay_00000000004460,615.53,2025-11-18T14:48:54+05:30,1
rfnd_000000000032,pay_00000000003291,141.70,2025-11-18T18:10:39+05:30,1
rfnd_000000000033,pay_00000000000134,17220.59,2025-11-30T16:26:44+05:30,1
rfnd_000000000034,pay_00000000002158,2949.19,2025-11-03T07:37:09+05:30,0
rfnd_000000000035,pay_00000000000332,320.45,2025-11-15T10:19:10+05:30,0
rfnd_000000000036,pay_00000000003632,2737.26,2025-11-24T10:47:32+05:30,1
rfnd_000000000037,pay_00000000003129,613.78,2025-11-18T14:01:01+05:30,0
rfnd_000000000038,pay_00000000001715,654.80,2025-11-27T21:50:03+05:30,0
rfnd_000000000039,pay_00000000003261,243.72,2025-11-13T06:37:01+05:30,0
