reserve_id,amount,held_on,release_date,released_at_ist,netted_flag
rsrv_A7K2QX_0001,4122.73,2025-08-08,2025-11-06,2025-11-06T14:58:13+05:30,1
rsrv_A7K2QX_0002,7367.21,2025-09-02,2025-12-01,2025-12-01T23:33:00+05:30,1
rsrv_A7K2QX_0003,5277.32,2025-08-31,2025-11-29,2025-11-29T01:55:40+05:30,0
rsrv_A7K2QX_0004,5819.90,2025-08-12,2025-11-10,2025-11-10T23:48:59+05:30,1
rsrv_A7K2QX_0005,12725.94,2025-08-21,2025-11-19,2025-11-19T16:11:24+05:30,0
rsrv_A7K2QX_0006,15541.84,2025-08-14,2025-11-12,2025-11-12T16:59:14+05:30,1
rsrv_A7K2QX_0007,13304.06,2025-08-23,2025-11-21,2025-11-21T12:55:04+05:30,1
rsrv_A7K2QX_0008,13721.07,2025-09-03,2025-12-02,2025-12-02T09:56:14+05:30,1
rsrv_A7K2QX_0009,13434.65,2025-08-23,2025-11-21,2025-11-21T22:53:25+05:30,1
rsrv_A7K2QX_0010,16795.46,2025-08-15,2025-11-13,2025-11-13T00:55:27+05:30,1
rsrv_A7K2QX_0011,9837.04,2025-08-28,2025-11-26,2025-11-26T20:15:14+05:30,0
rsrv_A7K2QX_0012,2782.76,2025-08-21,2025-11-19,2025-11-19T18:48:59+05:30,0
rsrv_A7K2QX_0013,10787.90,2025-08-13,2025-11-11,2025-11-11T12:14:46+05:30,0
rsrv_A7K2QX_0014,9909.53,2025-08-06,2025-11-04,2025-11-04T16:54:29+05:30,1
rsrv_A7K2QX_0015,17955.41,2025-08-13,2025-11-11,2025-11-11T21:53:44+05:30,1
rsrv_A7K2QX_0016,6477.19,2025-08-29,2025-11-27,2025-11-27T11:42:44+05:30,1
rsrv_A7K2QX_0017,4352.69,2025-08-21,2025-11-19,2025-11-19T11:27:30+05:30,1
rsrv_A7K2QX_0018,4284.44,2025-08-20,2025-11-18,2025-11-18T18:34:11+05:30,0
rsrv_A7K2QX_0019,15347.07,2025-09-03,2025-12-02,2025-12-02T21:50:38+05:30,1
rsrv_A7K2QX_0020,13749.71,2025-09-04,2025-12-03,2025-12-03T14:14:09+05:30,1
rsrv_A7K2QX_0021,11597.32,2025-08-26,2025-11-24,2025-11-24T06:03:18+05:30,1
