settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_merchant_1_0001,249700040264,10828.39,135.24,24.35,83.78,10266.25,2025-11-04T18:30:00+05:30,0
setl_merchant_1_0002,HDFCN42025110495048853,46274.60,637.54,114.75,314.52,43699.57,2025-11-04T18:30:00+05:30,0
setl_merchant_1_0003,HDFCR420251104341570,45068.25,434.46,78.21,208.91,53375.58,2025-11-04T18:30:00+05:30,0
setl_merchant_1_0004,HDFCR720251104252316,68524.96,799.42,143.90,310.51,65386.18,2025-11-04T18:30:00+05:30,0
setl_merchant_1_0005,LM63XJ3RUI3WM5UX,52479.63,463.89,83.51,175.20,51757.03,2025-11-06T18:30:00+05:30,1
setl_merchant_1_0006,923185686168,42715.96,309.30,55.69,256.21,41419.38,2025-11-06T18:30:00+05:30,0
setl_merchant_1_0007,HDFCN12025110623005103,101401.81,886.63,159.60,630.03,97454.47,2025-11-06T18:30:00+05:30,0
setl_merchant_1_0008,HDFCR820251106723746,151001.67,1559.26,280.66,631.43,149257.30,2025-11-06T18:30:00+05:30,0
setl_merchant_1_0009,911137709728,149058.01,1393.43,250.82,868.06,143584.92,2025-11-06T18:30:00+05:30,0
setl_merchant_1_0010,735639125570,25882.99,291.02,52.39,103.84,24754.40,2025-11-07T18:30:00+05:30,0
setl_merchant_1_0011,VGQCT0R71BYA4R0U,33028.87,316.29,56.94,182.93,31138.54,2025-11-07T18:30:00+05:30,0
setl_merchant_1_0012,HDFCR120251107695811,52251.98,602.63,108.49,343.97,45435.97,2025-11-07T18:30:00+05:30,0
setl_merchant_1_0013,HDFCN82025110792377483,61676.41,902.54,162.46,428.39,58077.09,2025-11-07T18:30:00+05:30,0
setl_merchant_1_0014,HDFCN52025111072261987,26549.53,375.10,67.52,233.15,24958.15,2025-11-10T18:30:00+05:30,0
setl_merchant_1_0015,937555808705,24007.60,280.30,50.45,151.67,22896.77,2025-11-10T18:30:00+05:30,0
setl_merchant_1_0016,HDFCN92025111013134210,118445.73,1065.99,191.88,472.48,112482.37,2025-11-10T18:30:00+05:30,0
setl_merchant_1_0017,HDFCR720251110364446,156475.79,904.41,162.85,878.88,155100.48,2025-11-10T18:30:00+05:30,0
setl_merchant_1_0018,HDFCR220251111570773,9201.34,86.28,15.53,37.13,8888.40,2025-11-11T18:30:00+05:30,0
setl_merchant_1_0019,HDFCR420251111872624,34693.15,233.08,41.95,286.11,33741.95,2025-11-11T18:30:00+05:30,0
setl_merchant_1_0020,HDFCN62025111119164119,57520.15,438.74,78.99,340.09,55717.05,2025-11-11T18:30:00+05:30,0
setl_merchant_1_0021,HDFCR120251111029978,62289.79,365.48,65.78,367.10,77469.10,2025-11-11T18:30:00+05:30,0
setl_merchant_1_0022,241345492808,63779.85,641.00,115.39,249.06,61419.48,2025-11-12T18:30:00+05:30,0
setl_merchant_1_0023,HDFCN22025111260881002,149690.57,1481.57,266.68,761.04,143050.40,2025-11-12T18:30:00+05:30,0
setl_merchant_1_0024,HDFCR520251112234385,231313.86,1413.60,254.47,1240.70,226075.85,2025-11-12T18:30:00+05:30,0
setl_merchant_1_0025,HDFCN22025111266519579,226076.18,2022.90,364.11,1175.45,215995.33,2025-11-12T18:30:00+05:30,0
setl_merchant_1_0026,239405409720,16700.43,147.92,26.63,86.62,32848.09,2025-11-13T18:30:00+05:30,0
setl_merchant_1_0027,HDFCN52025111369680258,30022.08,124.99,22.49,167.25,26900.99,2025-11-13T18:30:00+05:30,0
setl_merchant_1_0028,HDFCR820251113424501,75757.77,1085.31,195.34,130.91,71695.30,2025-11-13T18:30:00+05:30,0
setl_merchant_1_0029,HDFCN32025111318885087,66855.27,575.04,103.48,352.25,63435.18,2025-11-13T18:30:00+05:30,0
setl_merchant_1_0030,MFMU8SQV6TKHZAR8,69445.93,916.03,164.91,347.67,68017.32,2025-11-15T18:30:00+05:30,1
setl_merchant_1_0031,HDFCN92025111596650387,25884.34,317.12,57.07,187.86,23716.57,2025-11-15T18:30:00+05:30,0
setl_merchant_1_0032,X78QUM14EK3U6F11,38463.04,334.05,60.13,219.47,36108.03,2025-11-15T18:30:00+05:30,0
setl_merchant_1_0033,HDFCN92025111520873378,103181.10,542.77,97.70,239.89,99144.26,2025-11-15T18:30:00+05:30,0
setl_merchant_1_0034,HDFCN62025111569650067,67928.82,815.72,146.83,414.40,62725.44,2025-11-15T18:30:00+05:30,0
setl_merchant_1_0035,761603092506,12125.51,124.31,22.37,41.43,11653.06,2025-11-17T18:30:00+05:30,0
setl_merchant_1_0036,HDFCN62025111720231855,37192.42,94.81,17.06,245.88,36666.36,2025-11-17T18:30:00+05:30,0
setl_merchant_1_0037,HDFCN32025111757400271,72588.10,330.51,59.48,532.63,68705.08,2025-11-17T18:30:00+05:30,0
setl_merchant_1_0038,HDFCR120251117821671,64145.48,757.79,136.42,372.54,58213.75,2025-11-17T18:30:00+05:30,0
setl_merchant_1_0039,,9739.26,87.29,15.71,74.16,9408.63,2025-11-18T18:30:00+05:30,0
setl_merchant_1_0040,HDFCN62025111835719617,30809.20,201.28,36.23,133.71,28758.97,2025-11-18T18:30:00+05:30,0
