bank_txn_id,settlement_id,component,amount,split
bnk_000000000001,setl_B3LTZP_0001,gross,583135.11,train
bnk_000000000001,setl_B3LTZP_0001,platform_fee,-4683.35,train
bnk_000000000001,setl_B3LTZP_0001,gst_on_fee,-843.00,train
bnk_000000000001,setl_B3LTZP_0001,tds_194o,-5051.98,train
bnk_000000000001,setl_B3LTZP_0001,TOTAL_bank_credit,572556.78,train
bnk_000000000002,setl_B3LTZP_0002,gross,848355.52,train
bnk_000000000002,setl_B3LTZP_0002,platform_fee,-6914.42,train
bnk_000000000002,setl_B3LTZP_0002,gst_on_fee,-1244.60,train
bnk_000000000002,setl_B3LTZP_0002,tds_194o,-8059.86,train
bnk_000000000002,setl_B3LTZP_0002,reserve_held,-16997.52,train
bnk_000000000002,setl_B3LTZP_0002,TOTAL_bank_credit,815139.12,train
bnk_000000000005,setl_B3LTZP_0003,gross,1730356.97,train
bnk_000000000005,setl_B3LTZP_0003,platform_fee,-15639.38,train
bnk_000000000005,setl_B3LTZP_0003,gst_on_fee,-2815.09,train
bnk_000000000005,setl_B3LTZP_0003,tds_194o,-16154.60,train
bnk_000000000005,setl_B3LTZP_0003,reserve_held,-40900.67,train
bnk_000000000005,setl_B3LTZP_0003,reserve_released,5308.64,train
bnk_000000000005,setl_B3LTZP_0003,TOTAL_bank_credit,1660155.87,train
bnk_000000000006,setl_B3LTZP_0004,gross,242509.63,train
bnk_000000000006,setl_B3LTZP_0004,platform_fee,-3742.39,train
bnk_000000000006,setl_B3LTZP_0004,gst_on_fee,-673.63,train
bnk_000000000006,setl_B3LTZP_0004,tds_194o,-1672.87,train
bnk_000000000006,setl_B3LTZP_0004,reserve_held,-10371.01,train
bnk_000000000006,setl_B3LTZP_0004,reserve_released,2537.01,train
bnk_000000000006,setl_B3LTZP_0004,TOTAL_bank_credit,228586.74,train
bnk_000000000007,setl_B3LTZP_0005,gross,3529291.35,train
bnk_000000000007,setl_B3LTZP_0005,platform_fee,-28110.90,train
bnk_000000000007,setl_B3LTZP_0005,gst_on_fee,-5059.97,train
bnk_000000000007,setl_B3LTZP_0005,tds_194o,-28361.75,train
bnk_000000000007,setl_B3LTZP_0005,refund_netted,-36364.37,train
bnk_000000000007,setl_B3LTZP_0005,reserve_held,-73360.89,train
bnk_000000000007,setl_B3LTZP_0005,TOTAL_bank_credit,3358033.47,train
bnk_000000000008,setl_B3LTZP_0006,gross,848020.11,train
bnk_000000000008,setl_B3LTZP_0006,platform_fee,-2907.77,train
bnk_000000000008,setl_B3LTZP_0006,gst_on_fee,-523.39,train
bnk_000000000008,setl_B3LTZP_0006,tds_194o,-6805.82,train
bnk_000000000008,setl_B3LTZP_0006,reserve_held,-6749.55,train
bnk_000000000008,setl_B3LTZP_0006,TOTAL_bank_credit,831033.58,train
bnk_000000000009,setl_B3LTZP_0007,gross,2217720.63,train
bnk_000000000009,setl_B3LTZP_0007,platform_fee,-16707.16,train
bnk_000000000009,setl_B3LTZP_0007,gst_on_fee,-3007.30,train
bnk_000000000009,setl_B3LTZP_0007,tds_194o,-18593.45,train
bnk_000000000009,setl_B3LTZP_0007,refund_netted,-13304.94,train
bnk_000000000009,setl_B3LTZP_0007,reserve_held,-42727.12,train
bnk_000000000009,setl_B3LTZP_0007,reserve_released,8327.51,train
bnk_000000000009,setl_B3LTZP_0007,TOTAL_bank_credit,2131708.17,train
bnk_000000000010,setl_B3LTZP_0008,gross,1861061.38,train
bnk_000000000010,setl_B3LTZP_0008,platform_fee,-29247.38,train
bnk_000000000010,setl_B3LTZP_0008,gst_on_fee,-5264.53,train
bnk_000000000010,setl_B3LTZP_0008,tds_194o,-18199.02,train
bnk_000000000010,setl_B3LTZP_0008,refund_netted,-228408.87,train
bnk_000000000010,setl_B3LTZP_0008,reserve_held,-74687.81,train
bnk_000000000010,setl_B3LTZP_0008,TOTAL_bank_credit,1505253.77,train
bnk_000000000011,setl_B3LTZP_0009,gross,4433659.59,train
bnk_000000000011,setl_B3LTZP_0009,platform_fee,-28674.90,train
bnk_000000000011,setl_B3LTZP_0009,gst_on_fee,-5161.48,train
bnk_000000000011,setl_B3LTZP_0009,tds_194o,-34000.66,train
bnk_000000000011,setl_B3LTZP_0009,refund_netted,-7576.00,train
bnk_000000000011,setl_B3LTZP_0009,reserve_held,-73234.70,train
bnk_000000000011,setl_B3LTZP_0009,rounding_drift,-0.03,train
bnk_000000000011,setl_B3LTZP_0009,TOTAL_bank_credit,4285011.82,train
bnk_000000000012,setl_B3LTZP_0010,gross,224335.37,train
bnk_000000000012,setl_B3LTZP_0010,platform_fee,-3167.02,train
bnk_000000000012,setl_B3LTZP_0010,gst_on_fee,-570.06,train
bnk_000000000012,setl_B3LTZP_0010,tds_194o,-2014.18,train
bnk_000000000012,setl_B3LTZP_0010,reserve_held,-8143.97,train
bnk_000000000012,setl_B3LTZP_0010,TOTAL_bank_credit,210440.14,train
bnk_000000000013,setl_B3LTZP_0011,gross,2821836.48,train
bnk_000000000013,setl_B3LTZP_0011,platform_fee,-23563.00,train
bnk_000000000013,setl_B3LTZP_0011,gst_on_fee,-4241.35,train
bnk_000000000013,setl_B3LTZP_0011,tds_194o,-25273.98,train
bnk_000000000013,setl_B3LTZP_0011,refund_netted,-3467.00,train
bnk_000000000013,setl_B3LTZP_0011,reserve_held,-57573.30,train
bnk_000000000013,setl_B3LTZP_0011,reserve_released,7849.01,train
bnk_000000000013,setl_B3LTZP_0011,TOTAL_bank_credit,2715566.86,train
bnk_000000000014,setl_B3LTZP_0012,gross,2443141.96,train
bnk_000000000014,setl_B3LTZP_0012,platform_fee,-17632.14,train
bnk_000000000014,setl_B3LTZP_0012,gst_on_fee,-3173.81,train
bnk_000000000014,setl_B3LTZP_0012,tds_194o,-23335.43,train
bnk_000000000014,setl_B3LTZP_0012,refund_netted,-286103.12,train
bnk_000000000014,setl_B3LTZP_0012,reserve_held,-43678.10,train
bnk_000000000014,setl_B3LTZP_0012,TOTAL_bank_credit,2069219.36,train
bnk_000000000015,setl_B3LTZP_0013,gross,4950077.16,train
bnk_000000000015,setl_B3LTZP_0013,platform_fee,-41920.78,train
bnk_000000000015,setl_B3LTZP_0013,gst_on_fee,-7545.72,train
bnk_000000000015,setl_B3LTZP_0013,tds_194o,-42471.52,train
bnk_000000000015,setl_B3LTZP_0013,refund_netted,-45426.93,train
bnk_000000000015,setl_B3LTZP_0013,reserve_held,-106102.36,train
bnk_000000000015,setl_B3LTZP_0013,TOTAL_bank_credit,4706609.85,train
bnk_000000000016,setl_B3LTZP_0014,gross,64034.56,train
bnk_000000000016,setl_B3LTZP_0014,platform_fee,-549.78,train
bnk_000000000016,setl_B3LTZP_0014,gst_on_fee,-98.96,train
bnk_000000000016,setl_B3LTZP_0014,tds_194o,-424.10,train
bnk_000000000016,setl_B3LTZP_0014,refund_netted,-170786.73,train
bnk_000000000016,setl_B3LTZP_0014,reserve_held,-1394.33,train
bnk_000000000016,setl_B3LTZP_0014,TOTAL_bank_credit,-109219.34,train
bnk_000000000017,setl_B3LTZP_0015,gross,2078365.01,train
bnk_000000000017,setl_B3LTZP_0015,platform_fee,-15512.49,train
bnk_000000000017,setl_B3LTZP_0015,gst_on_fee,-2792.24,train
bnk_000000000017,setl_B3LTZP_0015,tds_194o,-19719.79,train
bnk_000000000017,setl_B3LTZP_0015,refund_netted,-25537.15,train
bnk_000000000017,setl_B3LTZP_0015,reserve_held,-38317.91,train
bnk_000000000017,setl_B3LTZP_0015,reserve_released,4418.33,train
bnk_000000000017,setl_B3LTZP_0015,TOTAL_bank_credit,1980903.76,train
bnk_000000000018,setl_B3LTZP_0016,gross,1169657.13,train
bnk_000000000018,setl_B3LTZP_0016,platform_fee,-4104.51,train
bnk_000000000018,setl_B3LTZP_0016,gst_on_fee,-738.82,train
bnk_000000000018,setl_B3LTZP_0016,tds_194o,-11197.54,train
