payment_id,settlement_id,bank_txn_id,amount,method,fee,gst,tds,settle_date,split,ambiguous
pay_00000000000008,setl_merchant_2_0001,bnk_000000000001,40296.49,wallet,946.97,170.45,0.00,2025-11-03,train,0
pay_00000000000163,setl_merchant_2_0001,bnk_000000000001,37641.08,netbanking,106.10,19.10,0.00,2025-11-03,train,0
pay_00000000000239,setl_merchant_2_0001,bnk_000000000001,30976.99,wallet,727.96,131.03,309.77,2025-11-03,train,0
pay_00000000000501,setl_merchant_2_0001,bnk_000000000001,2409.63,netbanking,18.02,3.24,24.10,2025-11-03,train,0
pay_00000000000582,setl_merchant_2_0001,bnk_000000000001,22852.10,card,457.04,82.27,228.52,2025-11-03,train,0
pay_00000000000766,setl_merchant_2_0001,bnk_000000000001,118737.99,upi,296.84,53.43,1187.38,2025-11-03,train,0
pay_00000000000771,setl_merchant_2_0001,bnk_000000000001,213752.78,netbanking,546.38,98.35,2137.53,2025-11-03,train,0
pay_00000000000875,setl_merchant_2_0001,bnk_000000000001,20604.00,card,412.08,74.17,206.04,2025-11-03,train,0
pay_00000000001134,setl_merchant_2_0001,bnk_000000000001,35589.00,wallet,836.34,150.54,355.89,2025-11-03,train,0
pay_00000000001395,setl_merchant_2_0001,bnk_000000000001,39547.91,netbanking,110.87,19.96,395.48,2025-11-03,train,0
pay_00000000001700,setl_merchant_2_0001,bnk_000000000001,3049.92,netbanking,19.62,3.53,30.50,2025-11-03,train,0
pay_00000000001754,setl_merchant_2_0001,bnk_000000000001,10013.23,upi,25.03,4.51,100.13,2025-11-03,train,0
pay_00000000001759,setl_merchant_2_0001,bnk_000000000001,7663.99,wallet,180.10,32.42,76.64,2025-11-03,train,0
pay_00000000000084,setl_merchant_2_0002,bnk_000000000002,8825.81,wallet,185.34,33.36,88.26,2025-11-04,train,0
pay_00000000000146,setl_merchant_2_0002,bnk_000000000002,8856.99,card,155.00,27.90,88.57,2025-11-04,train,0
pay_00000000000326,setl_merchant_2_0002,bnk_000000000002,221922.00,upi,0.00,0.00,2219.22,2025-11-04,train,0
pay_00000000000333,setl_merchant_2_0002,bnk_000000000002,19359.34,upi,0.00,0.00,193.59,2025-11-04,train,0
pay_00000000000392,setl_merchant_2_0002,bnk_000000000002,194477.87,wallet,4084.04,735.13,1944.78,2025-11-04,train,0
pay_00000000000474,setl_merchant_2_0002,bnk_000000000002,233205.13,netbanking,12.00,2.16,2332.05,2025-11-04,train,0
pay_00000000000521,setl_merchant_2_0002,bnk_000000000002,36597.71,card,640.46,115.28,365.98,2025-11-04,train,0
pay_00000000000664,setl_merchant_2_0002,bnk_000000000002,35317.69,card,618.06,111.25,353.18,2025-11-04,train,0
pay_00000000001028,setl_merchant_2_0002,bnk_000000000002,21620.94,wallet,454.04,81.73,216.21,2025-11-04,train,0
pay_00000000001377,setl_merchant_2_0002,bnk_000000000002,14008.04,netbanking,12.00,2.16,140.08,2025-11-04,train,0
pay_00000000001397,setl_merchant_2_0002,bnk_000000000002,11794.00,netbanking,12.00,2.16,117.94,2025-11-04,train,0
pay_00000000001414,setl_merchant_2_0002,bnk_000000000002,2130.00,card,37.28,6.71,0.00,2025-11-04,train,0
pay_00000000001735,setl_merchant_2_0002,bnk_000000000002,40240.00,card,704.20,126.76,0.00,2025-11-04,train,0
pay_00000000000093,setl_merchant_2_0003,bnk_000000000005,31665.76,wallet,664.98,119.70,316.66,2025-11-04,train,0
pay_00000000000141,setl_merchant_2_0003,bnk_000000000005,152555.33,netbanking,12.00,2.16,1525.55,2025-11-04,train,0
pay_00000000000218,setl_merchant_2_0003,bnk_000000000005,24186.00,netbanking,12.00,2.16,241.86,2025-11-04,train,0
pay_00000000000260,setl_merchant_2_0003,bnk_000000000005,6456.72,wallet,135.59,24.41,64.57,2025-11-04,train,0
pay_00000000000330,setl_merchant_2_0003,bnk_000000000005,24922.28,netbanking,12.00,2.16,249.22,2025-11-04,train,0
pay_00000000000347,setl_merchant_2_0003,bnk_000000000005,20122.59,card,352.15,63.39,201.23,2025-11-04,train,0
pay_00000000000371,setl_merchant_2_0003,bnk_000000000005,41945.59,netbanking,12.00,2.16,419.46,2025-11-04,train,0
pay_00000000000517,setl_merchant_2_0003,bnk_000000000005,42782.36,upi,0.00,0.00,427.82,2025-11-04,train,0
pay_00000000000540,setl_merchant_2_0003,bnk_000000000005,65698.55,netbanking,12.00,2.16,656.99,2025-11-04,train,0
pay_00000000000590,setl_merchant_2_0003,bnk_000000000005,42606.45,card,745.61,134.21,426.06,2025-11-04,train,0
pay_00000000000701,setl_merchant_2_0003,bnk_000000000005,8944.00,netbanking,12.00,2.16,89.44,2025-11-04,train,0
pay_00000000000795,setl_merchant_2_0003,bnk_000000000005,11694.59,netbanking,12.00,2.16,116.95,2025-11-04,train,0
pay_00000000000812,setl_merchant_2_0003,bnk_000000000005,30782.02,netbanking,12.00,2.16,307.82,2025-11-04,train,0
pay_00000000000824,setl_merchant_2_0003,bnk_000000000005,31699.04,netbanking,12.00,2.16,316.99,2025-11-04,train,0
pay_00000000000848,setl_merchant_2_0003,bnk_000000000005,110232.91,card,1929.08,347.23,0.00,2025-11-04,train,0
