bank_txn_id,true_utr,corruption_ops,kind,reference_entity,utr_survives_verbatim
bnk_000000000001,ICICR820251103050441,junk_suffix,payout_credit,setl_B3LTZP_0001,1
bnk_000000000002,ICICR520251104049064,,payout_credit,setl_B3LTZP_0002,1
bnk_000000000003,ICICR820251104411511,failed_payout_original,payout_credit_reversed,setl_B3LTZP_0003,1
bnk_000000000004,ICICR820251104411511,payout_return,payout_return,setl_B3LTZP_0003,1
bnk_000000000005,ICICR320251104897139,truncate_utr:5|retry_new_utr,payout_credit,setl_B3LTZP_0003,0
bnk_000000000006,ICICN72025110697942982,field_truncated_38,payout_credit,setl_B3LTZP_0004,1
bnk_000000000007,JW8L07YPK4GP3ANY,separator_swap|whitespace_noise,payout_credit,setl_B3LTZP_0005,1
bnk_000000000008,FN9NBFYZN8BN4T5K,charswap_utr:3|junk_suffix|whitespace_noise|case_flip,payout_credit,setl_B3LTZP_0006,0
bnk_000000000009,94TCVE4DAHQIRSHD,separator_swap|case_flip,payout_credit,setl_B3LTZP_0007,0
bnk_000000000010,KHKV4HJHVXI1N2NG,,payout_credit,setl_B3LTZP_0008,1
bnk_000000000011,ICICR620251110288376,split_utr,payout_credit,setl_B3LTZP_0009,0
bnk_000000000012,QCG356ZUN79576JC,junk_suffix|field_truncated_38,payout_credit,setl_B3LTZP_0010,1
bnk_000000000013,ICICN62025111148202036,truncate_utr:2,payout_credit,setl_B3LTZP_0011,0
bnk_000000000014,ICICR720251112098207,charswap_utr:3|whitespace_noise,payout_credit,setl_B3LTZP_0012,0
bnk_000000000015,ICICR120251112214838,truncate_utr:2|field_truncated_38,payout_credit,setl_B3LTZP_0013,0
bnk_000000000016,ICICR920251113998274,separator_swap|case_flip,payout_credit,setl_B3LTZP_0014,0
bnk_000000000017,ICICR720251113179577,split_utr,payout_credit,setl_B3LTZP_0015,0
bnk_000000000018,CO08L74CPJT62XID,truncate_utr:4|separator_swap|case_flip,payout_credit,setl_B3LTZP_0016,0
bnk_000000000019,ICICN52025111515189245,charswap_utr:3|separator_swap,payout_credit,setl_B3LTZP_0017,0
bnk_000000000020,74UC9CAMW5EX3IMA,no_utr_in_source,payout_credit,setl_B3LTZP_0018,0
bnk_000000000021,ICICN22025111781265758,field_truncated_38,payout_credit,setl_B3LTZP_0019,1
bnk_000000000022,ICICN32025111805642318,junk_suffix,payout_credit,setl_B3LTZP_0020,1
bnk_000000000023,ICICN62025111847610948,,payout_credit,setl_B3LTZP_0021,1
bnk_000000000024,O2NEK8MTUEY0HHD8,truncate_utr:4,payout_credit,setl_B3LTZP_0022,0
bnk_000000000025,ICICR820251119985061,truncate_utr:3,payout_credit,setl_B3LTZP_0023,0
bnk_000000000026,ICICN42025112097886426,split_utr|junk_suffix|field_truncated_38,payout_credit,setl_B3LTZP_0024,0
bnk_000000000027,ICICR120251120135202,truncate_utr:5|field_truncated_38,payout_credit,setl_B3LTZP_0025,0
bnk_000000000028,ICICN72025112116119166,,payout_credit,setl_B3LTZP_0026,1
bnk_000000000029,AV8V01KJMYDPUZPH,drop_utr,payout_credit,setl_B3LTZP_0027,0
bnk_000000000030,ICICR920251124389228,truncate_utr:4|separator_swap,payout_credit,setl_B3LTZP_0028,0
bnk_000000000031,ICICN32025112420807033,split_utr|separator_swap|field_truncated_38,payout_credit,setl_B3LTZP_0029,0
bnk_000000000032,015BMCHERLQBPMGT,no_utr_in_source,payout_credit,setl_B3LTZP_0030,0
bnk_000000000033,ICICR520251126461044,drop_utr|whitespace_noise,payout_credit,setl_B3LTZP_0031,0
bnk_000000000034,ICICR520251127288219,,payout_credit,setl_B3LTZP_0032,1
bnk_000000000035,ICICN72025112789790014,split_utr|separator_swap|whitespace_noise,payout_credit,setl_B3LTZP_0033,0
bnk_000000000036,ICICR820251128599732,charswap_utr:1,payout_credit,setl_B3LTZP_0034,0
bnk_000000000037,ICICN82025112895509319,junk_suffix|field_truncated_38,payout_credit,setl_B3LTZP_0035,1
bnk_000000000038,ICICR920251129994440,,payout_credit,setl_B3LTZP_0036,1
bnk_000000000039,ICICR220251129829468,field_truncated_38,payout_credit,setl_B3LTZP_0037,1
bnk_000000000040,ICICR720251129823818,split_utr|junk_suffix,payout_credit,setl_B3LTZP_0038,0
bnk_000000000041,ICICR820251201176611,separator_swap|case_flip,payout_credit,setl_B3LTZP_0039,0
bnk_000000000042,ICICR420251201232135,,payout_credit,setl_B3LTZP_0040,1
bnk_000000000043,GE3PJLI4DR1JP8J2,charswap_utr:2|junk_suffix|case_flip,payout_credit,setl_B3LTZP_0041,0
bnk_000000000044,ICICR920251203575034,,payout_credit,setl_B3LTZP_0042,1
bnk_000000000045,KWPL2VICJ1JT79EB,no_utr_in_source,payout_credit,setl_B3LTZP_0043,0
bnk_000000000046,,junk_suffix,refund_debit,rfnd_000000000002,0
bnk_000000000047,,separator_swap|whitespace_noise,refund_debit,rfnd_000000000004,0
bnk_000000000048,,whitespace_noise,refund_debit,rfnd_000000000006,0
