bank_txn_id,value_date,amount,narration
bnk_000000000001,2025-11-03,572556.78,RTGS CR ICICR820251103050441 RZP SETTLEMENT SETTLMNT//079
bnk_000000000002,2025-11-04,815139.12,RTGS CR ICICR520251104049064 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000003,2025-11-04,1660155.87,RTGS CR ICICR820251104411511 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000083,2025-11-04,17853.29,Rolling Reserve Rel/Ic1Cn4202511042518
bnk_000000000085,2025-11-04,2063.40,ROLLING RESERVE REL/ICICN72025110417014622/RAZORPAYSOFTWAREP
bnk_000000000004,2025-11-06,-1660155.87,PAYOUT REVERSAL/ICICR820251104411511/RETURN-R03
bnk_000000000005,2025-11-06,1660155.87,RTGS CR ICICR3202511048 RZP SETTLEMENT SETTLMNT
bnk_000000000006,2025-11-06,228586.74,NEFT-ICICN72025110697942982-RZP SETTLE
bnk_000000000007,2025-11-06,3358033.47,CMS--CR/ICIC/JW8L07YPK4GP3ANY/RZPY  SOFTWARE/MERCHANT SETTLEMENT
bnk_000000000008,2025-11-07,831033.58,cms-cr/icic/fn9n8fy2n88n4t5k/rzpy  software/merchant settlement//358909
bnk_000000000009,2025-11-07,2131708.17,cms cr/icic/94tcve4dahqirshd/rzpy software/merchant settlement
bnk_000000000069,2025-11-07,-6518.55,NEFT DR ICICN72025110700682068 REFUND rfnd_000000000065
bnk_000000000010,2025-11-10,1505253.77,CMS-CR/ICIC/KHKV4HJHVXI1N2NG/RAZORPAY SOFT PVT L/MERCHANT SETTLEMENT
bnk_000000000011,2025-11-10,4285011.82,RTGS CR ICICR62 0251110288376 RAZORPAYSOF SETTLMNT
bnk_000000000066,2025-11-10,-13963.99,REFUND RECOVERY rfnd_000000000058 RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000082,2025-11-10,15403.79,ROLLING RESERVE REL/ICICN12025111040721495/RAZORPAYSOFTWAREP
bnk_000000000012,2025-11-11,210440.14,CMS-CR/ICIC/QCG356ZUN79576JC/RAZORPAY
bnk_000000000013,2025-11-11,2715566.86,NEFT-ICICN620251111482020-RZP SETTLEMENT-ICIC-SETTLEMENT
bnk_000000000014,2025-11-12,2069219.36,RTGS  CR  ICICR7ZO25I112098207 RAZORPAY SOFT PVT L SETTLMNT
bnk_000000000015,2025-11-12,4706609.85,RTGS CR ICICR1202511122148 RZP SETTLEM
bnk_000000000057,2025-11-12,-146805.00,NEFT-DR-ICICN12025111234489486-REFUND-rfnd_000000000028
bnk_000000000016,2025-11-13,-109219.34,rtgs cr icicr920251113998274 razorpay software pvt ltd settlmnt
bnk_000000000017,2025-11-13,1980903.76,RTGS CR ICIC R720251113179577 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000071,2025-11-13,-1902.50,NEFT-DR-ICICN72025111319124233-REFUND-rfnd_000000000068
bnk_000000000080,2025-11-13,-2775.08,CB/DEBIT/disp_000000000010/CARD NETWORK
bnk_000000000086,2025-11-13,15985.89,ROLLING RESERVE REL/ICICN2202511137936/RAZORPAYSOF//74084
bnk_000000000018,2025-11-15,1144023.85,Cms--Cr/Icic/Co08L74Cpjt6/Razorpay Soft Pvt L/Merchant Settlement
bnk_000000000019,2025-11-15,2506985.74,NEFT--ICICNS2O251I1515189245--RZP SETTLEMENT--ICIC--SETTLEMENT
bnk_000000000060,2025-11-15,-5458.45,DEBIT/rfnd_000000000038/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000020,2025-11-17,1158735.34,RAZORPAYSOFTWAREP SETTLEMENT CREDIT
bnk_000000000021,2025-11-17,674393.77,NEFT-ICICN22025111781265758-RAZORPAY S
bnk_000000000048,2025-11-17,-44063.99,REFUND  RECOVERY rfnd_000000000006 RAZORPAY SOFT PVT L
bnk_000000000052,2025-11-17,-35176.43,DEBIT/rfnd_000000000013/REFUND ADJ/RZP SETTLEMENT//24764
bnk_000000000022,2025-11-18,1998083.47,NEFT-ICICN32025111805642318-RAZORPAY SOFTWARE PVT LTD-ICIC-SETTLEMENT//5777
bnk_000000000023,2025-11-18,3292303.84,NEFT-ICICN62025111847610948-RZP SETTLEMENT-ICIC-SETTLEMENT
bnk_000000000077,2025-11-18,-3467.03,NEFT-DR-ICICN42025111866029492-REFUND-rfnd_000000000084
bnk_000000000024,2025-11-19,627262.71,CMS-CR/ICIC/O2NEK8MTUEY0/RZPY SOFTWARE/MERCHANT SETTLEMENT
bnk_000000000025,2025-11-19,2483101.17,RTGS CR ICICR820251119985 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000049,2025-11-19,-28829.16,NEFT-DR-ICICN92025111942513943-REFUND-rfnd_000000000007
bnk_000000000058,2025-11-19,-3931.46,REFUND RECOVERY rfnd_000000000031 RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000061,2025-11-19,-72135.99,NEFT-DR-ICICN22025111948101894-REFUND-rfnd_000000000042
bnk_000000000076,2025-11-19,-2451.00,REFUND RECOVERY rfnd_000000000083 RAZORPAY SOFTWARE PVT LTD
bnk_000000000026,2025-11-20,1063723.81,NEFT-ICICN420 25112097886426-RAZORPAY
bnk_000000000027,2025-11-20,2682722.73,RTGS CR ICICR1202511201 RAZORPAYSOF SE
bnk_000000000063,2025-11-20,-31481.79,DEBIT/rfnd_000000000054/REFUND  ADJ/
bnk_000000000078,2025-11-20,-27670.99,DISPUTE DEBIT/disp_000000000005/ICIC
bnk_000000000028,2025-11-21,1264257.00,NEFT-ICICN72025112116119166-RAZORPAYSOF-ICIC-SETTLEMENT
bnk_000000000029,2025-11-21,2271826.81,CMS-CR/ICIC//RZP SETTLEMENT/MERCHANT SETTLEMENT
bnk_000000000030,2025-11-24,549986.27,RTGS CR ICICR92025112438 RAZORPAYSOFTWAREP SETTLMNT
bnk_000000000031,2025-11-24,2390269.13,NEFT ICICN 32025112420807033 RAZORPAYS
bnk_000000000064,2025-11-24,-7461.99,neft-dr-icicn82025112463988344-refund-rfnd_000000000056
bnk_000000000079,2025-11-24,-226224.46,CB-DEBIT-disp_000000000007-CARD NETWOR
bnk_000000000032,2025-11-26,200051.52,RAZORPAYSOFTWAREP SETTLEMENT CREDIT
bnk_000000000033,2025-11-26,1875049.61,RTGS  CR   RAZORPAY SOFT PVT L SETTLMNT
bnk_000000000068,2025-11-26,-37230.67,neft-dr-icicn62025112659562398-refund-rfnd_000000000064
bnk_000000000034,2025-11-27,1835295.39,RTGS CR ICICR520251127288219 RZP SETTLEMENT SETTLMNT
bnk_000000000035,2025-11-27,4480671.61,NEFT--ICIC  N72025112789790014--RAZORPAYSOF--ICIC--SETTLEMENT
bnk_000000000047,2025-11-27,-9322.14,DEBIT/rfnd_000000000004/REFUND  ADJ/RAZORPAYSOF
bnk_000000000065,2025-11-27,-85570.21,DEBIT/rfnd_000000000057/REFUND ADJ/RAZORPAY SOFTWARE PVT LTD
bnk_000000000070,2025-11-27,-99200.26,NEFT-DR-ICICN32025112741586621-REFUND-rfnd_000000000067//901
bnk_000000000087,2025-11-27,8896.43,ROLLING RESERVE REL/ICICN7202SI12732331345/RZPY SOFTWARE//231
bnk_000000000036,2025-11-28,1092613.69,RTGS CR ICICR82O251128599732 RZPY SOFTWARE SETTLMNT
bnk_000000000037,2025-11-28,3873746.67,NEFT-ICICN82025112895509319-RAZORPAY S
bnk_000000000038,2025-11-29,997046.68,RTGS CR ICICR920251129994440 RAZORPAY SOFT PVT L SETTLMNT
bnk_000000000039,2025-11-29,829419.27,RTGS CR ICICR220251129829468 RAZORPAY
bnk_000000000040,2025-11-29,1408386.69,RTGS CR ICICR720 251129823818 RZPY SOFTWARE SETTLMNT//794377
bnk_000000000041,2025-12-01,522727.80,rtgs cr icicr820251201176611 razorpaysoftwarep settlmnt
bnk_000000000042,2025-12-01,2407781.30,RTGS CR ICICR420251201232135 RAZORPAY SOFTWARE PRIVATE LIMITED SETTLMNT
