dispute_id,payment_id,amount,fee,raised_at_ist,reversed_at_ist
disp_000000000001,pay_00000000000366,34917.99,300.00,2025-11-30T13:56:43+05:30,
disp_000000000002,pay_00000000000031,4618.54,300.00,2025-11-16T13:04:07+05:30,
disp_000000000003,pay_00000000001240,36150.00,300.00,2025-11-21T18:22:29+05:30,
disp_000000000004,pay_00000000000561,13443.00,300.00,2025-11-30T17:09:26+05:30,
disp_000000000005,pay_00000000001231,27670.99,300.00,2025-11-19T01:55:22+05:30,
disp_000000000006,pay_00000000000108,41445.99,300.00,2025-11-30T09:00:31+05:30,
disp_000000000007,pay_00000000001184,226224.46,300.00,2025-11-21T21:50:31+05:30,2025-12-03T14:47:01+05:30
disp_000000000008,pay_00000000001364,20598.21,300.00,2025-11-22T17:53:39+05:30,
disp_000000000009,pay_00000000001197,16579.00,300.00,2025-11-16T15:58:53+05:30,2025-11-27T16:12:08+05:30
disp_000000000010,pay_00000000001223,2775.08,300.00,2025-11-12T23:04:22+05:30,2025-11-20T14:51:45+05:30
disp_000000000011,pay_00000000000504,31810.76,300.00,2025-11-30T17:28:03+05:30,
disp_000000000012,pay_00000000001155,6776.00,300.00,2025-11-30T15:52:44+05:30,
disp_000000000013,pay_00000000000327,42326.01,300.00,2025-11-15T20:11:24+05:30,2025-11-26T16:52:14+05:30
disp_000000000014,pay_00000000001616,175415.40,300.00,2025-11-19T16:57:39+05:30,2025-12-03T20:19:59+05:30
