order_id,customer_id,amount,created_at_utc
order_0000000001,cust_0754,9859.99,2025-11-22T02:00:44+00:00
order_0000000002,cust_0877,31056.00,2025-11-14T15:36:37+00:00
order_0000000003,cust_0822,8569.27,2025-11-12T04:50:40+00:00
order_0000000004,cust_0221,144861.14,2025-11-18T13:01:28+00:00
order_0000000005,cust_0183,17011.00,2025-11-18T07:51:45+00:00
order_0000000006,cust_0289,118315.00,2025-11-13T13:36:29+00:00
order_0000000007,cust_0799,23327.99,2025-11-01T21:30:50+00:00
order_0000000008,cust_0295,40296.49,2025-11-03T01:43:53+00:00
order_0000000009,cust_0681,6411.00,2025-11-17T06:28:48+00:00
order_0000000010,cust_0488,17311.64,2025-11-06T03:20:21+00:00
order_0000000011,cust_0892,74273.12,2025-11-11T12:18:26+00:00
order_0000000012,cust_0556,34080.99,2025-11-15T07:35:18+00:00
order_0000000013,cust_0726,9279.45,2025-11-07T17:17:43+00:00
order_0000000014,cust_0870,35962.66,2025-11-02T08:04:50+00:00
order_0000000015,cust_0804,4909.40,2025-11-15T10:26:57+00:00
order_0000000016,cust_0823,14230.91,2025-11-13T01:53:47+00:00
order_0000000017,cust_0338,39551.18,2025-11-05T17:38:00+00:00
order_0000000018,cust_0602,39054.00,2025-11-06T04:37:50+00:00
order_0000000019,cust_0340,3678.07,2025-11-28T06:09:05+00:00
order_0000000020,cust_0676,37998.00,2025-11-04T19:32:13+00:00
order_0000000021,cust_0643,6672.00,2025-11-02T06:43:13+00:00
order_0000000022,cust_0780,2377.48,2025-11-29T14:46:22+00:00
order_0000000023,cust_0551,73313.67,2025-11-26T18:26:54+00:00
order_0000000024,cust_0120,25994.44,2025-11-11T16:02:41+00:00
order_0000000025,cust_0302,6471.21,2025-11-11T04:04:57+00:00
order_0000000026,cust_0897,37806.92,2025-11-17T09:41:04+00:00
order_0000000027,cust_0188,36183.38,2025-11-17T01:02:44+00:00
order_0000000028,cust_0067,25006.00,2025-11-21T10:50:52+00:00
order_0000000029,cust_0344,35304.85,2025-11-09T18:38:58+00:00
order_0000000030,cust_0798,43603.99,2025-11-30T17:22:32+00:00
order_0000000031,cust_0724,4618.54,2025-11-04T12:31:24+00:00
order_0000000032,cust_0172,16379.17,2025-11-24T00:35:56+00:00
order_0000000033,cust_0685,17957.00,2025-11-21T17:19:54+00:00
order_0000000034,cust_0409,158119.69,2025-11-08T15:29:08+00:00
order_0000000035,cust_0266,6047.09,2025-11-18T13:38:08+00:00
order_0000000036,cust_0683,32511.00,2025-11-27T17:36:54+00:00
order_0000000037,cust_0249,13428.99,2025-11-29T04:22:42+00:00
order_0000000038,cust_0660,19104.91,2025-11-17T15:11:57+00:00
order_0000000039,cust_0704,169312.00,2025-11-18T18:14:01+00:00
order_0000000040,cust_0168,8873.06,2025-11-16T02:22:31+00:00
order_0000000041,cust_0308,22235.99,2025-11-09T10:27:35+00:00
order_0000000042,cust_0273,23642.24,2025-11-24T09:27:06+00:00
order_0000000043,cust_0652,21853.74,2025-11-30T00:39:47+00:00
order_0000000044,cust_0854,39393.35,2025-11-05T02:36:24+00:00
order_0000000045,cust_0648,4732.39,2025-11-12T07:10:22+00:00
order_0000000046,cust_0512,39723.99,2025-11-18T08:30:53+00:00
order_0000000047,cust_0781,29766.54,2025-11-20T04:20:32+00:00
order_0000000048,cust_0592,248736.00,2025-11-20T11:52:11+00:00
order_0000000049,cust_0334,245591.14,2025-11-29T04:36:48+00:00
order_0000000050,cust_0765,44863.70,2025-11-07T16:27:43+00:00
order_0000000051,cust_0691,10573.99,2025-11-21T11:38:41+00:00
order_0000000052,cust_0227,8674.00,2025-11-13T20:25:35+00:00
order_0000000053,cust_0717,39549.67,2025-11-16T10:12:57+00:00
order_0000000054,cust_0347,12026.00,2025-11-23T13:25:21+00:00
order_0000000055,cust_0029,6651.90,2025-11-07T15:23:52+00:00
order_0000000056,cust_0356,92771.00,2025-11-27T18:13:13+00:00
order_0000000057,cust_0046,159642.72,2025-11-14T16:19:51+00:00
order_0000000058,cust_0832,52424.86,2025-11-30T13:48:12+00:00
order_0000000059,cust_0462,38133.57,2025-11-23T14:17:09+00:00
order_0000000060,cust_0354,19997.00,2025-11-24T09:55:55+00:00
order_0000000061,cust_0877,14478.97,2025-11-21T13:34:02+00:00
order_0000000062,cust_0690,8609.37,2025-11-26T22:44:42+00:00
order_0000000063,cust_0704,109359.00,2025-11-17T15:11:47+00:00
order_0000000064,cust_0225,35470.51,2025-11-12T00:57:58+00:00
order_0000000065,cust_0833,26432.00,2025-11-24T11:30:30+00:00
order_0000000066,cust_0810,174904.87,2025-11-12T13:09:44+00:00
order_0000000067,cust_0470,5014.99,2025-11-25T18:11:38+00:00
order_0000000068,cust_0485,41399.99,2025-11-11T08:48:14+00:00
order_0000000069,cust_0434,241373.00,2025-11-26T16:58:21+00:00
order_0000000070,cust_0350,204825.00,2025-11-07T11:05:15+00:00
order_0000000071,cust_0319,18234.99,2025-11-28T09:05:11+00:00
order_0000000072,cust_0879,23495.99,2025-11-26T15:34:25+00:00
order_0000000073,cust_0723,22921.41,2025-11-19T07:20:29+00:00
order_0000000074,cust_0553,44883.00,2025-11-30T17:19:53+00:00
order_0000000075,cust_0286,18591.00,2025-11-14T20:01:04+00:00
order_0000000076,cust_0148,126065.00,2025-11-12T06:51:00+00:00
order_0000000077,cust_0153,23217.22,2025-11-14T00:21:38+00:00
order_0000000078,cust_0152,30091.99,2025-11-12T04:43:29+00:00
order_0000000079,cust_0753,23610.90,2025-11-29T12:20:37+00:00
order_0000000080,cust_0284,9706.00,2025-11-18T07:26:22+00:00
order_0000000081,cust_0376,7949.00,2025-11-16T17:01:54+00:00
order_0000000082,cust_0080,69806.99,2025-11-21T10:49:01+00:00
order_0000000083,cust_0075,4461.00,2025-11-06T05:29:10+00:00
order_0000000084,cust_0768,8825.81,2025-11-01T02:48:17+00:00
order_0000000085,cust_0603,12954.00,2025-11-19T12:54:16+00:00
order_0000000086,cust_0525,42063.67,2025-11-22T19:41:17+00:00
order_0000000087,cust_0208,32174.99,2025-11-18T00:23:25+00:00
order_0000000088,cust_0069,4137.32,2025-11-05T12:15:23+00:00
order_0000000089,cust_0774,5812.00,2025-11-02T11:12:28+00:00
order_0000000090,cust_0721,92589.23,2025-11-20T02:20:54+00:00
order_0000000091,cust_0275,5181.98,2025-11-14T04:39:32+00:00
