payment_id,order_id,amount,method,status,created_at_ist
pay_00000000000001,order_0000000001,9859.99,upi,captured,2025-11-22T07:31:38+05:30
pay_00000000000002,order_0000000002,31056.00,netbanking,captured,2025-11-14T21:19:05+05:30
pay_00000000000003,order_0000000003,8569.27,upi,captured,2025-11-12T10:23:13+05:30
pay_00000000000004,order_0000000004,144861.14,netbanking,captured,2025-11-18T18:45:05+05:30
pay_00000000000005,order_0000000005,17011.00,netbanking,captured,2025-11-18T13:31:10+05:30
pay_00000000000006,order_0000000006,118315.00,netbanking,captured,2025-11-13T19:08:04+05:30
pay_00000000000007,order_0000000007,23327.99,card,captured,2025-11-02T03:08:26+05:30
pay_00000000000008,order_0000000008,40296.49,wallet,captured,2025-11-03T07:27:55+05:30
pay_00000000000009,order_0000000009,6411.00,netbanking,captured,2025-11-17T12:11:57+05:30
pay_00000000000010,order_0000000010,17311.64,wallet,captured,2025-11-06T09:02:22+05:30
pay_00000000000011,order_0000000011,74273.12,netbanking,captured,2025-11-11T17:49:58+05:30
pay_00000000000012,order_0000000012,34080.99,netbanking,captured,2025-11-15T13:12:40+05:30
pay_00000000000013,order_0000000013,9279.45,wallet,captured,2025-11-07T22:59:36+05:30
pay_00000000000014,order_0000000014,35962.66,netbanking,failed,2025-11-02T13:45:22+05:30
pay_00000000000015,order_0000000015,4909.40,netbanking,captured,2025-11-15T16:00:49+05:30
pay_00000000000016,order_0000000016,14230.91,card,captured,2025-11-13T07:25:35+05:30
pay_00000000000017,order_0000000017,39551.18,upi,captured,2025-11-05T23:14:51+05:30
pay_00000000000018,order_0000000018,39054.00,wallet,captured,2025-11-06T10:17:04+05:30
pay_00000000000019,order_0000000019,3678.07,netbanking,captured,2025-11-28T11:46:41+05:30
pay_00000000000020,order_0000000020,37998.00,netbanking,captured,2025-11-05T01:08:49+05:30
pay_00000000000021,order_0000000021,6672.00,card,captured,2025-11-02T12:19:15+05:30
pay_00000000000022,order_0000000022,2377.48,netbanking,captured,2025-11-29T20:23:36+05:30
pay_00000000000023,order_0000000023,73313.67,card,captured,2025-11-26T23:58:43+05:30
pay_00000000000024,order_0000000024,25994.44,wallet,captured,2025-11-11T21:46:45+05:30
