refund_id,payment_id,amount,created_at_ist,netted_flag
rfnd_000000000001,pay_00000000001642,28833.43,2025-11-18T13:55:37+05:30,1
rfnd_000000000002,pay_00000000001526,3343.10,2025-11-30T17:14:43+05:30,0
rfnd_000000000003,pay_00000000000217,12600.99,2025-11-30T12:48:12+05:30,1
rfnd_000000000004,pay_00000000001725,9322.14,2025-11-24T17:21:39+05:30,0
rfnd_000000000005,pay_00000000000070,204825.00,2025-11-10T03:03:20+05:30,1
rfnd_000000000006,pay_00000000000998,44063.99,2025-11-13T22:14:06+05:30,0
rfnd_000000000007,pay_00000000000845,28829.16,2025-11-16T15:37:17+05:30,0
rfnd_000000000008,pay_00000000001406,26620.04,2025-11-28T07:15:18+05:30,0
rfnd_000000000009,pay_00000000000581,18973.00,2025-11-16T03:59:17+05:30,1
rfnd_000000000010,pay_00000000000160,15044.44,2025-11-30T17:05:52+05:30,0
rfnd_000000000011,pay_00000000001575,190437.64,2025-11-30T11:25:16+05:30,1
rfnd_000000000012,pay_00000000001657,32241.99,2025-11-30T08:32:49+05:30,1
rfnd_000000000013,pay_00000000001611,35176.43,2025-11-13T18:30:11+05:30,0
rfnd_000000000014,pay_00000000001366,16258.91,2025-11-28T12:38:51+05:30,0
rfnd_000000000015,pay_00000000000131,7067.36,2025-11-08T16:31:39+05:30,1
rfnd_000000000016,pay_00000000000531,39802.40,2025-11-09T04:37:10+05:30,1
rfnd_000000000017,pay_00000000000933,8209.68,2025-11-30T23:44:15+05:30,1
rfnd_000000000018,pay_00000000000133,29148.00,2025-11-28T08:18:06+05:30,0
rfnd_000000000019,pay_00000000000513,8260.23,2025-11-24T16:29:07+05:30,1
rfnd_000000000020,pay_00000000000264,6353.99,2025-11-24T12:52:08+05:30,1
rfnd_000000000021,pay_00000000000757,3439.02,2025-11-24T19:32:59+05:30,1
rfnd_000000000022,pay_00000000000543,14813.17,2025-11-30T17:53:00+05:30,0
rfnd_000000000023,pay_00000000001021,40622.00,2025-11-27T01:28:42+05:30,1
rfnd_000000000024,pay_00000000000499,41475.72,2025-11-08T09:35:08+05:30,1
rfnd_000000000025,pay_00000000000747,6041.63,2025-11-30T21:19:10+05:30,0
rfnd_000000000026,pay_00000000001372,34368.00,2025-11-16T17:05:55+05:30,1
rfnd_000000000027,pay_00000000000918,85975.82,2025-11-13T16:09:02+05:30,1
rfnd_000000000028,pay_00000000000982,146805.00,2025-11-10T03:35:07+05:30,0
rfnd_000000000029,pay_00000000000600,36655.85,2025-11-18T18:33:43+05:30,1
rfnd_000000000030,pay_00000000001754,10013.23,2025-11-15T18:42:13+05:30,1
rfnd_000000000031,pay_00000000001355,3931.46,2025-11-17T12:11:26+05:30,0
rfnd_000000000032,pay_00000000000986,937.99,2025-11-14T12:36:09+05:30,1
rfnd_000000000033,pay_00000000000875,13304.94,2025-11-04T12:20:04+05:30,1
rfnd_000000000034,pay_00000000000716,44509.95,2025-11-23T14:28:10+05:30,1
rfnd_000000000035,pay_00000000001103,17351.99,2025-11-30T21:20:27+05:30,1
rfnd_000000000036,pay_00000000000140,35511.99,2025-11-30T19:16:21+05:30,0
rfnd_000000000037,pay_00000000001009,7576.00,2025-11-06T16:34:07+05:30,1
rfnd_000000000038,pay_00000000000631,5458.45,2025-11-12T10:29:19+05:30,0
rfnd_000000000039,pay_00000000000790,11757.00,2025-11-10T23:13:48+05:30,1
rfnd_000000000040,pay_00000000001539,12230.08,2025-11-29T13:17:02+05:30,1
rfnd_000000000041,pay_00000000000936,39923.00,2025-11-30T03:56:53+05:30,1
rfnd_000000000042,pay_00000000000282,72135.99,2025-11-17T06:32:25+05:30,0
rfnd_000000000043,pay_00000000000549,25537.15,2025-11-11T15:50:42+05:30,1
rfnd_000000000044,pay_00000000000215,3419.35,2025-11-19T22:52:28+05:30,1
rfnd_000000000045,pay_00000000000205,8494.42,2025-11-30T15:19:48+05:30,1
rfnd_000000000046,pay_00000000001686,9127.91,2025-11-22T23:51:01+05:30,1
rfnd_000000000047,pay_00000000000195,189690.99,2025-11-29T05:48:57+05:30,1
rfnd_000000000048,pay_00000000001706,4319.70,2025-11-14T16:37:44+05:30,1
rfnd_000000000049,pay_00000000001456,57638.85,2025-11-21T14:48:09+05:30,1
