reserve_id,amount,held_on,release_date,released_at_ist,netted_flag
rsrv_B3LTZP_0001,15403.79,2025-08-12,2025-11-10,2025-11-10T17:16:19+05:30,0
rsrv_B3LTZP_0002,13477.76,2025-08-23,2025-11-21,2025-11-21T09:15:15+05:30,1
rsrv_B3LTZP_0003,9197.68,2025-09-03,2025-12-02,2025-12-02T15:04:56+05:30,1
rsrv_B3LTZP_0004,8670.51,2025-08-29,2025-11-27,2025-11-27T18:45:50+05:30,1
rsrv_B3LTZP_0005,8327.51,2025-08-09,2025-11-07,2025-11-07T23:08:20+05:30,1
rsrv_B3LTZP_0006,4418.33,2025-08-15,2025-11-13,2025-11-13T23:07:44+05:30,1
rsrv_B3LTZP_0007,17853.29,2025-08-06,2025-11-04,2025-11-04T22:40:53+05:30,0
rsrv_B3LTZP_0008,4235.98,2025-08-26,2025-11-24,2025-11-24T22:08:13+05:30,1
rsrv_B3LTZP_0009,2574.63,2025-08-28,2025-11-26,2025-11-26T14:34:07+05:30,1
rsrv_B3LTZP_0010,15185.66,2025-09-04,2025-12-03,2025-12-03T20:24:11+05:30,0
rsrv_B3LTZP_0011,2537.01,2025-08-08,2025-11-06,2025-11-06T00:00:44+05:30,1
rsrv_B3LTZP_0012,2034.91,2025-09-03,2025-12-02,2025-12-02T09:05:00+05:30,1
rsrv_B3LTZP_0013,7849.01,2025-08-13,2025-11-11,2025-11-11T23:20:03+05:30,1
rsrv_B3LTZP_0014,5259.73,2025-09-04,2025-12-03,2025-12-03T19:38:15+05:30,1
rsrv_B3LTZP_0015,2063.40,2025-08-06,2025-11-04,2025-11-04T18:12:47+05:30,0
rsrv_B3LTZP_0016,15985.89,2025-08-15,2025-11-13,2025-11-13T18:14:47+05:30,0
rsrv_B3LTZP_0017,7672.90,2025-08-26,2025-11-24,2025-11-24T21:45:05+05:30,1
rsrv_B3LTZP_0018,8896.43,2025-08-29,2025-11-27,2025-11-27T18:55:29+05:30,0
rsrv_B3LTZP_0019,3769.24,2025-09-03,2025-12-02,2025-12-02T06:56:50+05:30,1
rsrv_B3LTZP_0020,5308.64,2025-08-06,2025-11-04,2025-11-04T22:20:52+05:30,1
rsrv_B3LTZP_0021,14695.25,2025-08-22,2025-11-20,2025-11-20T21:34:05+05:30,1
