settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_merchant_2_0001,ICICR820251103050441,583135.11,4683.35,843.00,5051.98,572556.78,2025-11-03T18:30:00+05:30,1
setl_merchant_2_0002,ICICR520251104049064,848355.52,6914.42,1244.60,8059.86,815139.12,2025-11-04T18:30:00+05:30,0
setl_merchant_2_0003,ICICR320251104897139,1730356.97,15639.38,2815.09,16154.60,1660155.87,2025-11-04T18:30:00+05:30,0
setl_merchant_2_0004,ICICN72025110697942982,242509.63,3742.39,673.63,1672.87,228586.74,2025-11-06T18:30:00+05:30,0
setl_merchant_2_0005,JW8L07YPK4GP3ANY,3529291.35,28110.90,5059.97,28361.75,3358033.47,2025-11-06T18:30:00+05:30,0
setl_merchant_2_0006,FN9NBFYZN8BN4T5K,848020.11,2907.77,523.39,6805.82,831033.58,2025-11-07T18:30:00+05:30,0
setl_merchant_2_0007,94TCVE4DAHQIRSHD,2217720.63,16707.16,3007.30,18593.45,2131708.17,2025-11-07T18:30:00+05:30,0
setl_merchant_2_0008,KHKV4HJHVXI1N2NG,1861061.38,29247.38,5264.53,18199.02,1505253.77,2025-11-10T18:30:00+05:30,0
setl_merchant_2_0009,ICICR620251110288376,4433659.59,28674.90,5161.48,34000.66,4285011.85,2025-11-10T18:30:00+05:30,0
setl_merchant_2_0010,QCG356ZUN79576JC,224335.37,3167.02,570.06,2014.18,210440.14,2025-11-11T18:30:00+05:30,0
setl_merchant_2_0011,ICICN62025111148202036,2821836.48,23563.00,4241.35,25273.98,2715566.86,2025-11-11T18:30:00+05:30,0
setl_merchant_2_0012,ICICR720251112098207,2443141.96,17632.14,3173.81,23335.43,2069219.36,2025-11-12T18:30:00+05:30,0
setl_merchant_2_0013,ICICR120251112214838,4950077.16,41920.78,7545.72,42471.52,4706609.85,2025-11-12T18:30:00+05:30,0
setl_merchant_2_0014,ICICR920251113998274,64034.56,549.78,98.96,424.10,-109219.34,2025-11-13T18:30:00+05:30,0
setl_merchant_2_0015,ICICR720251113179577,2078365.01,15512.49,2792.24,19719.79,1980903.76,2025-11-13T18:30:00+05:30,0
setl_merchant_2_0016,CO08L74CPJT62XID,1169657.13,4104.51,738.82,11197.54,1144023.85,2025-11-15T18:30:00+05:30,0
setl_merchant_2_0017,ICICN52025111515189245,2613651.54,18146.51,3266.38,19111.25,2506985.74,2025-11-15T18:30:00+05:30,0
setl_merchant_2_0018,74UC9CAMW5EX3IMA,1305106.91,16285.91,2931.46,12034.45,1158735.34,2025-11-17T18:30:00+05:30,0
setl_merchant_2_0019,ICICN22025111781265758,788431.57,5794.37,1043.00,7220.85,674393.77,2025-11-17T18:30:00+05:30,0
setl_merchant_2_0020,ICICN32025111805642318,2150694.41,13602.59,2448.47,17499.65,1998083.47,2025-11-18T18:30:00+05:30,0
setl_merchant_2_0021,ICICN62025111847610948,3479900.39,24286.02,4371.47,28847.09,3292303.84,2025-11-18T18:30:00+05:30,0
setl_merchant_2_0022,O2NEK8MTUEY0HHD8,702628.09,1809.71,325.75,6877.62,627262.71,2025-11-19T18:30:00+05:30,0
setl_merchant_2_0023,ICICR820251119985061,2657987.33,27232.83,4901.91,18534.85,2483101.17,2025-11-19T18:30:00+05:30,0
setl_merchant_2_0024,ICICN42025112097886426,1126505.80,14891.24,2680.43,10603.68,1063723.81,2025-11-20T18:30:00+05:30,0
setl_merchant_2_0025,ICICR120251120135202,2851654.25,26046.11,4688.29,27287.73,2682722.73,2025-11-20T18:30:00+05:30,0
setl_merchant_2_0026,ICICN72025112116119166,1271339.54,3026.93,544.85,9761.57,1264257.00,2025-11-21T18:30:00+05:30,0
setl_merchant_2_0027,AV8V01KJMYDPUZPH,2586751.64,30321.35,5457.86,20350.32,2274609.63,2025-11-21T18:30:00+05:30,0
setl_merchant_2_0028,ICICR920251124389228,582895.05,7990.22,1438.23,4846.53,549986.27,2025-11-24T18:30:00+05:30,0
setl_merchant_2_0029,ICICN32025112420807033,2474207.69,19378.74,3488.17,24122.31,2390269.13,2025-11-24T18:30:00+05:30,0
setl_merchant_2_0030,015BMCHERLQBPMGT,209484.16,2051.55,369.27,2094.85,200051.53,2025-11-26T18:30:00+05:30,0
setl_merchant_2_0031,ICICR520251126461044,1978834.65,11028.17,1985.08,15250.97,1875049.61,2025-11-26T18:30:00+05:30,0
setl_merchant_2_0032,ICICR520251127288219,1943058.71,15875.38,2857.56,18416.16,1835295.39,2025-11-27T18:30:00+05:30,0
setl_merchant_2_0033,ICICN72025112789790014,4729142.26,35236.68,6342.64,41420.18,4480671.57,2025-11-27T18:30:00+05:30,0
setl_merchant_2_0034,ICICR820251128599732,1190418.69,4148.83,746.79,9894.57,1092613.74,2025-11-28T18:30:00+05:30,0
setl_merchant_2_0035,ICICN82025112895509319,4003378.26,19171.25,3450.82,33795.39,3873746.67,2025-11-28T18:30:00+05:30,0
setl_merchant_2_0036,ICICR920251129994440,1024317.77,14675.57,2641.61,9953.91,997046.68,2025-11-29T18:30:00+05:30,1
setl_merchant_2_0037,ICICR220251129829468,905333.51,7851.36,1413.25,6240.54,829419.27,2025-11-29T18:30:00+05:30,0
setl_merchant_2_0038,ICICR720251129823818,1468905.83,12855.09,2313.92,12507.75,1408386.69,2025-11-29T18:30:00+05:30,0
setl_merchant_2_0039,ICICR820251201176611,559170.26,8648.96,1556.81,3661.83,522727.80,2025-12-01T18:30:00+05:30,0
setl_merchant_2_0040,ICICR420251201232135,2505068.45,20224.40,3640.41,21612.61,2407781.30,2025-12-01T18:30:00+05:30,0
setl_merchant_2_0041,GE3PJLI4DR1JP8J2,1601032.38,16189.78,2914.15,14916.29,1339851.16,2025-12-02T18:30:00+05:30,0
setl_merchant_2_0042,ICICR920251203575034,990376.92,5327.11,958.88,6824.86,658883.57,2025-12-03T18:30:00+05:30,0
setl_merchant_2_0043,KWPL2VICJ1JT79EB,2827460.08,22067.20,3972.11,25764.62,2695714.54,2025-12-03T18:30:00+05:30,0
