bank_txn_id,true_utr,corruption_ops,kind,reference_entity,utr_survives_verbatim
bnk_000000000001,HDFCR220251104662516,,payout_credit,setl_mrch_T1RNGA_0001,1
bnk_000000000002,HDFCN32025110482441423,field_truncated_38,payout_credit,setl_mrch_T1RNGA_0002,1
bnk_000000000003,865086087164,split_utr|junk_suffix,payout_credit,setl_mrch_T1RNGA_0003,0
bnk_000000000004,HDFCR520251104453586,drop_utr,payout_credit,setl_mrch_T1RNGA_0004,0
bnk_000000000005,HDFCN32025110402942745,truncate_utr:4,payout_credit,setl_mrch_T1RNGA_0005,0
bnk_000000000006,NNJ71C9YJF9F5ZLU,no_utr_in_source,payout_credit,setl_mrch_T1RNGA_0006,0
bnk_000000000007,HDFCN22025110668499249,,payout_credit,setl_mrch_T1RNGA_0007,1
bnk_000000000008,496042897383,split_utr|separator_swap|field_truncated_38,payout_credit,setl_mrch_T1RNGA_0008,0
bnk_000000000009,HDFCR520251106899284,truncate_utr:4|junk_suffix|field_truncated_38,payout_credit,setl_mrch_T1RNGA_0009,0
bnk_000000000010,HDFCN12025110620712633,drop_utr,payout_credit,setl_mrch_T1RNGA_0010,0
bnk_000000000011,579709736573,,payout_credit,setl_mrch_T1RNGA_0011,1
bnk_000000000012,HDFCN12025110767981131,case_flip,payout_credit,setl_mrch_T1RNGA_0012,0
bnk_000000000013,HDFCR820251110913867,separator_swap,payout_credit,setl_mrch_T1RNGA_0013,1
bnk_000000000014,HDFCN62025111066632571,charswap_utr:1|whitespace_noise|case_flip,payout_credit,setl_mrch_T1RNGA_0014,0
bnk_000000000015,HDFCN52025111047046486,,payout_credit,setl_mrch_T1RNGA_0015,1
bnk_000000000016,794130621215,whitespace_noise,payout_credit,setl_mrch_T1RNGA_0016,1
bnk_000000000017,HDFCR120251111051565,,payout_credit,setl_mrch_T1RNGA_0017,1
bnk_000000000018,HDFCN32025111169445647,separator_swap,payout_credit,setl_mrch_T1RNGA_0018,1
bnk_000000000019,HDFCR120251111670716,,payout_credit,setl_mrch_T1RNGA_0019,1
