order_id,customer_id,amount,created_at_utc
order_0000000001,cust_0559,2582.23,2025-11-15T13:45:07+00:00
order_0000000002,cust_0340,813.00,2025-11-07T15:47:52+00:00
order_0000000003,cust_0080,900.58,2025-11-08T14:37:46+00:00
order_0000000004,cust_0466,868.57,2025-11-07T11:21:50+00:00
order_0000000005,cust_0484,2939.58,2025-11-24T07:02:05+00:00
order_0000000006,cust_0550,1011.99,2025-11-06T12:16:55+00:00
order_0000000007,cust_0247,396.07,2025-11-27T11:08:24+00:00
order_0000000008,cust_0081,106.99,2025-11-03T00:56:52+00:00
order_0000000009,cust_0727,712.00,2025-11-15T11:06:07+00:00
order_0000000010,cust_0228,1062.99,2025-11-02T16:20:38+00:00
order_0000000011,cust_0068,3280.00,2025-11-28T10:07:22+00:00
order_0000000012,cust_0412,447.73,2025-11-13T04:51:02+00:00
order_0000000013,cust_0783,529.32,2025-11-26T09:45:25+00:00
order_0000000014,cust_0745,375.99,2025-11-27T11:22:43+00:00
order_0000000015,cust_0876,2878.90,2025-11-12T05:45:24+00:00
order_0000000016,cust_0777,794.19,2025-11-23T12:07:35+00:00
order_0000000017,cust_0818,804.72,2025-11-28T12:10:16+00:00
order_0000000018,cust_0082,2280.00,2025-11-15T04:03:44+00:00
order_0000000019,cust_0256,3132.32,2025-11-06T04:10:39+00:00
order_0000000020,cust_0582,165.92,2025-11-15T00:33:05+00:00
order_0000000021,cust_0475,1075.99,2025-11-26T11:44:07+00:00
order_0000000022,cust_0784,372.00,2025-11-06T08:47:15+00:00
order_0000000023,cust_0285,3433.99,2025-11-09T20:59:34+00:00
order_0000000024,cust_0532,421.11,2025-11-08T14:09:42+00:00
order_0000000025,cust_0785,366.08,2025-11-30T13:38:36+00:00
order_0000000026,cust_0512,3526.00,2025-11-18T17:35:57+00:00
order_0000000027,cust_0175,913.81,2025-11-12T18:16:14+00:00
order_0000000028,cust_0152,588.00,2025-11-26T09:35:02+00:00
order_0000000029,cust_0223,216.00,2025-11-05T17:04:40+00:00
order_0000000030,cust_0367,1913.39,2025-11-08T16:13:59+00:00
order_0000000031,cust_0543,464.46,2025-11-17T09:35:13+00:00
order_0000000032,cust_0162,3367.43,2025-11-07T14:20:02+00:00
order_0000000033,cust_0866,765.99,2025-11-02T21:34:23+00:00
order_0000000034,cust_0022,356.00,2025-11-18T16:15:52+00:00
order_0000000035,cust_0276,816.99,2025-11-01T22:22:16+00:00
order_0000000036,cust_0406,402.00,2025-11-02T09:32:20+00:00
order_0000000037,cust_0189,947.99,2025-11-02T04:28:44+00:00
order_0000000038,cust_0513,114.99,2025-11-21T13:39:28+00:00
order_0000000039,cust_0232,304.54,2025-11-02T11:39:59+00:00
order_0000000040,cust_0737,591.99,2025-11-15T15:10:32+00:00
order_0000000041,cust_0149,716.82,2025-11-16T00:40:34+00:00
order_0000000042,cust_0431,1296.01,2025-11-09T11:48:52+00:00
order_0000000043,cust_0064,2146.74,2025-11-10T13:51:27+00:00
order_0000000044,cust_0780,276.45,2025-11-21T06:51:11+00:00
order_0000000045,cust_0074,3136.99,2025-11-09T01:44:20+00:00
order_0000000046,cust_0680,355.00,2025-11-18T15:55:42+00:00
order_0000000047,cust_0185,386.00,2025-11-24T09:09:03+00:00
order_0000000048,cust_0381,595.88,2025-11-27T14:25:33+00:00
order_0000000049,cust_0722,947.99,2025-11-05T01:51:20+00:00
order_0000000050,cust_0050,545.00,2025-11-25T06:38:03+00:00
order_0000000051,cust_0107,547.48,2025-11-28T03:09:31+00:00
order_0000000052,cust_0477,360.99,2025-11-10T17:13:21+00:00
order_0000000053,cust_0822,204.99,2025-11-15T12:41:23+00:00
order_0000000054,cust_0195,904.89,2025-11-05T13:45:49+00:00
order_0000000055,cust_0349,828.83,2025-11-18T09:33:52+00:00
order_0000000056,cust_0527,3382.17,2025-11-17T02:46:58+00:00
order_0000000057,cust_0039,2667.63,2025-11-20T11:37:41+00:00
order_0000000058,cust_0299,1064.16,2025-11-02T17:49:16+00:00
order_0000000059,cust_0398,836.99,2025-11-21T15:53:17+00:00
order_0000000060,cust_0205,1115.00,2025-11-05T17:34:22+00:00
order_0000000061,cust_0893,958.74,2025-11-06T09:59:16+00:00
order_0000000062,cust_0105,13306.99,2025-11-27T15:55:22+00:00
order_0000000063,cust_0455,187.00,2025-11-27T08:18:32+00:00
order_0000000064,cust_0086,485.94,2025-11-29T06:42:31+00:00
order_0000000065,cust_0236,759.60,2025-11-30T14:04:40+00:00
order_0000000066,cust_0078,4228.00,2025-11-10T00:31:26+00:00
order_0000000067,cust_0629,2820.00,2025-11-09T05:20:44+00:00
order_0000000068,cust_0471,800.00,2025-11-14T11:07:55+00:00
order_0000000069,cust_0847,394.00,2025-11-24T18:50:02+00:00
order_0000000070,cust_0236,740.99,2025-11-30T04:27:35+00:00
order_0000000071,cust_0741,258.99,2025-11-11T16:18:31+00:00
order_0000000072,cust_0083,1027.12,2025-11-12T11:07:58+00:00
order_0000000073,cust_0526,188.99,2025-11-29T14:52:04+00:00
order_0000000074,cust_0413,3339.96,2025-11-07T15:40:42+00:00
order_0000000075,cust_0690,480.95,2025-11-10T11:03:34+00:00
order_0000000076,cust_0118,1776.00,2025-11-03T10:36:19+00:00
order_0000000077,cust_0839,774.44,2025-11-27T09:18:49+00:00
order_0000000078,cust_0670,455.00,2025-11-03T03:34:01+00:00
order_0000000079,cust_0732,308.52,2025-11-11T07:24:37+00:00
order_0000000080,cust_0536,932.13,2025-11-14T11:38:12+00:00
order_0000000081,cust_0136,3467.81,2025-11-10T16:57:56+00:00
order_0000000082,cust_0472,108.00,2025-11-17T01:00:55+00:00
order_0000000083,cust_0661,11104.28,2025-11-17T06:15:04+00:00
order_0000000084,cust_0483,1860.40,2025-11-16T11:29:25+00:00
order_0000000085,cust_0199,2974.62,2025-11-17T12:48:06+00:00
order_0000000086,cust_0199,982.00,2025-11-13T13:22:48+00:00
order_0000000087,cust_0093,906.29,2025-11-01T16:38:31+00:00
order_0000000088,cust_0216,1837.93,2025-11-08T12:43:41+00:00
order_0000000089,cust_0840,703.00,2025-11-30T08:13:59+00:00
order_0000000090,cust_0719,684.99,2025-11-04T08:36:24+00:00
order_0000000091,cust_0391,1612.10,2025-11-07T01:02:24+00:00
order_0000000092,cust_0828,1071.00,2025-11-18T11:43:02+00:00
order_0000000093,cust_0110,957.00,2025-11-30T10:45:10+00:00
order_0000000094,cust_0091,559.00,2025-11-27T10:55:21+00:00
order_0000000095,cust_0556,816.00,2025-11-01T13:10:12+00:00
order_0000000096,cust_0475,787.99,2025-11-22T09:00:19+00:00
order_0000000097,cust_0814,132.89,2025-11-13T17:12:48+00:00
order_0000000098,cust_0386,1054.00,2025-11-01T22:15:31+00:00
order_0000000099,cust_0399,911.00,2025-11-24T04:09:04+00:00
order_0000000100,cust_0644,570.34,2025-11-29T08:08:11+00:00
order_0000000101,cust_0674,155.72,2025-11-18T02:07:52+00:00
order_0000000102,cust_0139,484.00,2025-11-05T23:04:51+00:00
order_0000000103,cust_0148,732.00,2025-11-18T06:55:20+00:00
order_0000000104,cust_0801,1004.12,2025-11-05T16:41:41+00:00
order_0000000105,cust_0646,11829.42,2025-11-18T14:25:27+00:00
order_0000000106,cust_0757,856.30,2025-11-07T17:16:29+00:00
order_0000000107,cust_0682,443.29,2025-11-05T16:59:07+00:00
order_0000000108,cust_0566,837.00,2025-11-14T15:39:24+00:00
order_0000000109,cust_0062,924.99,2025-11-30T14:40:49+00:00
order_0000000110,cust_0611,213.99,2025-11-08T07:05:38+00:00
order_0000000111,cust_0058,598.00,2025-11-22T12:20:49+00:00
order_0000000112,cust_0649,458.27,2025-11-12T11:57:59+00:00
order_0000000113,cust_0478,269.00,2025-11-14T15:08:29+00:00
order_0000000114,cust_0557,670.87,2025-11-22T11:14:32+00:00
order_0000000115,cust_0653,300.32,2025-11-27T03:41:48+00:00
order_0000000116,cust_0794,1371.06,2025-11-24T18:39:52+00:00
order_0000000117,cust_0243,627.72,2025-11-07T08:51:07+00:00
order_0000000118,cust_0433,844.23,2025-11-01T08:47:23+00:00
order_0000000119,cust_0104,920.02,2025-11-15T00:37:38+00:00
order_0000000120,cust_0198,4747.09,2025-11-05T06:24:56+00:00
order_0000000121,cust_0529,1060.78,2025-11-07T03:13:22+00:00
order_0000000122,cust_0787,269.22,2025-11-06T11:15:43+00:00
order_0000000123,cust_0284,1040.00,2025-11-17T17:40:09+00:00
order_0000000124,cust_0254,2111.55,2025-11-06T01:16:21+00:00
order_0000000125,cust_0183,930.90,2025-11-27T11:42:40+00:00
order_0000000126,cust_0487,494.63,2025-11-28T15:28:05+00:00
order_0000000127,cust_0430,533.73,2025-11-22T20:26:16+00:00
order_0000000128,cust_0676,514.00,2025-11-20T01:51:09+00:00
order_0000000129,cust_0458,256.99,2025-11-13T12:45:22+00:00
order_0000000130,cust_0682,117.25,2025-11-17T11:14:04+00:00
order_0000000131,cust_0348,514.69,2025-11-06T19:42:12+00:00
order_0000000132,cust_0144,764.84,2025-11-09T08:39:21+00:00
order_0000000133,cust_0789,2257.28,2025-11-06T08:36:16+00:00
order_0000000134,cust_0361,899.79,2025-11-03T03:27:48+00:00
order_0000000135,cust_0461,991.30,2025-11-13T06:29:10+00:00
order_0000000136,cust_0128,549.29,2025-11-06T10:11:09+00:00
order_0000000137,cust_0597,159.34,2025-11-16T13:05:36+00:00
order_0000000138,cust_0448,216.00,2025-11-20T22:05:07+00:00
order_0000000139,cust_0546,756.00,2025-11-26T11:02:43+00:00
order_0000000140,cust_0561,154.99,2025-11-01T06:11:09+00:00
order_0000000141,cust_0645,253.74,2025-11-23T02:07:51+00:00
order_0000000142,cust_0608,599.52,2025-11-01T03:53:36+00:00
