bank_txn_id,settlement_id,component,amount,split
bnk_000000000001,setl_mrch_T2RNGB_0001,gross,12995.83,train
bnk_000000000001,setl_mrch_T2RNGB_0001,platform_fee,-137.91,train
bnk_000000000001,setl_mrch_T2RNGB_0001,gst_on_fee,-24.82,train
bnk_000000000001,setl_mrch_T2RNGB_0001,tds_194o,-66.86,train
bnk_000000000001,setl_mrch_T2RNGB_0001,reserve_held,-300.01,train
bnk_000000000001,setl_mrch_T2RNGB_0001,TOTAL_bank_credit,12466.23,train
bnk_000000000002,setl_mrch_T2RNGB_0002,gross,25280.58,train
bnk_000000000002,setl_mrch_T2RNGB_0002,platform_fee,-201.58,train
bnk_000000000002,setl_mrch_T2RNGB_0002,gst_on_fee,-36.29,train
bnk_000000000002,setl_mrch_T2RNGB_0002,tds_194o,-84.58,train
bnk_000000000002,setl_mrch_T2RNGB_0002,reserve_held,-384.20,train
bnk_000000000002,setl_mrch_T2RNGB_0002,TOTAL_bank_credit,24573.93,train
bnk_000000000003,setl_mrch_T2RNGB_0003,gross,66536.98,train
bnk_000000000003,setl_mrch_T2RNGB_0003,platform_fee,-449.56,train
bnk_000000000003,setl_mrch_T2RNGB_0003,gst_on_fee,-80.92,train
bnk_000000000003,setl_mrch_T2RNGB_0003,tds_194o,-388.60,train
bnk_000000000003,setl_mrch_T2RNGB_0003,reserve_held,-756.73,train
bnk_000000000003,setl_mrch_T2RNGB_0003,TOTAL_bank_credit,64861.17,train
bnk_000000000004,setl_mrch_T2RNGB_0004,gross,51229.51,train
bnk_000000000004,setl_mrch_T2RNGB_0004,platform_fee,-159.52,train
bnk_000000000004,setl_mrch_T2RNGB_0004,gst_on_fee,-28.71,train
bnk_000000000004,setl_mrch_T2RNGB_0004,tds_194o,-193.05,train
bnk_000000000004,setl_mrch_T2RNGB_0004,reserve_held,-364.03,train
bnk_000000000004,setl_mrch_T2RNGB_0004,rounding_drift,0.02,train
bnk_000000000004,setl_mrch_T2RNGB_0004,TOTAL_bank_credit,50484.22,train
bnk_000000000005,setl_mrch_T2RNGB_0005,gross,26556.84,train
bnk_000000000005,setl_mrch_T2RNGB_0005,platform_fee,-417.93,train
bnk_000000000005,setl_mrch_T2RNGB_0005,gst_on_fee,-75.22,train
bnk_000000000005,setl_mrch_T2RNGB_0005,tds_194o,-171.66,train
bnk_000000000005,setl_mrch_T2RNGB_0005,reserve_held,-879.48,train
bnk_000000000005,setl_mrch_T2RNGB_0005,TOTAL_bank_credit,25012.55,train
bnk_000000000006,setl_mrch_T2RNGB_0006,gross,62390.75,train
bnk_000000000006,setl_mrch_T2RNGB_0006,platform_fee,-509.33,train
bnk_000000000006,setl_mrch_T2RNGB_0006,gst_on_fee,-91.67,train
bnk_000000000006,setl_mrch_T2RNGB_0006,tds_194o,-299.42,train
bnk_000000000006,setl_mrch_T2RNGB_0006,refund_netted,-782.96,train
bnk_000000000006,setl_mrch_T2RNGB_0006,reserve_held,-1093.70,train
bnk_000000000006,setl_mrch_T2RNGB_0006,TOTAL_bank_credit,59613.67,train
bnk_000000000007,setl_mrch_T2RNGB_0007,gross,110323.84,train
bnk_000000000007,setl_mrch_T2RNGB_0007,platform_fee,-1102.59,train
bnk_000000000007,setl_mrch_T2RNGB_0007,gst_on_fee,-198.46,train
bnk_000000000007,setl_mrch_T2RNGB_0007,tds_194o,-611.83,train
bnk_000000000007,setl_mrch_T2RNGB_0007,reserve_held,-2307.77,train
bnk_000000000007,setl_mrch_T2RNGB_0007,TOTAL_bank_credit,106103.19,train
bnk_000000000008,setl_mrch_T2RNGB_0008,gross,158528.54,train
bnk_000000000008,setl_mrch_T2RNGB_0008,platform_fee,-1359.03,train
bnk_000000000008,setl_mrch_T2RNGB_0008,gst_on_fee,-244.63,train
bnk_000000000008,setl_mrch_T2RNGB_0008,tds_194o,-993.29,train
bnk_000000000008,setl_mrch_T2RNGB_0008,reserve_held,-3330.16,train
bnk_000000000008,setl_mrch_T2RNGB_0008,reserve_released,10709.17,train
bnk_000000000008,setl_mrch_T2RNGB_0008,TOTAL_bank_credit,163310.60,train
bnk_000000000009,setl_mrch_T2RNGB_0009,gross,17126.51,train
bnk_000000000009,setl_mrch_T2RNGB_0009,platform_fee,-235.97,train
bnk_000000000009,setl_mrch_T2RNGB_0009,gst_on_fee,-42.47,train
bnk_000000000009,setl_mrch_T2RNGB_0009,tds_194o,-61.04,train
bnk_000000000009,setl_mrch_T2RNGB_0009,refund_netted,-567.00,train
bnk_000000000009,setl_mrch_T2RNGB_0009,reserve_held,-513.30,train
bnk_000000000009,setl_mrch_T2RNGB_0009,TOTAL_bank_credit,15706.73,train
bnk_000000000010,setl_mrch_T2RNGB_0010,gross,25425.05,train
bnk_000000000010,setl_mrch_T2RNGB_0010,platform_fee,-237.74,train
bnk_000000000010,setl_mrch_T2RNGB_0010,gst_on_fee,-42.81,train
bnk_000000000010,setl_mrch_T2RNGB_0010,tds_194o,-141.26,train
bnk_000000000010,setl_mrch_T2RNGB_0010,refund_netted,-608.45,train
bnk_000000000010,setl_mrch_T2RNGB_0010,reserve_held,-511.99,train
bnk_000000000010,setl_mrch_T2RNGB_0010,TOTAL_bank_credit,23882.80,train
bnk_000000000011,setl_mrch_T2RNGB_0011,gross,98702.01,train
bnk_000000000011,setl_mrch_T2RNGB_0011,platform_fee,-544.86,train
bnk_000000000011,setl_mrch_T2RNGB_0011,gst_on_fee,-98.08,train
bnk_000000000011,setl_mrch_T2RNGB_0011,tds_194o,-643.79,train
bnk_000000000011,setl_mrch_T2RNGB_0011,refund_netted,-964.27,train
bnk_000000000011,setl_mrch_T2RNGB_0011,reserve_held,-1241.24,train
