payment_id,settlement_id,bank_txn_id,amount,method,fee,gst,tds,settle_date,split,ambiguous
pay_00000000000188,setl_mrch_T2RNGB_0001,bnk_000000000001,228.33,card,4.57,0.82,2.28,2025-11-04,train,0
pay_00000000000403,setl_mrch_T2RNGB_0001,bnk_000000000001,154.68,card,3.09,0.56,0.00,2025-11-04,train,0
pay_00000000000686,setl_mrch_T2RNGB_0001,bnk_000000000001,1021.36,card,20.43,3.68,10.21,2025-11-04,train,0
pay_00000000001506,setl_mrch_T2RNGB_0001,bnk_000000000001,553.99,card,11.08,1.99,5.54,2025-11-04,train,0
pay_00000000001608,setl_mrch_T2RNGB_0001,bnk_000000000001,687.99,upi,0.00,0.00,6.88,2025-11-04,train,0
pay_00000000001676,setl_mrch_T2RNGB_0001,bnk_000000000001,863.99,upi,0.00,0.00,8.64,2025-11-04,train,0
pay_00000000002125,setl_mrch_T2RNGB_0001,bnk_000000000001,1011.08,netbanking,15.00,2.70,10.11,2025-11-04,train,0
pay_00000000002126,setl_mrch_T2RNGB_0001,bnk_000000000001,1057.99,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000002337,setl_mrch_T2RNGB_0001,bnk_000000000001,965.00,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000002669,setl_mrch_T2RNGB_0001,bnk_000000000001,455.39,card,9.11,1.64,0.00,2025-11-04,train,0
pay_00000000003168,setl_mrch_T2RNGB_0001,bnk_000000000001,961.99,card,19.24,3.46,9.62,2025-11-04,train,0
pay_00000000003299,setl_mrch_T2RNGB_0001,bnk_000000000001,673.58,card,13.47,2.42,0.00,2025-11-04,train,0
pay_00000000003831,setl_mrch_T2RNGB_0001,bnk_000000000001,738.26,card,14.77,2.66,0.00,2025-11-04,train,0
pay_00000000003967,setl_mrch_T2RNGB_0001,bnk_000000000001,1357.55,card,27.15,4.89,13.58,2025-11-04,train,0
pay_00000000004046,setl_mrch_T2RNGB_0001,bnk_000000000001,2264.65,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000000033,setl_mrch_T2RNGB_0002,bnk_000000000002,783.00,upi,0.00,0.00,7.83,2025-11-04,train,0
pay_00000000000077,setl_mrch_T2RNGB_0002,bnk_000000000002,695.25,upi,0.00,0.00,0.00,2025-11-04,train,0
pay_00000000000267,setl_mrch_T2RNGB_0002,bnk_000000000002,982.30,netbanking,15.00,2.70,9.82,2025-11-04,train,0
pay_00000000000306,setl_mrch_T2RNGB_0002,bnk_000000000002,517.62,upi,0.00,0.00,0.00,2025-11-04,train,0
