bank_txn_id,value_date,amount,narration
bnk_000000000001,2025-11-04,12466.23,IMPS/807646529245/RAZORPAY  SOFTWARE
bnk_000000000002,2025-11-04,24573.93,UPI/84567390 7656/PAYOUT/RAZORPAY SOFTWARE PVT LTD
bnk_000000000003,2025-11-04,64861.17,RTGS CR  RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000004,2025-11-04,50484.22,NEFT-HDFCN52025110439801520-RAZORPAY SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000203,2025-11-04,12527.80,RESERVE RELEASE CR HDFCN42025110466842687 RAZORPAY SOFTWARE PVT LTD
bnk_000000000005,2025-11-06,25012.55,NEFT-HDFCN920251I06B7S55544-RZP SETTLEMENT-HDFC-SETTLEMENT
bnk_000000000006,2025-11-06,59613.67,RAZORPAY SOFT PVT L SETTLEMENT CREDIT
bnk_000000000007,2025-11-06,106103.19,NEFT-HDFCN220Z511064B978037-RAZORPAY SOFTWARE PVT LTD-HDFC-SETTLEMENT
bnk_000000000008,2025-11-06,163310.60,IMPS/230545893638/RZP SETTLEMENT/PAYOUT
bnk_000000000009,2025-11-07,15706.73,RZP SETTLEMENT SETTLEMENT CREDIT
bnk_000000000010,2025-11-07,23882.80,IMPS//RAZORPAYSOF/PAYOUT
bnk_000000000011,2025-11-07,95209.77,IMPS/225290376154/RZP SETTLEMENT/PAYOUT//17230
bnk_000000000012,2025-11-07,43930.88,RTGS CR HDFCR420251107890488 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000013,2025-11-10,-43930.88,PAYOUT REVERSAL/HDFCR420251107890488/RETURN-R03
bnk_000000000014,2025-11-10,43930.88,RTGS CR HDFCR820251107398362 RAZORPAY
bnk_000000000015,2025-11-10,57685.98,rtgs cr hdfcr420251110676114 rzp settlement settlmnt
bnk_000000000016,2025-11-10,37966.99,NEFT-HDFCN12025111049242267-RAZORPAYSO
bnk_000000000017,2025-11-10,141738.40,RTGS CR HDFCR6202511109 RZPY SOFTWARE SETTLMNT
bnk_000000000018,2025-11-10,103425.86,IMPS//RAZORPAY SOFT PVT L/PAYOUT
bnk_000000000085,2025-11-10,-945.21,NEFT-DR-HDFCN82025111051309393-REFUND-rfnd_000000000002
bnk_000000000184,2025-11-10,-1057.99,REFUND RECOVERY rfnd_000000000288 RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000185,2025-11-10,-127.00,DEBIT/rfnd_000000000289/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED//07363
bnk_000000000019,2025-11-11,12905.66,IMPS/0110219211/RAZORPAY SOFTWARE PRIVATE LIMITED/PAYOUT
bnk_000000000020,2025-11-11,20979.45,UPI/908268000222/PAYOUT/RZP SETTLEMENT
bnk_000000000021,2025-11-11,82167.22,IMPS/005708218020/RAZORPAYSOF/PAYOUT
bnk_000000000022,2025-11-11,121713.63,RTGS  CR  RZPY SOFTWARE SETTLMNT
bnk_000000000091,2025-11-11,-382.99,Refund Recovery Rfnd_000000000019 Razorpaysof
bnk_000000000095,2025-11-11,-524.89,DEBIT/rfnd_000000000030/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000161,2025-11-11,-1049.68,NEFT-DR-HDFCN42025111112112682-REFUND-
bnk_000000000171,2025-11-11,-517.62,NEFT-DR-HDFCN12025111145448679-REFUND-
bnk_000000000197,2025-11-11,-2175.00,CB--DEBIT--disp_000000000025--CARD NETWORK
bnk_000000000023,2025-11-12,75532.48,RTGS CR HDFCR92 0251112435165 RAZORPAY SOFTWARE PVT LTD SETTLMNT
bnk_000000000024,2025-11-12,108490.86,RZPY SOFTWARE SETTLEMENT CREDIT
bnk_000000000025,2025-11-12,209054.73,NEFT-HDFCN42025111287254316-RZPY SOFTWARE-HDFC-SETTLEMENT
bnk_000000000026,2025-11-12,178600.48,NEFT-HDFCN62  025111223060571-RAZORPAY  SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000107,2025-11-12,-2572.94,NEFT--DR--HDFCN92025111250219006--REFUND--rfnd_000000000077
bnk_000000000124,2025-11-12,-13480.00,DEBIT/rfnd_000000000138/REFUND ADJ/RAZORPAYSOF
bnk_000000000127,2025-11-12,-1798.00,DEBIT/rfnd_000000000145/REFUND ADJ/RAZORPAY SOFT PVT L
bnk_000000000149,2025-11-12,-1008.55,DEBIT/rfnd_000000000200/REFUND ADJ/RZP
bnk_000000000162,2025-11-12,-604.00,Refund Recovery Rfnd_000000000232 Razorpaysoftwarep
bnk_000000000173,2025-11-12,-154.38,NEFT-DR-HDFCN32025111204792497-REFUND-
bnk_000000000180,2025-11-12,-219.62,refund recovery rfnd_000000000280 razo
bnk_000000000181,2025-11-12,-312.78,DEBIT/rfnd_000000000284/REFUND ADJ/RAZORPAYSOF
bnk_000000000186,2025-11-12,-611.79,NEFT-DR-HDFCN42025111212200802-REFUND-rfnd_000000000291
bnk_000000000201,2025-11-12,-475.00,CB-DEBIT-disp_000000000037-CARD NETWORK
bnk_000000000027,2025-11-13,8175.06,RTGS CR HDFCR220251113545870 RAZORPAY SOFT PVT L SETTLMNT
bnk_000000000028,2025-11-13,27776.78,IMPS/9743461/RZPY SOFTWARE/PAYOUT//141902
bnk_000000000029,2025-11-13,92784.56,NEFT--HDFCN620251113309--RAZORPAY SOFT PVT L--HDFC--SETTLEMENT
bnk_000000000030,2025-11-13,62262.42,UPI/7409878055/PAYOUT/RZPY SOFTWARE//428
bnk_000000000158,2025-11-13,-657.00,refund recovery rfnd_000000000221 rzpy software
bnk_000000000182,2025-11-13,-421.75,DEBIT/rfnd_000000000286/REFUND ADJ/RAZORPAY SOFTWARE PVT LTD
bnk_000000000207,2025-11-13,9893.05,RESERVE RELEASE CR HDFCN 52025111304527604 RAZORPAYSOFTWAREP
bnk_000000000031,2025-11-15,13106.02,NEFT-HDFCN12025111534525485-RZP SETTLEMENT-HDFC-SETTLEMENT//268419
bnk_000000000032,2025-11-15,68002.31,imps/298977842241/razorpaysoftwarep/payout
bnk_000000000033,2025-11-15,55299.14,IMPS/037457528962/RAZORPAYSOFTWAREP/PAYOUT//249
bnk_000000000034,2025-11-15,70219.49,NEFT--RZP SETTLEMENT-HDFC-SETTLEMENT
bnk_000000000111,2025-11-15,-486.99,REFUND RECOVERY rfnd_000000000086 RZPY SOFTWARE
bnk_000000000152,2025-11-15,-2574.00,REFUND  RECOVERY rfnd_000000000205 RZP SETTLEMENT//254612
bnk_000000000160,2025-11-15,-42.88,REFUND  RECOVERY rfnd_000000000223 RAZORPAY SOFT PVT L
bnk_000000000035,2025-11-17,47653.92,RTGS CR HDFCR520251117999471 RAZORPAYSOFTWAREP SETTLMNT
bnk_000000000036,2025-11-17,22465.16,IMPS/702011556390/RAZORPAYSOF/PAYOUT
bnk_000000000037,2025-11-17,80540.60,RTGS CR HDFCR120251117101394 RAZORPAY SOFTWARE PRIVATE LIMITED SETTLMNT
bnk_000000000038,2025-11-17,54147.83,IMPS/777966987483/RZPY SOFTWARE/PAYOUT
bnk_000000000039,2025-11-17,75135.98,IMPS/982270268540/RAZORPAY  SOFTWARE PVT LTD/PAYOUT
bnk_000000000100,2025-11-17,-553.96,REFUND RECOVERY rfnd_000000000049 RAZORPAY SOFTWARE PVT LTD
bnk_000000000118,2025-11-17,-2146.10,REFUND RECOVERY rfnd_000000000113 RAZORPAY SOFTWARE PRIVATE LIMITED//778500
bnk_000000000125,2025-11-17,-418.96,REFUND RECOVERY rfnd_000000000139 RZP
bnk_000000000132,2025-11-17,-1029.51,NEFT-DR-HDFCN72025111773719856-REFUND-rfnd_000000000158
bnk_000000000135,2025-11-17,-989.99,REFUND RECOVERY rfnd_000000000167 RZPY SOFTWARE
bnk_000000000137,2025-11-17,-879.00,NEFT DR HDFCN32025111797096281 REFUND rfnd_000000000173//3924
bnk_000000000192,2025-11-17,-1476.00,DISPUTE DEBIT/disp_000000000017/HDFC//610404
bnk_000000000040,2025-11-18,29918.54,RTGS  CR  HDFCR2202511187567  RZP SE
bnk_000000000041,2025-11-18,56383.36,NEFT--RAZORPAYSOFTWAREP-HDFC-SETTLEMENT
bnk_000000000042,2025-11-18,111103.87,rtgs cr hdfcr3202511180918 razorpay soft pvt l settlmnt//43777
bnk_000000000043,2025-11-18,172966.54,Neft-Hdfcn720251118681583S3-Rzp Settlement-Hdfc-Settlement
bnk_000000000183,2025-11-18,-525.00,DEBIT/rfnd_000000000287/REFUND ADJ/RAZORPAY SOFT PVT L
bnk_000000000190,2025-11-18,-295.79,CHARGEBACK DR disp_000000000005 RZPY SOFTWARE//5084
bnk_000000000202,2025-11-18,4501.30,RESERVE RELEASE CR HDFCN92025111804438939 RAZORPAYSOFTWAREP
bnk_000000000044,2025-11-19,120857.23,NEFT HDFCN92O25111980356S92 RAZORPAY SOFTWARE PRIVATE LIMITED HDFC SETTLEMENT
bnk_000000000045,2025-11-19,10473.10,NEFT  HDFCN32025111926823953  RZPY SOFTWARE HDFC SETTLEMENT
bnk_000000000046,2025-11-19,41654.27,UPI/430979701451/PAYOUT/RZPY SOFTWARE
