payment_id,order_id,amount,method,status,created_at_ist
pay_00000000000001,order_0000000001,436.66,upi,captured,2025-11-15T14:47:11+05:30
pay_00000000000002,order_0000000002,1967.00,card,captured,2025-11-24T19:14:28+05:30
pay_00000000000003,order_0000000003,736.00,upi,captured,2025-11-28T19:51:48+05:30
pay_00000000000004,order_0000000004,313.00,wallet,captured,2025-11-30T08:12:29+05:30
pay_00000000000005,order_0000000005,669.99,upi,captured,2025-11-12T08:13:11+05:30
pay_00000000000006,order_0000000006,14121.92,upi,captured,2025-11-07T20:16:49+05:30
pay_00000000000007,order_0000000007,873.79,upi,captured,2025-11-22T19:58:21+05:30
pay_00000000000008,order_0000000008,725.22,upi,captured,2025-11-22T12:27:40+05:30
pay_00000000000009,order_0000000009,348.75,netbanking,captured,2025-11-17T14:23:05+05:30
pay_00000000000010,order_0000000010,909.00,card,captured,2025-11-10T20:52:18+05:30
pay_00000000000011,order_0000000011,561.99,card,captured,2025-11-19T16:49:17+05:30
pay_00000000000012,order_0000000012,3131.80,upi,captured,2025-11-22T13:25:05+05:30
pay_00000000000013,order_0000000013,398.99,upi,captured,2025-11-29T06:11:48+05:30
pay_00000000000014,order_0000000014,2208.59,upi,captured,2025-11-03T10:09:40+05:30
pay_00000000000015,order_0000000015,332.99,wallet,captured,2025-11-12T13:26:39+05:30
pay_00000000000016,order_0000000016,587.00,wallet,captured,2025-11-04T11:36:14+05:30
pay_00000000000017,order_0000000017,333.88,card,captured,2025-11-22T07:02:20+05:30
pay_00000000000018,order_0000000018,1212.99,card,captured,2025-11-22T14:11:44+05:30
pay_00000000000019,order_0000000019,566.00,upi,failed,2025-11-24T13:19:23+05:30
pay_00000000000020,order_0000000020,440.94,card,captured,2025-11-06T11:56:58+05:30
pay_00000000000021,order_0000000021,578.99,upi,captured,2025-11-08T19:06:31+05:30
pay_00000000000022,order_0000000022,471.73,card,captured,2025-11-26T21:10:34+05:30
pay_00000000000023,order_0000000023,923.25,card,failed,2025-11-12T12:16:05+05:30
pay_00000000000024,order_0000000024,1896.00,card,captured,2025-11-08T09:30:17+05:30
pay_00000000000025,order_0000000025,819.33,card,captured,2025-11-13T11:27:46+05:30
pay_00000000000026,order_0000000026,629.00,upi,captured,2025-11-18T19:15:09+05:30
pay_00000000000027,order_0000000027,191.99,upi,captured,2025-11-13T03:15:11+05:30
pay_00000000000028,order_0000000028,803.70,upi,captured,2025-11-12T09:21:52+05:30
pay_00000000000029,order_0000000029,248.40,upi,captured,2025-11-05T14:24:56+05:30
pay_00000000000030,order_0000000030,837.08,upi,captured,2025-11-01T21:28:00+05:30
pay_00000000000031,order_0000000031,167.79,upi,captured,2025-11-23T23:02:14+05:30
pay_00000000000032,order_0000000032,434.13,wallet,captured,2025-11-03T15:22:13+05:30
pay_00000000000033,order_0000000033,783.00,upi,captured,2025-11-01T08:37:15+05:30
pay_00000000000034,order_0000000034,339.98,wallet,captured,2025-11-27T09:02:02+05:30
pay_00000000000035,order_0000000035,819.84,upi,captured,2025-11-10T19:18:56+05:30
pay_00000000000036,order_0000000036,269.10,card,captured,2025-11-21T23:55:24+05:30
pay_00000000000037,order_0000000037,821.34,netbanking,captured,2025-11-08T15:18:58+05:30
pay_00000000000038,order_0000000038,1567.72,card,captured,2025-11-02T01:22:37+05:30
pay_00000000000039,order_0000000039,1012.00,wallet,failed,2025-11-23T15:55:46+05:30
pay_00000000000040,order_0000000040,3318.99,upi,captured,2025-11-28T14:20:21+05:30
pay_00000000000041,order_0000000041,315.32,wallet,captured,2025-11-25T14:15:10+05:30
pay_00000000000042,order_0000000042,580.99,upi,captured,2025-11-19T10:32:41+05:30
pay_00000000000043,order_0000000043,7970.00,card,captured,2025-11-02T04:58:24+05:30
pay_00000000000044,order_0000000044,779.21,netbanking,captured,2025-11-15T20:49:03+05:30
pay_00000000000045,order_0000000045,1024.67,upi,captured,2025-11-17T13:30:02+05:30
pay_00000000000046,order_0000000046,401.30,card,captured,2025-11-08T09:50:50+05:30
pay_00000000000047,order_0000000047,2945.00,card,captured,2025-11-07T16:15:45+05:30
pay_00000000000048,order_0000000048,284.00,card,captured,2025-11-09T20:30:05+05:30
pay_00000000000049,order_0000000049,985.99,card,captured,2025-11-22T16:08:01+05:30
pay_00000000000050,order_0000000050,16580.53,wallet,captured,2025-11-05T01:34:26+05:30
pay_00000000000051,order_0000000051,799.99,wallet,captured,2025-11-24T13:58:30+05:30
pay_00000000000052,order_0000000052,121.23,netbanking,captured,2025-11-16T10:33:57+05:30
pay_00000000000053,order_0000000053,662.00,upi,captured,2025-11-23T19:17:11+05:30
pay_00000000000054,order_0000000054,3545.55,upi,captured,2025-11-10T00:18:08+05:30
pay_00000000000055,order_0000000055,450.00,netbanking,captured,2025-11-12T12:09:30+05:30
pay_00000000000056,order_0000000056,840.89,card,captured,2025-11-06T23:51:01+05:30
pay_00000000000057,order_0000000057,3430.29,card,failed,2025-11-22T21:25:55+05:30
pay_00000000000058,order_0000000058,1288.00,upi,captured,2025-11-28T15:58:03+05:30
pay_00000000000059,order_0000000059,245.95,wallet,captured,2025-11-03T20:15:55+05:30
pay_00000000000060,order_0000000060,963.98,wallet,captured,2025-11-29T12:06:45+05:30
pay_00000000000061,order_0000000061,566.00,upi,captured,2025-11-20T23:26:46+05:30
pay_00000000000062,order_0000000062,487.15,card,captured,2025-11-02T04:21:18+05:30
pay_00000000000063,order_0000000063,106.12,upi,captured,2025-11-08T13:20:46+05:30
pay_00000000000064,order_0000000064,993.00,wallet,captured,2025-11-02T13:45:24+05:30
pay_00000000000065,order_0000000065,773.00,upi,captured,2025-11-09T11:19:11+05:30
pay_00000000000066,order_0000000066,263.77,wallet,captured,2025-11-15T04:34:09+05:30
pay_00000000000067,order_0000000067,914.99,upi,captured,2025-11-10T20:35:52+05:30
pay_00000000000068,order_0000000068,1668.93,upi,captured,2025-11-21T10:48:50+05:30
pay_00000000000069,order_0000000069,1057.00,wallet,captured,2025-11-12T19:09:00+05:30
pay_00000000000070,order_0000000070,1025.99,upi,captured,2025-11-30T19:54:25+05:30
