refund_id,payment_id,amount,created_at_ist,netted_flag
rfnd_000000000001,pay_00000000002212,115.46,2025-11-24T15:47:31+05:30,1
rfnd_000000000002,pay_00000000000894,945.21,2025-11-05T12:30:31+05:30,0
rfnd_000000000003,pay_00000000000559,236.00,2025-11-21T00:39:34+05:30,1
rfnd_000000000004,pay_00000000001010,3470.00,2025-11-22T06:03:31+05:30,0
rfnd_000000000005,pay_00000000003476,1028.21,2025-11-10T22:37:35+05:30,1
rfnd_000000000006,pay_00000000003126,233.92,2025-11-23T13:34:55+05:30,1
rfnd_000000000007,pay_00000000003667,960.31,2025-11-29T11:06:23+05:30,0
rfnd_000000000008,pay_00000000003094,244.43,2025-11-22T19:29:48+05:30,1
rfnd_000000000009,pay_00000000001969,110.11,2025-11-27T22:10:04+05:30,0
rfnd_000000000010,pay_00000000000374,444.42,2025-11-04T15:31:31+05:30,1
rfnd_000000000011,pay_00000000000603,410.90,2025-11-30T15:11:42+05:30,1
rfnd_000000000012,pay_00000000000152,369.20,2025-11-15T20:12:01+05:30,1
rfnd_000000000013,pay_00000000003541,567.00,2025-11-04T04:33:53+05:30,1
rfnd_000000000014,pay_00000000000735,170.21,2025-11-21T21:01:39+05:30,1
rfnd_000000000015,pay_00000000002898,809.99,2025-11-16T00:57:36+05:30,1
rfnd_000000000016,pay_00000000002438,781.83,2025-11-30T22:49:11+05:30,1
rfnd_000000000017,pay_00000000000297,3141.99,2025-11-16T05:52:55+05:30,0
rfnd_000000000018,pay_00000000003698,14156.00,2025-11-18T23:25:37+05:30,0
rfnd_000000000019,pay_00000000000290,382.99,2025-11-07T12:40:34+05:30,0
rfnd_000000000020,pay_00000000003019,437.32,2025-11-18T16:12:04+05:30,0
rfnd_000000000021,pay_00000000002177,945.99,2025-11-30T00:45:41+05:30,1
rfnd_000000000022,pay_00000000004238,183.33,2025-11-21T07:40:30+05:30,1
rfnd_000000000023,pay_00000000000503,287.62,2025-11-30T06:46:25+05:30,0
rfnd_000000000024,pay_00000000004044,203.63,2025-11-21T21:43:35+05:30,1
rfnd_000000000025,pay_00000000004205,188.38,2025-11-30T21:09:57+05:30,1
rfnd_000000000026,pay_00000000003976,293.68,2025-11-25T16:07:26+05:30,1
rfnd_000000000027,pay_00000000004582,755.39,2025-11-27T15:17:49+05:30,1
rfnd_000000000028,pay_00000000001993,1061.90,2025-11-24T08:35:22+05:30,1
rfnd_000000000029,pay_00000000000826,308.46,2025-11-30T10:14:34+05:30,0
rfnd_000000000030,pay_00000000003752,524.89,2025-11-07T14:31:32+05:30,0
rfnd_000000000031,pay_00000000002532,286.65,2025-11-24T20:10:04+05:30,1
rfnd_000000000032,pay_00000000002105,308.51,2025-11-16T14:00:19+05:30,1
rfnd_000000000033,pay_00000000000254,608.45,2025-11-04T06:22:16+05:30,1
rfnd_000000000034,pay_00000000001081,564.87,2025-11-30T12:24:03+05:30,0
rfnd_000000000035,pay_00000000001101,813.40,2025-11-23T16:55:17+05:30,1
rfnd_000000000036,pay_00000000004552,3508.83,2025-11-24T15:13:55+05:30,1
rfnd_000000000037,pay_00000000001250,745.53,2025-11-19T15:34:15+05:30,0
rfnd_000000000038,pay_00000000001874,406.37,2025-11-16T17:52:32+05:30,1
rfnd_000000000039,pay_00000000000628,1613.93,2025-11-22T02:53:00+05:30,1
rfnd_000000000040,pay_00000000001360,1270.43,2025-11-26T20:38:42+05:30,1
rfnd_000000000041,pay_00000000003098,123.89,2025-11-30T19:37:20+05:30,1
