reserve_id,amount,held_on,release_date,released_at_ist,netted_flag
rsrv_mrch_T2RNGB_0001,15855.35,2025-08-22,2025-11-20,2025-11-20T12:20:26+05:30,1
rsrv_mrch_T2RNGB_0002,13088.94,2025-08-13,2025-11-11,2025-11-11T15:29:44+05:30,1
rsrv_mrch_T2RNGB_0003,4501.30,2025-08-20,2025-11-18,2025-11-18T10:26:45+05:30,0
rsrv_mrch_T2RNGB_0004,14758.18,2025-08-17,2025-11-15,2025-11-15T11:34:44+05:30,1
rsrv_mrch_T2RNGB_0005,3311.16,2025-08-20,2025-11-18,2025-11-18T20:07:54+05:30,1
rsrv_mrch_T2RNGB_0006,6067.00,2025-08-13,2025-11-11,2025-11-11T21:01:13+05:30,1
rsrv_mrch_T2RNGB_0007,12726.05,2025-09-04,2025-12-03,2025-12-03T09:31:21+05:30,1
rsrv_mrch_T2RNGB_0008,12527.80,2025-08-06,2025-11-04,2025-11-04T18:50:50+05:30,0
rsrv_mrch_T2RNGB_0009,17987.90,2025-08-17,2025-11-15,2025-11-15T10:38:52+05:30,1
rsrv_mrch_T2RNGB_0010,14100.75,2025-09-03,2025-12-02,2025-12-02T11:22:56+05:30,0
rsrv_mrch_T2RNGB_0011,13899.02,2025-08-31,2025-11-29,2025-11-29T12:34:24+05:30,0
rsrv_mrch_T2RNGB_0012,11584.25,2025-08-23,2025-11-21,2025-11-21T07:24:28+05:30,0
rsrv_mrch_T2RNGB_0013,2318.68,2025-08-12,2025-11-10,2025-11-10T17:54:29+05:30,1
rsrv_mrch_T2RNGB_0014,10709.17,2025-08-08,2025-11-06,2025-11-06T18:26:26+05:30,1
rsrv_mrch_T2RNGB_0015,9893.05,2025-08-15,2025-11-13,2025-11-13T19:36:03+05:30,0
rsrv_mrch_T2RNGB_0016,7455.51,2025-08-17,2025-11-15,2025-11-15T13:01:33+05:30,1
rsrv_mrch_T2RNGB_0017,4785.16,2025-08-30,2025-11-28,2025-11-28T05:24:44+05:30,1
rsrv_mrch_T2RNGB_0018,5575.76,2025-08-23,2025-11-21,2025-11-21T07:34:53+05:30,1
rsrv_mrch_T2RNGB_0019,12607.25,2025-08-23,2025-11-21,2025-11-21T06:48:53+05:30,1
rsrv_mrch_T2RNGB_0020,12834.01,2025-08-26,2025-11-24,2025-11-24T10:21:28+05:30,1
rsrv_mrch_T2RNGB_0021,1692.43,2025-08-22,2025-11-20,2025-11-20T21:28:19+05:30,1
