dispute_id,payment_id,amount,fee,raised_at_ist,reversed_at_ist
disp_000000000001,pay_00000000001265,2169.00,300.00,2025-11-24T08:24:26+05:30,2025-12-02T18:32:48+05:30
disp_000000000002,pay_00000000000871,5468.99,300.00,2025-11-12T09:33:21+05:30,
disp_000000000003,pay_00000000000815,153329.69,300.00,2025-11-21T21:15:01+05:30,2025-12-03T23:34:10+05:30
disp_000000000004,pay_00000000000223,2658.00,300.00,2025-11-30T15:54:11+05:30,
disp_000000000005,pay_00000000000965,114707.99,300.00,2025-11-30T15:11:54+05:30,
disp_000000000006,pay_00000000000927,2292.00,300.00,2025-11-21T22:44:31+05:30,
disp_000000000007,pay_00000000000114,36811.96,300.00,2025-11-09T16:35:25+05:30,
disp_000000000008,pay_00000000001448,5466.00,300.00,2025-11-16T06:51:30+05:30,
disp_000000000009,pay_00000000000182,33502.51,300.00,2025-11-30T18:39:07+05:30,
disp_000000000010,pay_00000000000880,43675.54,300.00,2025-11-30T04:42:14+05:30,
disp_000000000011,pay_00000000000869,4036.35,300.00,2025-11-19T11:18:49+05:30,
disp_000000000012,pay_00000000000998,22065.99,300.00,2025-11-21T11:12:46+05:30,
disp_000000000013,pay_00000000000145,7956.86,300.00,2025-11-21T13:29:12+05:30,
disp_000000000014,pay_00000000000284,8023.57,300.00,2025-11-21T16:41:01+05:30,2025-12-03T21:00:11+05:30
