settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_mrch_T3RNGC_0001,ICICR520251103425964,529132.53,4254.88,765.86,3274.66,520837.13,2025-11-03T18:30:00+05:30,1
setl_mrch_T3RNGC_0002,D561QYFDZXHTKQUI,533410.23,5536.95,996.66,2958.37,518614.79,2025-11-04T18:30:00+05:30,0
setl_mrch_T3RNGC_0003,ICICR720251104806221,1607153.37,11852.39,2133.44,12067.56,1550443.18,2025-11-04T18:30:00+05:30,0
setl_mrch_T3RNGC_0004,ICICN62025110644016584,975420.05,10684.73,1923.25,9287.41,953524.66,2025-11-06T18:30:00+05:30,1
setl_mrch_T3RNGC_0005,ICICN42025110633941987,81641.35,413.90,74.50,816.42,58357.77,2025-11-06T18:30:00+05:30,0
setl_mrch_T3RNGC_0006,ICICN42025110610546208,2732749.20,12091.92,2176.56,24254.61,2663050.80,2025-11-06T18:30:00+05:30,0
setl_mrch_T3RNGC_0007,M8IL62Y82ZCK2R46,760321.01,2256.58,406.17,5337.01,708269.25,2025-11-07T18:30:00+05:30,0
setl_mrch_T3RNGC_0008,ICICR520251107693888,2192582.86,17622.38,3172.01,19342.94,2108469.30,2025-11-07T18:30:00+05:30,0
setl_mrch_T3RNGC_0009,ICICN12025111047729650,624348.31,1190.14,214.22,5409.81,471206.33,2025-11-10T18:30:00+05:30,0
setl_mrch_T3RNGC_0010,S295O95UXKVMWH6Q,3291303.20,19101.41,3438.22,24781.11,3137793.52,2025-11-10T18:30:00+05:30,0
setl_mrch_T3RNGC_0011,ICICR820251111604627,280036.67,1782.74,320.89,2800.37,251745.58,2025-11-11T18:30:00+05:30,0
setl_mrch_T3RNGC_0012,ICICR720251111975839,1632117.12,6867.44,1236.15,14209.70,1582200.96,2025-11-11T18:30:00+05:30,0
setl_mrch_T3RNGC_0013,ICICR320251112178653,1827903.98,15408.99,2773.60,12964.29,1641293.73,2025-11-12T18:30:00+05:30,0
setl_mrch_T3RNGC_0014,SH0SGR59V5I5YGEO,3503227.03,17708.45,3187.52,26379.39,3222236.63,2025-11-12T18:30:00+05:30,0
setl_mrch_T3RNGC_0015,ICICR320251113360922,204480.83,1915.26,344.75,1879.31,184551.50,2025-11-13T18:30:00+05:30,0
setl_mrch_T3RNGC_0016,ICICR920251113529056,397105.31,4436.16,798.51,3841.94,375981.85,2025-11-13T18:30:00+05:30,0
setl_mrch_T3RNGC_0017,W9PCKZU73XYHG7FQ,581249.35,3461.62,623.09,5413.32,558141.38,2025-11-15T18:30:00+05:30,0
setl_mrch_T3RNGC_0018,JN0MZSZMBPGCXROL,1375500.04,5721.91,1029.95,11925.99,1352154.67,2025-11-15T18:30:00+05:30,0
setl_mrch_T3RNGC_0019,ICICR320251117537885,151367.54,2422.78,436.10,1377.59,-67207.65,2025-11-17T18:30:00+05:30,0
setl_mrch_T3RNGC_0020,XOYBI8UR0YB8H6K4,1994202.35,7864.64,1415.62,19894.00,1868502.84,2025-11-17T18:30:00+05:30,0
setl_mrch_T3RNGC_0021,ICICR520251118132627,1653740.96,7042.06,1267.57,13386.77,1539455.23,2025-11-18T18:30:00+05:30,0
setl_mrch_T3RNGC_0022,ICICN72025111803312748,2663731.67,17844.68,3212.05,18276.82,2508574.27,2025-11-18T18:30:00+05:30,0
setl_mrch_T3RNGC_0023,ICICN62025111985552520,1630420.36,5734.78,1032.26,15546.99,1593856.75,2025-11-19T18:30:00+05:30,0
setl_mrch_T3RNGC_0024,ICICR420251119723635,2552241.84,23543.92,4237.92,22965.59,2406223.32,2025-11-19T18:30:00+05:30,0
setl_mrch_T3RNGC_0025,NDGZF2RUIEHLFD1G,449767.09,6190.85,1114.35,4308.67,423889.82,2025-11-20T18:30:00+05:30,0
setl_mrch_T3RNGC_0026,ICICR220251120389557,1826269.72,17014.96,3062.70,17181.53,1741225.55,2025-11-20T18:30:00+05:30,0
setl_mrch_T3RNGC_0027,ICICN22025112108362500,768440.15,2778.75,500.18,7633.53,750603.94,2025-11-21T18:30:00+05:30,0
setl_mrch_T3RNGC_0028,ICICN42025112182144817,1236430.44,7087.82,1275.81,11021.21,1178749.23,2025-11-21T18:30:00+05:30,0
setl_mrch_T3RNGC_0029,ICICR420251124431516,920820.44,11383.50,2049.03,6663.57,870973.74,2025-11-24T18:30:00+05:30,0
setl_mrch_T3RNGC_0030,ICICN22025112452260017,1575297.51,7561.91,1361.15,11373.59,1547968.44,2025-11-24T18:30:00+05:30,0
setl_mrch_T3RNGC_0031,ICICR720251126310575,738039.88,3896.53,701.36,7380.40,701614.91,2025-11-26T18:30:00+05:30,0
setl_mrch_T3RNGC_0032,OEWIXZPY3OLNDN9F,1971264.40,19101.86,3438.33,18297.98,1700948.80,2025-11-26T18:30:00+05:30,0
setl_mrch_T3RNGC_0033,ICICR420251127949555,2678316.99,27475.00,4945.51,21346.90,2173026.91,2025-11-27T18:30:00+05:30,0
setl_mrch_T3RNGC_0034,7JSYCQ32XQKEIS27,3849622.98,35051.34,6309.25,33074.95,3555634.97,2025-11-27T18:30:00+05:30,0
setl_mrch_T3RNGC_0035,ICICR520251128140195,1214458.79,8782.30,1580.81,10403.14,1154445.03,2025-11-28T18:30:00+05:30,0
setl_mrch_T3RNGC_0036,UD82DDBHX5LPSRYM,2846735.00,20591.88,3706.55,24265.80,2620609.35,2025-11-28T18:30:00+05:30,0
setl_mrch_T3RNGC_0037,ICICN62025112974434994,624170.64,5754.23,1035.76,4370.44,597046.71,2025-11-29T18:30:00+05:30,0
setl_mrch_T3RNGC_0038,33NHMXGIORA7MKEJ,1129453.78,6966.17,1253.91,10551.41,998016.05,2025-11-29T18:30:00+05:30,0
setl_mrch_T3RNGC_0039,ICICR620251201102365,864853.53,6525.43,1174.58,3335.91,796847.82,2025-12-01T18:30:00+05:30,0
setl_mrch_T3RNGC_0040,ICICN72025120185236775,1752514.15,6480.57,1166.51,17174.30,1705590.48,2025-12-01T18:30:00+05:30,0
setl_mrch_T3RNGC_0041,HJXRZCJM1PS5GDWC,1220890.64,9113.55,1640.45,10069.43,1177897.45,2025-12-02T18:30:00+05:30,0
setl_mrch_T3RNGC_0042,KKYG7S852UTTJNI4,721889.40,6998.61,1259.75,4517.94,680662.09,2025-12-02T18:30:00+05:30,0
setl_mrch_T3RNGC_0043,IRMCZ6RM5H924CF7,147911.24,1520.58,273.70,1407.14,-192473.64,2025-12-03T18:30:00+05:30,0
setl_mrch_T3RNGC_0044,ICICN82025120397110514,2311743.67,27491.06,4948.37,16988.64,2212248.20,2025-12-03T18:30:00+05:30,0
