payment_id,order_id,amount,method,status,created_at_ist
pay_d01,ord_d01,10000.00,upi,captured,2025-12-01T11:00:00+05:30
pay_d02,ord_d02,5000.00,upi,captured,2025-12-01T11:00:00+05:30
pay_d03,ord_d03,60000.00,card,captured,2025-12-02T11:00:00+05:30
pay_d04,ord_d04,40000.00,card,captured,2025-12-02T11:00:00+05:30
pay_d05,ord_d05,20000.00,upi,captured,2025-12-03T11:00:00+05:30
pay_d06,ord_d06,8000.00,upi,captured,2025-12-03T11:00:00+05:30
pay_d07,ord_d07,50000.00,card,captured,2025-12-04T11:00:00+05:30
pay_d08,ord_d08,25000.00,card,captured,2025-12-08T11:00:00+05:30
pay_d09,ord_d09,7000.00,upi,captured,2025-12-08T11:00:00+05:30
pay_d10,ord_d10,25000.00,card,captured,2025-12-05T11:00:00+05:30
pay_d11,ord_d11,9000.00,upi,captured,2025-12-05T11:00:00+05:30
pay_d12,ord_d12,12000.00,upi,captured,2025-12-09T11:00:00+05:30
pay_d13,ord_d13,30000.00,wallet,captured,2025-12-10T11:00:00+05:30
pay_d14,ord_d14,200000.00,card,captured,2025-12-11T11:00:00+05:30
pay_d15,ord_d15,9000.00,upi,captured,2025-12-15T11:00:00+05:30
pay_d16,ord_d16,5000.00,upi,captured,2025-12-16T11:00:00+05:30
pay_d17,ord_d17,16000.00,upi,captured,2025-12-17T11:00:00+05:30
