settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_DEMO_0001,HDFCN520251200001,15000.00,0.00,0.00,150.00,14850.00,2025-12-03T18:30:00+05:30,false
setl_DEMO_0002,HDFCN520251200002,100000.00,2000.00,360.00,1000.00,96640.00,2025-12-04T18:30:00+05:30,false
setl_DEMO_0003,HDFCN520251200003,28000.00,0.00,0.00,280.00,27720.00,2025-12-05T18:30:00+05:30,false
setl_DEMO_0004,HDFCN520251200004,50000.00,1000.00,180.00,500.00,48320.00,2025-12-06T18:30:00+05:30,false
setl_DEMO_0005,HDFCN520251200005,32000.00,580.00,104.40,320.00,30995.60,2025-12-08T18:30:00+05:30,true
setl_DEMO_0006,HDFCN520251200006,34000.00,500.00,90.00,340.00,33070.00,2025-12-08T18:30:00+05:30,false
setl_DEMO_0007,HDFCN520251200007,12000.00,0.00,0.00,120.00,11880.00,2025-12-11T18:30:00+05:30,false
setl_DEMO_0008,HDFCN520251200008,30000.00,540.00,97.20,300.00,29062.80,2025-12-12T18:30:00+05:30,false
setl_DEMO_0009,HDFCN520251200009,200000.00,4000.00,720.00,2000.00,193280.00,2025-12-15T18:30:00+05:30,false
setl_DEMO_0010,HDFCN520251200010,9000.00,0.00,0.00,90.00,8910.00,2025-12-17T18:30:00+05:30,false
setl_DEMO_0011,HDFCN520251200011,7000.00,0.00,0.00,70.00,6930.00,2025-12-18T18:30:00+05:30,false
setl_DEMO_0013,HDFCN520251200013,16000.00,0.00,0.00,160.00,15840.00,2025-12-19T18:30:00+05:30,false
