bank_txn_id,value_date,amount,narration
bnk_d01,2025-12-03,14850.00,NEFT-HDFCN520251200001-DEMO-SETTLEMENT
bnk_d02,2025-12-04,91508.00,NEFT-HDFCN520251200002-DEMO-SETTLEMENT
bnk_d03,2025-12-05,21720.00,NEFT-HDFCN520251200003-DEMO-SETTLEMENT
bnk_d04,2025-12-06,41225.00,NEFT-HDFCN520251200004-DEMO-SETTLEMENT
bnk_d05,2025-12-08,30995.60,NEFT-HDFCN520251200005-DEMO-SETTLEMENT
bnk_d06,2025-12-08,31849.50,NEFT-HDFCN520251200006-DEMO-SETTLEMENT
bnk_d07,2025-12-11,11430.00,NEFT-HDFCN520251200007-DEMO-SETTLEMENT
bnk_d08,2025-12-12,22594.66,NEFT-HDFCN520251200008-DEMO-SETTLEMENT
bnk_d09,2025-12-15,183456.00,NEFT-HDFCN520251200009-DEMO-SETTLEMENT
bnk_d11,2025-12-18,6930.00,NEFT-HDFCN520251200011-DEMO-SETTLEMENT
bnk_d13,2025-12-19,15765.00,IMPS PAYOUT CREDIT RETAIL
